SMc02793,RL0001
SMc01006,RL2530
SMc01007,noHit
SMc01008,noHit
SMc01009,RL2529
thrS,thrS
SMc01011,RL2527
SMc01012,RL2526
SMc01013,RL2525
SMc01014,noHit
SMc01015,RL2524
SMc01016,RL2522
SMc01017,RL2521
parE,gyrB2
SMc01019,RL2514
SMc01020,noHit
SMc01021,noHit
SMc01022,noHit
tpiA,tpiA
SMc01024,noHit
pyrG,pyrG
SMc01026,RL2237
kdsA,kdsA
eno,eno
SMc01029,RL2240
pdhAa,pdhA
pdhAb,pdhB
pdhC,pdhC
SMc01033,RL2244
SMc01034,RL2245
lpdA1,RL2246
SMc01036,RL1172
lipA,RL2249
SMc04865,noHit
SMc01038,RL2252
SMc01039,RL2253
ispDF,ispDF
dusB,dus
ntrB,ntrB
ntrC,glnG
ntrY,ntrY
ntrX,ntrX
trkA,noHit
SMc01047,RL2283
hfq,hfq
hflX,hflX
TRm20,RL0792
SMc01051,RL2286
SMc01052,RL2287
cysG,cysG2
SMc01054,RL2289
cysI,cysI
SMc02123,RL2291
fpr,RL2369
relE,noHit
aapP,aapP
aapM,aapM
aapQ,aapQ
aapJ,aapJ
metC,metC
SMc02116,RL2206
SMc02115,RL2207
SMc02114,RL2208
cysE,cysE1
SMc02112,RL2210
SMc02111,RL2211
clpS1,clpS1
clpA,clpA
SMc02108,noHit
SMc02107,noHit
SMc02106,RL2215
SMc02105,RL2216
SMc02104,RL2217
SMc02103,RL2218
SMc02102,RL2219
rpsB,rpsB
tsf,tsf
pyrH,pyrH
rrf,frr
uppS,uppS
cdsA,cdsA
SMc02095,ecfE
omp,RL2228
lpxD,lpxD
fabZ,fabZ
lpxA,lpxA
SMc02090,RL2232
lpxB,lpxB
SMc02088,noHit
gltA,ccsA
SMc02086,RL2235
exbB,noHit
exbD,noHit
SMc02083,RL2033
tolC,noHit
SMc02081,noHit
valS,valS
fadL,RL2036
exoR,exoR
xthA2,xthA
cls,cls
SMc02075,RL2039
SMc02074,dgt
argS,argS
SMc02072,noHit
SMc02071,nagZ
SMc02070,scpA
SMc02069,scpB
SMc02068,noHit
tatE,tatA
tatB,tatB
tatC,tatC
serS,serS
surE,surE
pcm,pcm
bioS,noHit
lppB,RL2052
SMc02059,RL2053
SMc02058,RL2054
secD1,secF
SMc02056,RL2056
crtB,RL2057
SMc02054,RL2058
gid,gidA1
SMc02052,noHit
SMc02051,pRL110532
tig,tig
gcvP,gcvP
gcvH,noHit
gcvT,gcvT
SMc01242,RL2570
SMc01241,RL2569
TRm5,noHit
SMc01239,noHit
gst5,noHit
nrdJ,RL1945
SMc01236,RL2396
uvrA,uvrA
ssb,ssb
SMc01232,RL2400
gyrA,gyrA
SMc01230,RL2006
SMc01229,pat
str,str
nerA,RL3432
SMc01226,RL3430
lsrB,RL3429
trxB,trxB
lrp3,RL3427
lpsC,noHit
lpsD,noHit
lpsE,noHit
lpsB,lpcC
greA,greA
SMc01217,noHit
SMc01216,noHit
carB,carB
SMc01214,RL0651
SMc01213,RL3416
SMc01212,tetA
norM,norM
SMc01210,noHit
coaD,RL2403
ppiA,RL2404
ppiB,RL2405
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,RL3838
SMc01203,RL3836
SMc01202,RL3835
SMc01200,RL3834
SMc01698,RL3833
SMc02814,RL2426
SMc01199,noHit
SMc01198,cyaA2
SMc01197,noHit
SMc01196,RL2452
SMc01195,noHit
SMc01194,RL2471
SMc01193,RL2472
metS,metG
SMc01191,RL1017
SMc01190,holB
tmk,tmk
dac,dacF
rlpA,RL2478
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,RL2027
SMc01179,noHit
SMc01178,noHit
SMc01177,pRL100255
SMc01176,RL3478
SMc01175,RL1981
cysK2,cysB
alaS2,noHit
sseA,sseA
SMc01171,RL1976
SMc01170,RL1972
ald,aldA
lrp2,aldR
cpdB,cpdB
SMc00935,RL1954
ilvA,ilvA1
trkH,noHit
SMc00938,noHit
SMc00939,noHit
SMc00940,noHit
SMc00941,noHit
SMc00942,RL3437
wrbA1,wrbA
SMc00944,RL1950
gpt,gpt
SMc00946,RL2394
glnB,glnB
glnA,glnA
SMc00949,RL2391
SMc00950,RL2390
SMc00951,RL2389
SMc00952,RL2388
SMc00953,noHit
atsA,RL1237
SMc00955,noHit
SMc00959,noHit
xthA1,exoA
SMc00958,RL1171
mfd,mfd
SMc00227,RL2385
recG,recG
SMc00229,RL2383
SMc00230,RL2805
glmS,noHit
glmU,RL2381
SMc00233,RL3492
ppiD,ppiD
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,RL1317
SMc00241,RL2380
SMc00242,bmpA
SMc00244,RL2374
SMc00243,RL2373
SMc00245,RL2372
qor,qor1
pcs,pcs
SMc00316,ubiF
SMc00317,RL2293
ccsA,ccdA
SMc00249,noHit
SMc00250,noHit
SMc00251,pRL110237
SMc00252,RL2482
SMc00253,noHit
SMc00254,RL3684
SMc04437,noHit
SMc00255,noHit
SMc00256,noHit
ropB2,noHit
SMc00258,noHit
SMc00259,noHit
SMc00260,noHit
SMc00261,noHit
SMc00262,noHit
SMc00263,noHit
SMc00264,noHit
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,RL2725
SMc00269,RL2718
SMc00270,RL2719
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,noHit
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,noHit
SMc00283,pRL80061
SMc00284,noHit
TRm5,noHit
SMc04866,RL1923
SMc00286,noHit
SMc00287,RL2104
SMc00288,RL2103
cspA5,cspA5
gloA,RL2101
SMc00291,noHit
recJ,recJ
thrA,hom1
aatC,RL2096
SMc00295,noHit
phbC,phaC
sfsA,noHit
map1,map1
radC,radC
sthA,sthA
sufA,sufA
SMc00302,sufX
csd,sufS1
sufD,sufD
SMc00531,sufC
SMc00530,sufB
nifS,sufS2
SMc00528,RL2584
anmK,RL2587
tyrS,tyrS1
SMc00525,RL2590
bcp,RL2591
SMc00523,noHit
SMc00540,noHit
SMc00539,RL2593
rhlE1,deaD
SMc00521,RL2595
SMc00520,RL2596
SMc00519,noHit
SMc00518,noHit
SMc00517,noHit
SMc00516,noHit
SMc00515,noHit
SMc00514,pRL100364
SMc00513,RL2597
SMc00512,RL0230
rpe,rpe
SMc00510,RL2599
SMc00509,RL2600
purB,purB
SMc00507,RL1963
SMc00506,RL2603
SMc00505,RL2604
SMc00504,pRL120275
SMc00503,RL2853
fldZ,RL2851
SMc00501,RL2854
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,RL2850
SMc00496,RL2304
purC,purC1
SMc00494,noHit
purQ,purQ
SMc00492,RL2609
SMc00491,noHit
SMc00490,RL2610
SMc00489,noHit
purL,purL
SMc00487,noHit
SMc00538,RL2615
SMc00537,RL2616
SMc00536,RL2617
SMc00535,RL2620
SMc00534,RL2622
glsA,glsA
rpsD,rpsD
SMc00484,RL2625
murI,murI
SMc00482,RL2628
SMc00481,RL2629
icd,icd
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,noHit
alaS,alaS
recA,recA
SMc00473,rbsK3
SMc00472,RL2639
SMc00471,RL2640
SMc00470,noHit
dksA,dksA
SMc00468,RL2644
SMc00467,RL2645
SMc00466,RL2646
SMc00548,RL2647
folK,RL2648
folB,folB
folP,folC1
SMc00194,RL2651
SMc00193,noHit
fdx,fdxB2
SMc00191,RL2653
SMc00190,RL2654
fbcC,petC
fbcB,petB
fbcF,petA
SMc00186,RL3488
SMc00185,RL3490
SMc00184,RL3491
SMc00183,RL4398
SMc00182,RL4397
SMc00196,RL1431
SMc00181,RL3493
hemF,hemF
SMc00179,RL4370
SMc00178,noHit
SMc00177,RL2658
SMc00176,RL2659
SMc00175,RL2660
SMc00174,RL2661
SMc00459,RL2662
hcaT,RL2663
SMc00171,lpxH
dme,dme
sinR,bisR
sinI,raiI
SMc00167,RL2673
bluB,RL2681
SMc00165,RL4239
SMc00164,RL4238
SMc00163,RL4237
tolB2,RL2687
nadE2,nadE1
cgmB,noHit
cgmA,noHit
SMc00159,noHit
SMc00158,noHit
SMc00157,RL1449
SMc00156,RL2690
dhs,RL2692
gor,gor
SMc00153,RL2697
rpiA,rpiA
gph1,RL2699
SMc00150,RL2700
fumC,fumC
SMc00148,RL2706
SMc00147,RL2707
SMc00146,RL2708
SMc00145,RL2710
moaA,moaA2
SMc00197,RL2728
mobA,mobA
mobB,mobB
SMc00141,RL2752
SMc00198,noHit
SMc00140,RL2753
SMc00139,RL2754
SMc00138,RL2755
usg,RL2756
SMc00136,RL1185
SMc00135,RL2757
SMc00134,RL2758
SMc00133,RL2772
SMc00132,RL2773
SMc00131,RL2776
SMc04210,RL2777
SMc04211,RL2778
SMc04212,RL2779
dgkA,dgkA
cobU,cobT
cobS,cobV
SMc04216,noHit
SMc04217,RL2782
SMc04218,RL2786
SMc04219,RL2787
SMc04220,noHit
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,RL2930
SMc04226,noHit
mcpV,mcpN
SMc04228,RL2932
SMc04229,RL2933
SMc04230,RL2936
uvrB,uvrB
SMc04232,noHit
SMc04233,pRL110201
cspA4,cspA3
SMc04235,dusA
SMc04236,noHit
SMc04237,noHit
SMc04238,RL0610A
SMc04239,RL3868
SMc04240,RL3169
SMc04241,RL3170
zur,zur
znuB,znuB
znuC,znuC
znuA,znuA
SMc04246,RL3181
SMc04247,RL2788
SMc04248,RL4140
SMc04249,noHit
TRm20,RL0792
smoM,RL4142
SMc04252,RL2789
SMc04253,RL2790
SMc04254,RL2791
manB,RL2792
SMc04256,RL2793
SMc04257,RL2794
SMc04258,RL2795
SMc04259,RL2796
SMc04260,RL2797
SMc04261,RL4308
gnd,gnd
SMc04263,noHit
SMc04264,RL2808
SMc04265,RL2809
SMc04266,RL2810
lpxXL,RL2812
adhA2,RL2813
SMc04273,fabF1
fabF2,fabF2
SMc04277,RL2816
acpXL,acpXL
cobD,cobD
cobC,cobC
cobB,cobB
cobA,cobA
cobE,cobE
SMc04286,noHit
SMc04288,noHit
SMc04290,pRL110447
SMc04293,pRL110448
SMc04294,pRL110449
SMc04295,pRL110450
SMc04297,pRL110451
SMc04301,pRL110452
cobO,cobO
cobN,cobN
cobW,cobW
cobP,cobP
SMc04306,RL4127
cyaD2,cyaA8
SMc04308,RL1292
cobQ,cobQ
SMc04310,noHit
SMc04311,RL2837
SMc04439,qatV3
SMc04312,noHit
SMc04313,noHit
SMc04314,noHit
SMc04315,RL4055
bmt,noHit
SMc04326,noHit
SMc04327,noHit
SMc04328,RL2991
SMc04329,noHit
mttB,noHit
mtbC,noHit
ecnB,noHit
SMc04333,noHit
SMc04334,noHit
SMc04335,noHit
SMc04336,noHit
SMc04337,noHit
SMc04339,noHit
SMc04340,noHit
SMc04342,noHit
SMc04345,noHit
SMc04347,noHit
SMc04451,RL1027
SMc04161,noHit
SMc04162,noHit
SMc04163,RL2839
SMc04164,noHit
SMc04165,RL1812
SMc04166,noHit
SMc04167,RL1351
SMc04168,RL1350
SMc04169,RL2879
SMc04170,RL2881
SMc04171,noHit
cyaH,pRL120502
SMc04173,RL3280
SMc04174,noHit
SMc04175,RL2470
SMc04176,RL2891
SMc04177,gfa
SMc04178,RL2892
SMc04179,pRL120230
SMc04180,noHit
SMc04181,RL0562
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,RL2995
SMc04189,noHit
SMc04190,noHit
SMc04191,noHit
SMc04194,noHit
TRm3,pRL70121
SMc04440,noHit
SMc04196,RL1123
SMc04197,noHit
SMc04198,RL1116
SMc04199,noHit
SMc04200,noHit
SMc04201,RL1369
SMc04202,pRL90272
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,RL3827
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,RL3189
SMc04272,RL3190
SMc04274,RL3191
SMc04276,RL3010
SMc04280,noHit
SMc04283,noHit
SMc04287,pRL120499
SMc04289,pRL120500
SMc04291,noHit
cyaF3,noHit
ftsZ2,ftsZ2
SMc04298,noHit
SMc04299,noHit
SMc04300,RL3192
SMc04316,RL3193
SMc04317,RL3194
cspA1,RL1298
SMc04319,RL1299
rpsU1,rpsU1
gst10,RL2759
mocA,RL3197
SMc04323,RL3199
SMc04324,noHit
SMc04338,noHit
SMc04341,noHit
cyaJ,cyaA5
SMc04344,noHit
ilvC,ilvC
SMc04348,RL3206
macA,RL2364
macB,RL2366
SMc04352,noHit
SMc04357,noHit
SMc04359,RL4096
SMc04360,noHit
SMc04361,pRL120429
SMc04362,noHit
SMc04363,pRL120428
ndh,RL3214
SMc01403,RL3215
SMc01404,asr
SMc01493,RL3220
SMc01405,RL3221
SMc01488,RL1423
SMc01406,RL1422
pdxJ,pdxJ
SMc01408,pRL110200
SMc01409,noHit
SMc01410,pRL90068
SMc01489,pRL90067
SMc01490,noHit
SMc01411,pRL110253
SMc01412,pRL110254
SMc01413,pRL110255
cyaI1,pRL110256
suhR,noHit
SMc01414,RL3224
abrB,RL3264
SMc01416,pRL70167
SMc01417,noHit
SMc01418,RL3234
rpoE1,RL3235
SMc01420,RL3236
SMc01421,noHit
SMc01422,RL3237
nthB,nhb2
nthA,nthA
SMc01425,RL3242
SMc01426,RL3406
SMc01427,RL1301
cspA2,noHit
SMc01429,RL3243
ilvH,ilvH
ilvI,ilvI
SMc01432,RL3246
SMc01433,noHit
SMc01434,noHit
miaA,miaA
serB,serB
SMc01437,pRL110463
degP2,RL3252
SMc01439,noHit
hflC,hflC
hflK,hflK
folA,folA
gst6,noHit
thyA,thyA
SMc01445,noHit
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,noHit
SMc01450,RL3257
SMc01451,RL3258
SMc01452,RL3259
TRm22,noHit
SMc01454,RL3260
dld,RL3261
SMc01456,noHit
SMc01457,RL3269
SMc01458,RL3270
SMc01459,noHit
SMc01460,noHit
uvrD1,pcrA
SMc01462,RL2632
SMc01463,noHit
SMc01464,noHit
creA,RL3290
TRm21,noHit
SMc01467,noHit
cheW2,cheW1
mcpW,noHit
SMc01470,noHit
senC,RL3288
prmA,RL3287
SMc04453,noHit
SMc01885,RL3284
SMc01884,noHit
SMc01883,RL3283
SMc01882,RL3282
panB,panB
panC,panC
SMc01879,RL3233
ligA,ligA
recN,recN
SMc01876,comL
lpxC,lpxC
ftsZ1,ftsZ1
ftsA,ftsA
ftsQ,ftsQ
ddlB,ddlB
aqpZ1,aqpZ
SMc01869,RL3303
murB,RL3305
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,RL3313
SMc01859,noHit
mraW,mraW
SMc01857,mraZ
SMc01856,RL3317
SMc01855,RL3319
SMc01854,RL3320
djlA,RL3321
pfp,pfp
SMc01851,RL3323
SMc01850,RL3324
SMc01849,RL3325
btaA,btaA
btaB,btaB
SMc01846,RL3328
mltB2,RL3329
SMc01844,RL3330
metF,metF
SMc01842,RL3332
SMc04454,RL3333
SMc02819,rnsA
SMc02818,RL3335
SMc02817,RL3336
ilvG,ilvG
SMc01573,RL3340
SMc01574,RL3341
SMc01575,RL3342
SMc01576,RL4586
SMc01579,parA2
SMc01582,RL3344
SMc01588,RL3345
SMc01594,RL3346
SMc01597,RL3347
SMc01600,RL3348
SMc01602,RL3349
SMc01605,RL3350
SMc01606,RL3351
SMc01607,RL3352
SMc01608,RL3353
ribH2,ribH2
SMc01610,pRL110507
fhuA1,noHit
TRm5,noHit
rpiB,rpiB2
tpiB,tpiA2
SMc01615,eryR
eryC,eryC
SMc01617,noHit
SMc01618,noHit
SMc01619,noHit
eryB,eryB
fucA1,noHit
SMc01622,noHit
eryA,eryA
SMc01624,noHit
SMc01625,noHit
SMc01626,noHit
SMc01627,noHit
SMc01628,noHit
eryD,eryD
SMc01630,noHit
SMc01631,RL4451
SMc01632,noHit
SMc01633,noHit
SMc01634,noHit
SMc01635,noHit
SMc01636,pRL100373
SMc01637,pRL100374
SMc01638,pRL100375
SMc01639,pRL100376
SMc01640,pRL100377
caiD,pRL100378
prbA,pRL100379
prbB,pRL100380
prbC,pRL100381
prbD,pRL100382
SMc01646,noHit
SMc01647,noHit
SMc01648,pRL100383
SMc01649,noHit
SMc01650,pRL100384
SMc01651,RL4189
SMc01652,RL4190
SMc01653,RL4191
SMc01654,RL4192
SMc01655,RL4193
SMc01656,RL4194
fhuA2,fhuA2
SMc01658,fhuF
SMc01659,RL2713
SMc01660,noHit
mttB2,noHit
SMc01662,noHit
SMc01663,noHit
SMc01664,noHit
SMc01665,noHit
mdeA,pRL120373
SMc01667,RL4642
SMc01668,pRL120070
crt,pRL120069
SMc01670,RL0498
SMc01671,RL4581
SMc01540,noHit
SMc01541,RL3637
SMc01542,RL0460
SMc01543,RL3638
aacC,aacC
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,flaR2
SMc01745,RL0258
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,noHit
SMc01749,RL3138
SMc01550,noHit
SMc01551,algI
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,RL3382
SMc01557,RL2430A
SMc01558,noHit
SMc01559,RL3385
SMc01560,RL3386
SMc01561,RL0584
SMc01562,RL3401
sigA,rpoD
tdh,tdh
bioF,kbl
recQ,recQ
dnaG,dnaG
SMc01568,RL3410
carA,carA
SMc01570,RL0348
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,aatA
SMc01580,noHit
SMc01581,noHit
SMc01583,RL3446
SMc01584,RL3448
cspA3,cspA4
SMc01586,RL3450
SMc01587,RL3458
SMc01589,noHit
SMc01590,RL3457
SMc01591,RL3456
SMc01592,RL3455
SMc01593,RL3454
SMc01595,RL3453
csaA,csaA
proC,proC1
SMc02678,RL3461
SMc03744,noHit
lgt,lgt
SMc02682,RL3464
SMc02683,RL3465
SMc02684,RL3466
SMc02685,RL3467
prsA,prs
SMc02687,noHit
SMc02688,RL4268
SMc02689,acoD
SMc02690,RL4266
SMc02691,RL3514
rplY,RL3471
pth,pth
clpS2,clpS2
engD,RL3479
SMc02696,RL3481
SMc02697,RL3482
apt,apt
SMc02699,noHit
SMc02700,papS
SMc02701,RL3497
SMc02702,RL3498
SMc02703,RL3499
SMc02704,RL3500
SMc02705,RL3501
SMc02706,RL3502
SMc02707,RL3504
SMc02708,RL3505
SMc02709,noHit
fic,noHit
SMc02711,RL3506
SMc02712,RL3507
rpoE3,RL3509
SMc02714,RL3510
SMc02715,noHit
SMc02716,noHit
leuA1,leuA1
SMc02718,noHit
TRm22,noHit
clpP2,clpP3
SMc02721,noHit
SMc02722,noHit
SMc02723,RL3517
SMc02724,RL3518
trpE,trpE
bhuR,RL3522
SMc02727,RL3523
fhs,fhs
SMc02729,RL3530
SMc02730,noHit
TRm22,noHit
SMc02732,RL0578
SMc02733,noHit
SMc02734,noHit
SMc02735,RL3531
tdk,tdk
choX,qatX1
choW,qatW1
choV,qatV1
SMc04457,RL3536
SMc01535,RL3063
SMc01534,opaB
adeC1,ade1
SMc01532,aglA2
kdgK,kdgK
TRm5,noHit
dppF2,RL4647
dppD2,RL4648
dppC2,RL4649
dppB2,RL4650
dppA2,RL4651
SMc01524,RL4652
emrE,RL3687
SMc01522,RL3688
ntrP,noHit
ntrR1,noHit
SMc01520,RL3689
SMc01519,RL3690
SMc01748,noHit
SMc01518,RL3691
SMc01517,RL3692
SMc01516,RL3693
SMc01515,noHit
SMc01514,RL3695
SMc01747,hmuP
hmuS,hmuS
hmuT,hmuT
hmuU,hmuU
hmuV,hmuV
SMc01509,RL3701
SMc01508,noHit
SMc01507,noHit
rpoE2,rpoZ
SMc01505,RL3704
SMc01504,RL3705
SMc01503,araB
SMc01502,RL4213
mtlK,mtlK
smoS,RL0650
smoK,RL4215
smoG,mtlG
smoF,mtlF
smoE,mtlE
smoC,RL4219
SMc01814,RL3707
SMc01815,pydA
SMc01816,RL3711
SMc01817,RL3712
cyaC,pRL110066
SMc01819,RL3715
SMc01820,atcC
dht,dht
SMc01822,RL3719
SMc01823,RL3720
SMc01824,RL4150
SMc01825,RL3721
SMc01826,RL3722
SMc01827,RL3723
SMc01828,RL3724
SMc01829,RL3725
ureG,ureG
ureF,ureF
ureE,ureE
SMc01833,noHit
SMc01834,noHit
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,ureY
SMc02046,RL3733
ureB,ureB
SMc01940,noHit
ureA,ureA
ureD,ureD
SMc01943,noHit
cpo,noHit
ohrR,RL3552
livK,BraC
SMc01947,RL3746
livF,BraG
livG,BraF
livM,BraE
livH,BraD
cysQ,pssB
SMc01953,RL1514
SMc01954,RL1513
SMc01955,RL4516
SMc01956,RL0672
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,pRL120786
SMc01961,noHit
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,agmaT
SMc01968,noHit
SMc01969,pRL100365
SMc01970,RL0671
puuC,pRL110154
puuB,noHit
puuA,RL1466
SMc01974,noHit
SMc01975,pRL110362
SMc01976,pRL110363
SMc01977,pRL110364
SMc01978,pRL110365
SMc01979,pRL110366
SMc01980,pRL110367
SMc01981,RL3046
coxM,ctaC2
coxN,ctaD2
coxO,ctaE2
coxP,cyoC
SMc01986,RL3041
SMc01987,pRL110236
SMc01988,noHit
SMc01989,pRL90064
SMc01990,noHit
SMc01991,RL0634
SMc01992,sorD
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,pRL110475
SMc02025,pRL110476
SMc02026,pRL110477
SMc02027,pRL110478
SMc02028,pRL110479
SMc02029,pRL110480
SMc02030,pRL110481
SMc02031,RL1746
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,noHit
SMc02036,noHit
SMc02037,pRL100460
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,RL1748
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,noHit
SMc02338,noHit
SMc02339,RL0645
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,RL2894
SMc02344,noHit
SMc02345,noHit
SMc02346,pRL120670
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,RL0262
SMc02352,noHit
SMc02353,noHit
SMc02354,noHit
SMc02355,noHit
SMc02356,noHit
SMc02357,noHit
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,noHit
SMc02413,noHit
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,noHit
SMc02418,noHit
SMc02419,noHit
SMc02420,noHit
SMc02421,noHit
SMc02423,pRL120329
SMc02424,noHit
SMc02425,RL3372
SMc02426,noHit
hyuE,noHit
SMc02428,noHit
SMc02429,RL3106
TRm17,RL4151
SMc02431,RL3105
SMc02432,RL4278
clpB,clpB
SMc02434,noHit
hemK1,hemK
prfA,prfA
ptsP,ptsP
lysC,aspC
SMc02439,RL0585
ubiG,ubiG
SMc02441,RL4287
SMc02442,RL4288
grxC,grxC
SMc02444,RL4290
SMc02445,RL4291
SMc02446,RL4292
SMc02447,RL4293
mutT,RL4294
SMc02449,RL4295
argJ,argJ
SMc02451,RL4297
secA,secA
SMc00744,RL1670
SMc00743,RL4299
SMc00742,RL4300
acsA3,acsA4
SMc00740,noHit
SMc00739,noHit
SMc00738,RL4310
SMc00737,RL4311
SMc00736,RL4312
SMc00735,noHit
SMc00734,RL4314
SMc00733,RL4315
SMc00732,RL4316
SMc00731,RL4317
SMc00730,RL4318
etfB1,etfB1
etfA1,etfA1
hbdA,hbdA
tlpA,tlpA
argH1,argH
SMc00724,RL4324
lysA,lysA
SMc00722,RL4326
TRm22,noHit
SMc00720,RL4327
hpt,hprT
SMc00718,noHit
ftsE,ftsE
ftsX,ftsX
SMc00715,RL4332
SMc00714,RL4333
chaC,RL4334
SMc00712,RL4335
tyrC,tyrC
hisC1,hisC1
SMc00709,RL4339
gloB,gloB
SMc00707,RL4341
SMc00706,RL4342
SMc00705,RL4343
rpmB,noHit
SMc00703,RL4344
SMc00702,RL4347
cobT,cobT
SMc00700,cobS
SMc00699,RL4350
SMc00698,noHit
SMc00697,RL4351
aroB,aroB
aroK,aroK
SMc00694,noHit
SMc00693,noHit
SMc00692,noHit
xerD,xerD
accA,accA
SMc00689,RL4356
SMc00688,sirA
SMc00687,noHit
SMc00686,noHit
SMc00684,RL4362
SMc00683,dacC
hipO1,RL4364
lrp1,pRL120552
SMc00680,RL3212
SMc00679,RL3211
SMc00678,noHit
SMc00677,noHit
SMc00676,noHit
SMc00675,optF
hutC,hutC
SMc00673,pRL110207
hisX,noHit
hisW,noHit
hisV,noHit
hutH2,hutH2
SMc00668,noHit
SMc00667,pRL110202
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,RL3957
SMc00658,noHit
SMc00657,RL3754
SMc00656,RL3756
SMc00655,RL3757
ctrA,RL3758
SMc00653,RL3759
chpT,RL3760
SMc00651,RL3761
SMc00650,RL3762
SMc00649,RL3763
SMc00648,RL3764
rluD,rluD
rpoH1,rpoH
SMc00644,noHit
purA,purA
SMc00642,RL3769
serA,RL3960
serC,serC
SMc00639,noHit
SMc00638,RL3962
glmM,glmM
ftsH,hflB
SMc02940,tilS
SMc02941,RL3967
pal,RL3968
tolB,tolB
tolA,tolA
tolR,exbD
tolQ,tolQ
SMc03959,pRL120229
SMc03960,RL3974
sqdB,sqdB
sqdD,sqdD
sqdC,sqdC
SMc03964,RL3991
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,RL3984
SMc03969,RL3983
SMc03970,RL3981
mexF2,RL3787
mexE2,RL3786
SMc03973,RL3980
SMc03974,RL3979
SMc03975,pRL100372
SMc03976,RL4004
SMc03977,RL4005
tkt2,cbbT
gap,gap
SMc03980,noHit
pgk,pgk
TRm5,noHit
fbaB,RL4012
SMc03984,RL4013
cyaF2,cyaA3
SMc03986,noHit
SMc03987,RL4014
SMc03988,RL4015
SMc03989,RL4016
rpmE,rpmE
SMc03991,RL4018
SMc03992,RL4023
SMc03993,RL4024
suhB,suhB
SMc03995,RL4039
thiE2,thiE2
SMc03997,RL4041
SMc03998,RL4042
SMc03999,noHit
SMc04000,RL4043
purE,purE
purK,purK
rpmJ,noHit
SMc04004,RL4046
pykA,ttuE
SMc04006,RL4061
SMc04007,RL4062
SMc04008,RL4063
SMc04009,RL4065
SMc04010,RL4066
tacA,RL4067
pepF,RL4068
pabB,pabB
SMc04014,noHit
SMc04015,pRL110269
hss,hss
omp10,RL4074
SMc04018,RL4075
hemH,hemH
SMc04020,RL4077
SMc04021,RL4078
SMc04022,RL4080
exoN2,exoN
SMc04024,RL4082
SMc04025,RL4083
gltD,gltD
gltB,gltB
SMc04029,ltaE
SMc04030,RL4088
pip2,pip
SMc04032,pRL90180
pip3,pip4
SMc04034,pRL90182
SMc04035,pRL90183
SMc04036,pRL90184
SMc04037,pRL90185
TRm17N,noHit
TRm17C,noHit
