SMc02793,mlr4488
rpsG,mlr0284
fusA1,mlr0286
tufA,noHit
rpsJ,mlr0289
rplC,mlr0291
rplD,mlr0292
rplW,msr0293
rplB,mlr0295
rpsS,msr0297
rplV,mlr0298
rpsC,mlr0300
rplP,mlr0301
rpmC,msr0303
rpsQ,msr0304
rplN,mlr0305
rplX,mlr0306
rplE,mlr0308
rpsN,mlr0309
rpsH,mlr0310
rplF,mlr0312
rplR,mlr0313
rpsE,mlr0315
rpmD,msr0316
rplO,mlr0318
secY,mlr0321
adk,mlr0322
rpsM,mlr0323
rpsK,mlr0324
rpoA,mlr0325
rplQ,mlr0326
SMc01282,noHit
SMc01281,noHit
degP3,mlr0328
SMc01279,mlr0329
sugE,mlr4864
SMc01277,noHit
gph2,noHit
rluC,mlr0334
crcB,mlr0333
SMc01273,mlr7099
SMc01272,mlr0876
SMc01271,mlr0875
adhC1,noHit
SMc01269,noHit
lipB,mlr1337
SMc01267,mll9638
SMc01266,mll9637
SMc01265,mll9636
SMc01264,noHit
SMc01263,noHit
def2,noHit
SMc01261,mll1318
SMc01260,mll1317
SMc01259,mlr1316
SMc01258,mlr1315
SMc01257,mlr0671
sda,mll0670
SMc00995,mll0669
SMc01068,noHit
SMc00996,mlr0666
SMc00997,mll0178
SMc00998,mll0183
SMc00999,mll0185
SMc01000,mll0186
SMc01001,mlr0187
SMc01002,mlr0188
SMc01003,mlr0925
hisI,mlr0923
folE,mlr0922
SMc01006,mll0920
SMc01007,mll0918
SMc01008,noHit
SMc01009,mll0605
thrS,mll0914
SMc01011,mlr0912
SMc01012,mll0911
SMc01013,mll0910
SMc01014,noHit
SMc01015,noHit
SMc01016,noHit
SMc01017,mll0676
parE,mlr0901
SMc01019,mlr0094
SMc01020,mll1265
SMc01021,mll5048
SMc01022,mll5049
tpiA,mll0610
SMc01024,mll0609
pyrG,mll0606
SMc01026,mlr0372
kdsA,mlr0374
eno,mlr0378
SMc01029,mlr0382
pdhAa,mlr0383
pdhAb,mlr0384
pdhC,mlr0385
SMc01033,mlr0387
SMc01034,noHit
lpdA1,mlr0388
SMc01036,msr0389
lipA,mlr0392
SMc04865,noHit
SMc01038,mlr0393
SMc01039,mll0394
ispDF,mll0395
dusB,mlr0396
ntrB,mlr0397
ntrC,mlr0398
ntrY,mlr0399
ntrX,mlr0400
trkA,noHit
SMc01047,mlr0401
hfq,mlr0402
hflX,mlr0403
TRm20,noHit
SMc01051,mll0404
SMc01052,mll5129
cysG,mll3232
SMc01054,msl3231
cysI,mll3230
SMc02123,mll3227
fpr,mll4785
relE,noHit
aapP,mlr8154
aapM,mlr8153
aapQ,mlr8151
aapJ,mlr8149
metC,mll8145
SMc02116,mll8158
SMc02115,noHit
SMc02114,mlr0170
cysE,mlr0175
SMc02112,noHit
SMc02111,mll0665
clpS1,mll0664
clpA,mll0663
SMc02108,noHit
SMc02107,noHit
SMc02106,mlr0662
SMc02105,mlr0661
SMc02104,mlr0660
SMc02103,mlr0658
SMc02102,mll0656
rpsB,mll0651
tsf,mll0650
pyrH,mll0643
rrf,mll0642
uppS,mll0640
cdsA,mll0639
SMc02095,mll0638
omp,mll0636
lpxD,mll0635
fabZ,mll0634
lpxA,mll0633
SMc02090,mll0631
lpxB,mll0630
SMc02088,msr4424
gltA,mlr0629
SMc02086,mll0627
exbB,mll4168
exbD,mll4167
SMc02083,mll1108
tolC,mll1107
SMc02081,noHit
valS,mll1104
fadL,mll1103
exoR,mll1100
xthA2,mlr1096
cls,mlr2852
SMc02075,mlr1094
SMc02074,mll1093
argS,mll1091
SMc02072,noHit
SMc02071,mll1089
SMc02070,mll1088
SMc02069,mll1087
SMc02068,noHit
tatE,msl1085
tatB,noHit
tatC,mll1082
serS,mll1081
surE,mll1080
pcm,mll1078
bioS,noHit
lppB,mll1077
SMc02059,mlr1073
SMc02058,mll1072
secD1,mll1070
SMc02056,mll1069
crtB,mll1068
SMc02054,noHit
gid,mlr1064
SMc02052,noHit
SMc02051,msr1062
tig,mll1054
gcvP,mlr0885
gcvH,mlr0884
gcvT,mlr0883
SMc01242,noHit
SMc01241,noHit
TRm5,noHit
SMc01239,noHit
gst5,mll0034
nrdJ,mll0136
SMc01236,mlr0752
uvrA,mlr0750
ssb,mll0743
SMc01232,mlr0740
gyrA,mll0732
SMc01230,mll3791
SMc01229,noHit
str,mll8451
nerA,mll2211
SMc01226,msl2212
lsrB,mll2551
trxB,mll2552
lrp3,mlr2554
lpsC,mlr2557
lpsD,noHit
lpsE,noHit
lpsB,noHit
greA,mll2568
SMc01217,mlr3125
SMc01216,noHit
carB,mlr2517
SMc01214,mll5168
SMc01213,mll2493
SMc01212,mll2492
norM,mll4906
SMc01210,noHit
coaD,mll0730
ppiA,mll0728
ppiB,mll0727
queA,mll0724
tgt,mll0721
SMc01205,noHit
SMc01204,noHit
SMc01203,noHit
SMc01202,noHit
SMc01200,noHit
SMc01698,noHit
SMc02814,mll1210
SMc01199,msr4656
SMc01198,mll4655
SMc01197,noHit
SMc01196,noHit
SMc01195,noHit
SMc01194,mll0416
SMc01193,mll0418
metS,mll0419
SMc01191,noHit
SMc01190,mll0423
tmk,mll0424
dac,mll0426
rlpA,mll0427
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,mlr0626
SMc01182,noHit
SMc01181,noHit
SMc01180,msl1110
SMc01179,noHit
SMc01178,noHit
SMc01177,noHit
SMc01176,noHit
SMc01175,mll0352
cysK2,mlr0353
alaS2,mlr0354
sseA,mlr0355
SMc01171,mlr0356
SMc01170,mlr0359
ald,mll9089
lrp2,mlr0363
cpdB,mlr0366
SMc00935,msl2450
ilvA,mlr0162
trkH,noHit
SMc00938,noHit
SMc00939,mlr2988
SMc00940,noHit
SMc00941,noHit
SMc00942,noHit
wrbA1,noHit
SMc00944,mll0144
gpt,mll0141
SMc00946,mlr0346
glnB,mll0345
glnA,mll0343
SMc00949,mlr0512
SMc00950,mll0513
SMc00951,mlr0514
SMc00952,mlr0515
SMc00953,noHit
atsA,noHit
SMc00955,noHit
SMc00959,noHit
xthA1,noHit
SMc00958,noHit
mfd,mll0827
SMc00227,msl0828
recG,mlr0830
SMc00229,mll0832
SMc00230,mll4853
glmS,mlr6386
glmU,mll0836
SMc00233,noHit
ppiD,mlr0613
trpD,mlr0614
trpC,mlr0615
moaC,mlr0616
moeA,mlr0617
SMc00239,noHit
SMc00240,mlr2581
SMc00241,noHit
SMc00242,mll0501
SMc00244,mll0502
SMc00243,mll0503
SMc00245,mll0504
qor,mll0505
pcs,mll0506
SMc00316,mlr0511
SMc00317,noHit
ccsA,mll0838
SMc00249,noHit
SMc00250,noHit
SMc00251,noHit
SMc00252,noHit
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,noHit
SMc00256,mll5038
ropB2,mll1390
SMc00258,noHit
SMc00259,noHit
SMc00260,noHit
SMc00261,noHit
SMc00262,mlr7614
SMc00263,mll9009
SMc00264,noHit
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,mll5766
SMc00269,mll5764
SMc00270,mll5765
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,mlr5771
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,noHit
SMc00288,mlr0169
cspA5,mlr0168
gloA,mll0167
SMc00291,noHit
recJ,mll0927
thrA,mll0934
aatC,mll0935
SMc00295,noHit
phbC,mlr0937
sfsA,noHit
map1,mlr0954
radC,mlr0956
sthA,mlr8366
sufA,mlr0024
SMc00302,mlr0023
csd,mlr0021
sufD,mlr0020
SMc00531,mlr0019
SMc00530,mlr0016
nifS,mlr0015
SMc00528,mll0014
anmK,mll7241
tyrS,mll0007
SMc00525,mlr0006
bcp,mll0004
SMc00523,noHit
SMc00540,noHit
SMc00539,mll8577
rhlE1,mll0224
SMc00521,noHit
SMc00520,mlr0026
SMc00519,mlr0093
SMc00518,mlr0092
SMc00517,mlr0091
SMc00516,mlr0089
SMc00515,mlr0088
SMc00514,mlr0087
SMc00513,mll0086
SMc00512,mll0085
rpe,noHit
SMc00510,mll0081
SMc00509,mll0080
purB,mll0079
SMc00507,noHit
SMc00506,mll1046
SMc00505,mll0076
SMc00504,noHit
SMc00503,noHit
fldZ,noHit
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,mll6980
SMc00496,mlr0071
purC,mll0069
SMc00494,msl0067
purQ,mll0065
SMc00492,mll0062
SMc00491,noHit
SMc00490,mll0059
SMc00489,noHit
purL,mll0057
SMc00487,msl0055
SMc00538,mll0053
SMc00537,mll0051
SMc00536,noHit
SMc00535,mlr0048
SMc00534,mlr0047
glsA,mlr0211
rpsD,mlr0045
SMc00484,mll1902
murI,mlr0039
SMc00482,mlr0038
SMc00481,noHit
icd,mll0036
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,mll5470
sulP,mlr4576
alaS,mlr0032
recA,mlr0030
SMc00473,mll0029
SMc00472,mll0028
SMc00471,mll0767
SMc00470,noHit
dksA,mll0773
SMc00468,mlr0774
SMc00467,mlr0775
SMc00466,mlr0776
SMc00548,mlr0777
folK,mll0786
folB,mll0787
folP,mll0788
SMc00194,mlr0789
SMc00193,noHit
fdx,msl0793
SMc00191,noHit
SMc00190,mlr0796
fbcC,mll2705
fbcB,mll2706
fbcF,mll2707
SMc00186,mll2714
SMc00185,mll2715
SMc00184,mlr2718
SMc00183,mll2599
SMc00182,mlr2720
SMc00196,noHit
SMc00181,mll2721
hemF,mlr2722
SMc00179,noHit
SMc00178,noHit
SMc00177,mll0797
SMc00176,mll0798
SMc00175,mll0800
SMc00174,mll0801
SMc00459,mlr0803
hcaT,mll0804
SMc00171,mll0806
dme,mlr0809
sinR,mlr6102
sinI,mlr6103
SMc00167,mlr0812
bluB,mll7468
SMc00165,mll4989
SMc00164,noHit
SMc00163,noHit
tolB2,noHit
nadE2,mll0818
cgmB,noHit
cgmA,mll7848
SMc00159,mll7596
SMc00158,mll7595
SMc00157,noHit
SMc00156,mll0824
dhs,mll0826
gor,mll0523
SMc00153,mll0525
rpiA,mll0526
gph1,mlr0528
SMc00150,mll0533
fumC,mll8172
SMc00148,mll0539
SMc00147,mll0537
SMc00146,mlr0538
SMc00145,mll0540
moaA,mlr0541
SMc00197,mlr0545
mobA,mlr0547
mobB,mlr0548
SMc00141,mlr2412
SMc00198,noHit
SMc00140,mlr0549
SMc00139,mlr0550
SMc00138,mlr0551
usg,noHit
SMc00136,mll1830
SMc00135,mlr2267
SMc00134,noHit
SMc00133,mlr0552
SMc00132,mlr0554
SMc00131,mll0557
SMc04210,mll0558
SMc04211,mll0560
SMc04212,mlr0562
dgkA,noHit
cobU,mll0563
cobS,mlr1388
SMc04216,mlr0564
SMc04217,mlr0565
SMc04218,mll4521
SMc04219,mll4523
SMc04220,noHit
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,noHit
SMc04226,noHit
mcpV,noHit
SMc04228,mll2602
SMc04229,mll4938
SMc04230,noHit
uvrB,mlr2631
SMc04232,noHit
SMc04233,noHit
cspA4,msr2657
SMc04235,mll0566
SMc04236,noHit
SMc04237,noHit
SMc04238,noHit
SMc04239,noHit
SMc04240,mlr1134
SMc04241,mlr0180
zur,mll3299
znuB,noHit
znuC,noHit
znuA,noHit
SMc04246,mll2469
SMc04247,noHit
SMc04248,mll5171
SMc04249,mll5170
TRm20,noHit
smoM,mlr5166
SMc04252,mll3309
SMc04253,mll3311
SMc04254,mll3313
manB,noHit
SMc04256,mll3314
SMc04257,mll3315
SMc04258,mll3316
SMc04259,mll3319
SMc04260,mlr3320
SMc04261,noHit
gnd,mll3321
SMc04263,noHit
SMc04264,mll7889
SMc04265,noHit
SMc04266,mll7529
lpxXL,mlr1179
adhA2,mlr1178
SMc04273,mlr1177
fabF2,mlr1176
SMc04277,noHit
acpXL,noHit
cobD,mlr1304
cobC,mll1303
cobB,mlr1387
cobA,mlr1386
cobE,mlr1384
SMc04286,mlr1193
SMc04288,noHit
SMc04290,noHit
SMc04293,noHit
SMc04294,noHit
SMc04295,noHit
SMc04297,noHit
SMc04301,noHit
cobO,mll1306
cobN,noHit
cobW,mlr1375
cobP,mll1308
SMc04306,noHit
cyaD2,noHit
SMc04308,mlr0493
cobQ,mll1198
SMc04310,noHit
SMc04311,noHit
SMc04439,mll7330
SMc04312,noHit
SMc04313,noHit
SMc04314,mll7825
SMc04315,mlr7826
bmt,mlr1220
SMc04326,mlr4213
SMc04327,noHit
SMc04328,mlr0120
SMc04329,mll1228
mttB,mll1230
mtbC,mlr1231
ecnB,noHit
SMc04333,mlr1233
SMc04334,mlr1236
SMc04335,noHit
SMc04336,mlr0699
SMc04337,mlr1237
SMc04339,mlr1239
SMc04340,mlr1241
SMc04342,mlr1243
SMc04345,noHit
SMc04347,mlr1245
SMc04451,noHit
SMc04161,noHit
SMc04162,noHit
SMc04163,mll1248
SMc04164,noHit
SMc04165,noHit
SMc04166,mll2043
SMc04167,mll2984
SMc04168,noHit
SMc04169,mlr1251
SMc04170,noHit
SMc04171,noHit
cyaH,mll3269
SMc04173,mlr2503
SMc04174,mll1268
SMc04175,mlr0496
SMc04176,mll1272
SMc04177,noHit
SMc04178,noHit
SMc04179,noHit
SMc04180,noHit
SMc04181,noHit
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,noHit
SMc04189,msl3831
SMc04190,mll3904
SMc04191,mll1773
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,noHit
SMc04197,noHit
SMc04198,mll8500
SMc04199,noHit
SMc04200,noHit
SMc04201,mlr4046
SMc04202,mll7160
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,mll1027
rspE,mll1026
SMc04209,noHit
lpsS,noHit
SMc04441,msr2149
SMc04269,mlr2150
SMc04271,mll1393
SMc04272,mll1399
SMc04274,noHit
SMc04276,noHit
SMc04280,noHit
SMc04283,noHit
SMc04287,noHit
SMc04289,noHit
SMc04291,mll4619
cyaF3,noHit
ftsZ2,mlr7256
SMc04298,noHit
SMc04299,noHit
SMc04300,noHit
SMc04316,mll3625
SMc04317,mll3626
cspA1,noHit
SMc04319,noHit
rpsU1,msr3117
gst10,mll3775
mocA,mll8386
SMc04323,mll1817
SMc04324,mlr1999
SMc04338,mlr1998
SMc04341,mlr1996
cyaJ,noHit
SMc04344,noHit
ilvC,mll1405
SMc04348,mll1406
macA,noHit
macB,mlr1397
SMc04352,noHit
SMc04357,noHit
SMc04359,noHit
SMc04360,noHit
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,mlr0365
SMc01403,noHit
SMc01404,mll4070
SMc01493,mll1412
SMc01405,mlr1414
SMc01488,noHit
SMc01406,noHit
pdxJ,mll1418
SMc01408,noHit
SMc01409,noHit
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,mll0572
SMc01412,mll0573
SMc01413,mll0574
cyaI1,mll0576
suhR,noHit
SMc01414,mll1421
abrB,mlr2782
SMc01416,noHit
SMc01417,noHit
SMc01418,noHit
rpoE1,mlr7773
SMc01420,mlr7774
SMc01421,noHit
SMc01422,mll1422
nthB,mll1423
nthA,mll1425
SMc01425,mll1430
SMc01426,mll3908
SMc01427,noHit
cspA2,msr6259
SMc01429,mlr5327
ilvH,mll1432
ilvI,mll1433
SMc01432,mlr1445
SMc01433,noHit
SMc01434,noHit
miaA,mll1448
serB,mlr1449
SMc01437,mlr1450
degP2,mll1451
SMc01439,mll2220
hflC,mll1454
hflK,mll1455
folA,mll1457
gst6,noHit
thyA,mll1467
SMc01445,noHit
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,mll1468
SMc01450,mlr1474
SMc01451,msr1475
SMc01452,msr1476
TRm22,noHit
SMc01454,mll1482
dld,mll1488
SMc01456,noHit
SMc01457,noHit
SMc01458,noHit
SMc01459,mlr5444
SMc01460,mll1719
uvrD1,mlr1503
SMc01462,mll7433
SMc01463,mll6596
SMc01464,noHit
creA,mll1531
TRm21,noHit
SMc01467,noHit
cheW2,noHit
mcpW,noHit
SMc01470,noHit
senC,mlr1532
prmA,mlr1533
SMc04453,noHit
SMc01885,mlr1535
SMc01884,noHit
SMc01883,msl1536
SMc01882,mll1537
panB,mll0197
panC,mll0196
SMc01879,mll4832
ligA,mll1539
recN,mll1541
SMc01876,mll1543
lpxC,mll1545
ftsZ1,mll1546
ftsA,mll1549
ftsQ,mll1550
ddlB,mll1551
aqpZ1,noHit
SMc01869,noHit
murB,mll1552
murC,mll1553
murG,mll1554
ftsW,mll1555
murD,mll1557
mraY,mll1558
murF,mll1559
murE,mll1560
ftsI,mll1561
SMc01859,mll1563
mraW,mll1565
SMc01857,noHit
SMc01856,noHit
SMc01855,noHit
SMc01854,mll1570
djlA,mll1571
pfp,noHit
SMc01851,mlr5029
SMc01850,noHit
SMc01849,mll1578
btaA,mlr1574
btaB,mlr1575
SMc01846,mlr1579
mltB2,mlr1581
SMc01844,mlr1585
metF,mll1587
SMc01842,mll1589
SMc04454,mll1607
SMc02819,mll1611
SMc02818,mlr1612
SMc02817,noHit
ilvG,mlr1615
SMc01573,mll8311
SMc01574,noHit
SMc01575,noHit
SMc01576,mll7172
SMc01579,mlr9294
SMc01582,mll3070
SMc01588,mll3072
SMc01594,mll3074
SMc01597,mll3075
SMc01600,mll3076
SMc01602,mlr3078
SMc01605,mll3069
SMc01606,mll3068
SMc01607,mll3067
SMc01608,mll3065
ribH2,mll7281
SMc01610,noHit
fhuA1,noHit
TRm5,noHit
rpiB,noHit
tpiB,mlr7275
SMc01615,mlr7274
eryC,mlr7272
SMc01617,mlr3604
SMc01618,mlr3603
SMc01619,mlr7271
eryB,mlr7270
fucA1,noHit
SMc01622,mlr7269
eryA,mlr7268
SMc01624,mlr7267
SMc01625,mlr7266
SMc01626,mlr7265
SMc01627,mlr7264
SMc01628,mlr7261
eryD,mlr7259
SMc01630,noHit
SMc01631,mlr3666
SMc01632,noHit
SMc01633,mlr4191
SMc01634,noHit
SMc01635,mll6713
SMc01636,noHit
SMc01637,mlr5039
SMc01638,mlr5041
SMc01639,mlr5042
SMc01640,mlr5043
caiD,mlr5044
prbA,noHit
prbB,mll5126
prbC,mll5124
prbD,mll5123
SMc01646,mll6996
SMc01647,mlr6997
SMc01648,mlr6999
SMc01649,mlr4389
SMc01650,mll4497
SMc01651,mlr5377
SMc01652,mlr5381
SMc01653,mlr5382
SMc01654,mlr5383
SMc01655,mlr5384
SMc01656,mlr5385
fhuA2,noHit
SMc01658,noHit
SMc01659,noHit
SMc01660,noHit
mttB2,mll5409
SMc01662,mlr1283
SMc01663,mlr1280
SMc01664,noHit
SMc01665,mll6723
mdeA,mll1618
SMc01667,mll4401
SMc01668,mll8133
crt,mlr8134
SMc01670,mlr3943
SMc01671,mll5242
SMc01540,noHit
SMc01541,noHit
SMc01542,noHit
SMc01543,noHit
aacC,noHit
SMc01545,mlr3150
SMc01546,msr2443
SMc01547,mlr2029
SMc01740,noHit
SMc01741,noHit
SMc01742,noHit
SMc01745,noHit
SMc04442,noHit
SMc01548,noHit
SMc01744,mll3788
SMc01549,noHit
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,mlr2408
SMc01557,noHit
SMc01558,noHit
SMc01559,noHit
SMc01560,mlr2642
SMc01561,mlr1655
SMc01562,mll2465
sigA,mll2466
tdh,mlr8299
bioF,mlr8297
recQ,mll4050
dnaG,mll2467
SMc01568,mll2487
carA,mlr2489
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,mlr2541
SMc01580,noHit
SMc01581,noHit
SMc01583,noHit
SMc01584,noHit
cspA3,msr2658
SMc01586,mlr2659
SMc01587,mll2661
SMc01589,noHit
SMc01590,mlr4377
SMc01591,noHit
SMc01592,mlr2665
SMc01593,mlr2666
SMc01595,mlr2667
csaA,mll2673
proC,mll6498
SMc02678,mll2674
SMc03744,mll2675
lgt,mlr2678
SMc02682,mlr2680
SMc02683,mlr2681
SMc02684,mlr2682
SMc02685,noHit
prsA,mlr2685
SMc02687,mll5340
SMc02688,mll6637
SMc02689,mll6639
SMc02690,mll6640
SMc02691,mlr5064
rplY,mlr2692
pth,mlr2694
clpS2,mll2736
engD,mlr2695
SMc02696,mlr2698
SMc02697,mlr2699
apt,mll2701
SMc02699,msr2723
SMc02700,mll2726
SMc02701,mll2727
SMc02702,mll2728
SMc02703,mlr2730
SMc02704,mlr2732
SMc02705,mlr2734
SMc02706,mlr2735
SMc02707,mlr2800
SMc02708,mll2799
SMc02709,noHit
fic,noHit
SMc02711,mlr2797
SMc02712,mll2796
rpoE3,noHit
SMc02714,noHit
SMc02715,noHit
SMc02716,noHit
leuA1,mlr2792
SMc02718,noHit
TRm22,noHit
clpP2,noHit
SMc02721,noHit
SMc02722,noHit
SMc02723,mll8291
SMc02724,mlr2775
trpE,mlr2774
bhuR,noHit
SMc02727,noHit
fhs,mlr2763
SMc02729,mlr2761
SMc02730,mlr2759
TRm22,noHit
SMc02732,noHit
SMc02733,mlr2758
SMc02734,mlr2755
SMc02735,mlr2754
tdk,mlr2747
choX,noHit
choW,mll2744
choV,mll2742
SMc04457,mlr2805
SMc01535,noHit
SMc01534,mll1632
adeC1,noHit
SMc01532,mlr7593
kdgK,mlr1166
TRm5,noHit
dppF2,mlr5517
dppD2,mlr5516
dppC2,mlr5515
dppB2,mlr5514
dppA2,mlr5513
SMc01524,mll3679
emrE,noHit
SMc01522,noHit
ntrP,mll1671
ntrR1,noHit
SMc01520,noHit
SMc01519,mll8379
SMc01748,noHit
SMc01518,mlr1159
SMc01517,noHit
SMc01516,noHit
SMc01515,noHit
SMc01514,mlr1156
SMc01747,noHit
hmuS,mll1152
hmuT,mll1151
hmuU,mll1150
hmuV,mll1149
SMc01509,noHit
SMc01508,noHit
SMc01507,mlr3690
rpoE2,mll3697
SMc01505,noHit
SMc01504,noHit
SMc01503,mll4918
SMc01502,mll4919
mtlK,mll4920
smoS,mll4921
smoK,mll4923
smoG,mll4924
smoF,mll4925
smoE,mll4927
smoC,mll4931
SMc01814,mll1646
SMc01815,mll1643
SMc01816,mll2578
SMc01817,noHit
cyaC,noHit
SMc01819,mlr1634
SMc01820,mll1631
dht,mll1629
SMc01822,mlr1626
SMc01823,mll1625
SMc01824,mll4390
SMc01825,mll1624
SMc01826,mll1623
SMc01827,mll1621
SMc01828,noHit
SMc01829,noHit
ureG,mll4934
ureF,mll4936
ureE,mll4937
SMc01833,noHit
SMc01834,mll5873
SMc01995,noHit
SMc01836,noHit
ureC,mll4940
SMc01838,noHit
SMc02046,mll3812
ureB,msl4944
SMc01940,msl4947
ureA,mll4948
ureD,mll4949
SMc01943,noHit
cpo,mlr0978
ohrR,noHit
livK,mll3970
SMc01947,mll3972
livF,mll3974
livG,mll3975
livM,noHit
livH,mll3977
cysQ,mlr7577
SMc01953,noHit
SMc01954,mll3694
SMc01955,mlr1526
SMc01956,noHit
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,mlr0414
SMc01961,mll3759
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,mlr4895
SMc01968,mll4894
SMc01969,noHit
SMc01970,noHit
puuC,mll2219
puuB,mll4186
puuA,mll7254
SMc01974,mlr7177
SMc01975,mll0857
SMc01976,mll0856
SMc01977,mll0854
SMc01978,mll0853
SMc01979,mll0851
SMc01980,noHit
SMc01981,mll1048
coxM,mlr1039
coxN,mlr1041
coxO,mlr1042
coxP,mlr1043
SMc01986,mlr1044
SMc01987,mll1258
SMc01988,noHit
SMc01989,noHit
SMc01990,noHit
SMc01991,noHit
SMc01992,mlr4915
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,noHit
SMc02025,noHit
SMc02026,noHit
SMc02027,noHit
SMc02028,mll7245
SMc02029,noHit
SMc02030,noHit
SMc02031,mll3597
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,mlr9216
SMc02036,noHit
SMc02037,noHit
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,noHit
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,mll1016
SMc02338,noHit
SMc02339,mll7334
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,mll1728
SMc02344,noHit
SMc02345,mlr7951
SMc02346,mll1253
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,noHit
SMc02352,noHit
SMc02353,noHit
SMc02354,noHit
SMc02355,noHit
SMc02356,noHit
SMc02357,mlr9038
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,mll6720
SMc02413,noHit
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,noHit
SMc02418,noHit
SMc02419,noHit
SMc02420,mll2061
SMc02421,noHit
SMc02423,mll0596
SMc02424,noHit
SMc02425,noHit
SMc02426,noHit
hyuE,noHit
SMc02428,noHit
SMc02429,noHit
TRm17,noHit
SMc02431,noHit
SMc02432,mlr3423
clpB,mll3429
SMc02434,noHit
hemK1,mll3434
prfA,mll3435
ptsP,mll3436
lysC,mll3437
SMc02439,mll8258
ubiG,mlr3442
SMc02441,mll3449
SMc02442,mll3450
grxC,msl3452
SMc02444,mll3453
SMc02445,mlr3455
SMc02446,noHit
SMc02447,mll3458
mutT,mll3459
SMc02449,mll3460
argJ,mll3461
SMc02451,mll3467
secA,mlr3468
SMc00744,noHit
SMc00743,mlr3470
SMc00742,mlr3471
acsA3,mll6017
SMc00740,noHit
SMc00739,noHit
SMc00738,mlr3476
SMc00737,mll3477
SMc00736,mll3478
SMc00735,mlr3479
SMc00734,mll3481
SMc00733,mlr3482
SMc00732,msr3483
SMc00731,mlr3485
SMc00730,mlr3486
etfB1,mlr3487
etfA1,mlr3488
hbdA,mlr3490
tlpA,mll3505
argH1,mlr3506
SMc00724,noHit
lysA,mlr3508
SMc00722,mlr3512
TRm22,noHit
SMc00720,noHit
hpt,mll3520
SMc00718,noHit
ftsE,mlr3522
ftsX,mlr3523
SMc00715,mlr3524
SMc00714,mlr3529
chaC,mll3532
SMc00712,noHit
tyrC,mll3535
hisC1,mll3536
SMc00709,mll3545
gloB,mlr3546
SMc00707,mlr3548
SMc00706,mll3550
SMc00705,mll3551
rpmB,mlr3552
SMc00703,mlr3554
SMc00702,mll3560
cobT,mll3561
SMc00700,mll3563
SMc00699,mll3564
SMc00698,mlr3565
SMc00697,mll3569
aroB,mll3571
aroK,mll3573
SMc00694,msr9263
SMc00693,noHit
SMc00692,noHit
xerD,mlr3575
accA,mlr3576
SMc00689,noHit
SMc00688,msr3579
SMc00687,noHit
SMc00686,noHit
SMc00684,mll3580
SMc00683,mll3581
hipO1,mlr3583
lrp1,mlr1161
SMc00680,noHit
SMc00679,mlr2197
SMc00678,noHit
SMc00677,noHit
SMc00676,noHit
SMc00675,noHit
hutC,noHit
SMc00673,mll8318
hisX,noHit
hisW,noHit
hisV,noHit
hutH2,mll0151
SMc00668,noHit
SMc00667,mlr8324
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
