SMc02793,DK53_1986
rluC,DK53_988
crcB,DK53_2408
SMc01273,fghA
SMc01272,DK53_140
SMc01271,DK53_1900
adhC1,DK53_142
SMc01269,noHit
lipB,lipB
SMc01267,noHit
SMc01266,noHit
SMc01265,noHit
SMc01264,noHit
SMc01263,noHit
def2,def
SMc01261,mgtE
SMc01260,DK53_1164
SMc01259,noHit
SMc01258,DK53_1163
SMc01257,noHit
sda,DK53_1161
SMc00995,DK53_1160
SMc01068,noHit
SMc00996,DK53_1158
SMc00997,noHit
SMc00998,DK53_2051
SMc00999,noHit
SMc01000,noHit
SMc01001,DK53_1237
SMc01002,DK53_1236
SMc01003,DK53_1065
hisI,DK53_1064
folE,folE
SMc01006,DK53_1062
SMc01007,DK53_1061
SMc01008,noHit
SMc01009,noHit
thrS,thrS
SMc01011,DK53_1058
SMc01012,DK53_1057
SMc01013,DK53_1056
SMc01014,noHit
SMc01015,noHit
SMc01016,noHit
SMc01017,noHit
parE,parE
SMc01019,DK53_1270
SMc01020,noHit
SMc01021,noHit
SMc01022,noHit
tpiA,tpiA
SMc01024,secG
pyrG,pyrG
SMc01026,noHit
kdsA,kdsA
eno,eno
SMc01029,DK53_1120
pdhAa,pdhA
pdhAb,DK53_1118
pdhC,DK53_1117
SMc01033,noHit
SMc01034,noHit
lpdA1,lpdA
SMc01036,DK53_952
lipA,lipA
SMc04865,noHit
SMc01038,DK53_1113
SMc01039,cinA
ispDF,ispD
dusB,DK53_1110
ntrB,DK53_1109
ntrC,ntrC
ntrY,DK53_1107
ntrX,DK53_1106
trkA,DK53_1105
SMc01047,noHit
hfq,hfq
hflX,hflX
TRm20,noHit
SMc01051,DK53_1055
SMc01052,DK53_2555
cysG,cobA
SMc01054,DK53_190
cysI,DK53_191
SMc02123,DK53_193
fpr,fpr
relE,noHit
aapP,DK53_750
aapM,DK53_749
aapQ,noHit
aapJ,DK53_746
metC,metC
SMc02116,DK53_751
SMc02115,DK53_752
SMc02114,DK53_1244
cysE,cysE
SMc02112,DK53_1242
SMc02111,noHit
clpS1,clpS
clpA,clpA
SMc02108,noHit
SMc02107,noHit
SMc02106,DK53_1155
SMc02105,DK53_1154
SMc02104,DK53_1153
SMc02103,DK53_1152
SMc02102,DK53_1151
rpsB,rpsB
tsf,tsf
pyrH,pyrH
rrf,frr
uppS,uppS
cdsA,DK53_1144
SMc02095,rseP
omp,yaeT
lpxD,lpxD
fabZ,fabZ
lpxA,lpxA
SMc02090,DK53_1138
lpxB,lpxB
SMc02088,noHit
gltA,gltA
SMc02086,DK53_1133
exbB,exbB
exbD,exbD
SMc02083,DK53_932
tolC,bepC
SMc02081,noHit
valS,valS
fadL,DK53_937
exoR,DK53_866
xthA2,xth
cls,cls
SMc02075,DK53_869
SMc02074,dgt
argS,argS
SMc02072,noHit
SMc02071,DK53_873
SMc02070,DK53_874
SMc02069,scpB
SMc02068,DK53_2521
tatE,tatA
tatB,noHit
tatC,tatC
serS,serS
surE,surE
pcm,DK53_881
bioS,noHit
lppB,noHit
SMc02059,DK53_883
SMc02058,yajC
secD1,noHit
SMc02056,DK53_886
crtB,DK53_887
SMc02054,noHit
gid,trmFO
SMc02052,noHit
SMc02051,DK53_889
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,DK53_69
SMc01241,noHit
TRm5,noHit
SMc01239,noHit
gst5,noHit
nrdJ,DK53_1030
SMc01236,noHit
uvrA,uvrA
ssb,ssb4
SMc01232,DK53_1089
gyrA,gyrA
SMc01230,DK53_1473
SMc01229,DK53_1602
str,noHit
nerA,DK53_2336
SMc01226,DK53_2335
lsrB,DK53_1460
trxB,trxB
lrp3,DK53_1463
lpsC,noHit
lpsD,noHit
lpsE,noHit
lpsB,DK53_1464
greA,greA
SMc01217,noHit
SMc01216,noHit
carB,carB
SMc01214,noHit
SMc01213,DK53_1449
SMc01212,noHit
norM,DK53_374
SMc01210,noHit
coaD,coaD
ppiA,DK53_1085
ppiB,DK53_1084
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,noHit
SMc01203,DK53_2892
SMc01202,noHit
SMc01200,noHit
SMc01698,noHit
SMc02814,noHit
SMc01199,noHit
SMc01198,noHit
SMc01197,noHit
SMc01196,noHit
SMc01195,noHit
SMc01194,DK53_986
SMc01193,DK53_985
metS,metG
SMc01191,noHit
SMc01190,holB
tmk,tmk
dac,DK53_981
rlpA,rlpA
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,noHit
SMc01179,noHit
SMc01178,noHit
SMc01177,noHit
SMc01176,noHit
SMc01175,noHit
cysK2,DK53_1039
alaS2,DK53_1040
sseA,DK53_1041
SMc01171,DK53_1042
SMc01170,noHit
ald,noHit
lrp2,DK53_2316
cpdB,noHit
SMc00935,DK53_1443
ilvA,ilvA
trkH,DK53_1462
SMc00938,noHit
SMc00939,noHit
SMc00940,noHit
SMc00941,noHit
SMc00942,noHit
wrbA1,wrbA
SMc00944,DK53_1034
gpt,DK53_1032
SMc00946,DK53_994
glnB,glnB
glnA,glnA
SMc00949,DK53_2639
SMc00950,DK53_2638
SMc00951,DK53_2637
SMc00952,DK53_2636
SMc00953,noHit
atsA,noHit
SMc00955,noHit
SMc00959,noHit
xthA1,noHit
SMc00958,noHit
mfd,mfd
SMc00227,DK53_2633
recG,recG
SMc00229,noHit
SMc00230,DK53_1507
glmS,noHit
glmU,glmU
SMc00233,noHit
ppiD,DK53_1128
trpD,trpD
trpC,DK53_1130
moaC,moaC
moeA,DK53_1132
SMc00239,noHit
SMc00240,noHit
SMc00241,DK53_2294
SMc00242,DK53_2647
SMc00244,DK53_2646
SMc00243,DK53_2645
SMc00245,DK53_2644
qor,DK53_2642
pcs,pcs
SMc00316,DK53_2640
SMc00317,DK53_1415
ccsA,DK53_2629
SMc00249,noHit
SMc00250,noHit
SMc00251,noHit
SMc00252,noHit
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,noHit
SMc00256,noHit
ropB2,DK53_132
SMc00258,noHit
SMc00259,noHit
SMc00260,noHit
SMc00261,noHit
SMc00262,noHit
SMc00263,noHit
SMc00264,hdhA
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,noHit
SMc00269,noHit
SMc00270,noHit
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,noHit
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,DK53_724
SMc00288,DK53_1245
cspA5,DK53_1246
gloA,gloA
SMc00291,noHit
recJ,recJ
thrA,DK53_1253
aatC,DK53_1254
SMc00295,noHit
phbC,noHit
sfsA,sfsA
map1,map
radC,DK53_1262
sthA,noHit
sufA,sufA
SMc00302,DK53_924
csd,sufS
sufD,sufD
SMc00531,sufC
SMc00530,sufB
nifS,DK53_919
SMc00528,DK53_918
anmK,DK53_917
tyrS,tyrS
SMc00525,DK53_914
bcp,DK53_913
SMc00523,DK53_912
SMc00540,noHit
SMc00539,noHit
rhlE1,DK53_928
SMc00521,noHit
SMc00520,noHit
SMc00519,noHit
SMc00518,noHit
SMc00517,noHit
SMc00516,noHit
SMc00515,noHit
SMc00514,DK53_1271
SMc00513,DK53_1273
SMc00512,DK53_2811
rpe,rpe
SMc00510,noHit
SMc00509,noHit
purB,purB
SMc00507,noHit
SMc00506,noHit
SMc00505,DK53_843
SMc00504,noHit
SMc00503,noHit
fldZ,noHit
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,noHit
SMc00496,DK53_841
purC,purC
SMc00494,purS
purQ,purQ
SMc00492,DK53_836
SMc00491,noHit
SMc00490,noHit
SMc00489,noHit
purL,purL
SMc00487,DK53_834
SMc00538,grxD
SMc00537,DK53_831
SMc00536,noHit
SMc00535,DK53_830
SMc00534,DK53_829
glsA,glsA
rpsD,rpsD
SMc00484,DK53_1490
murI,murI
SMc00482,DK53_1180
SMc00481,noHit
icd,DK53_1183
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,noHit
alaS,alaS
recA,recA
SMc00473,noHit
SMc00472,noHit
SMc00471,DK53_1026
SMc00470,noHit
dksA,dksA
SMc00468,DK53_1022
SMc00467,DK53_1021
SMc00466,DK53_1020
SMc00548,DK53_1019
folK,folK
folB,folB
folP,folP
SMc00194,DK53_1015
SMc00193,noHit
fdx,DK53_1012
SMc00191,noHit
SMc00190,DK53_1011
fbcC,DK53_1498
fbcB,DK53_1499
fbcF,petA
SMc00186,DK53_1501
SMc00185,DK53_1502
SMc00184,DK53_1503
SMc00183,noHit
SMc00182,noHit
SMc00196,noHit
SMc00181,DK53_1505
hemF,DK53_1506
SMc00179,noHit
SMc00178,noHit
SMc00177,DK53_1010
SMc00176,DK53_1009
SMc00175,DK53_1008
SMc00174,DK53_1007
SMc00459,DK53_1006
hcaT,noHit
SMc00171,noHit
dme,dme
sinR,DK53_199
sinI,noHit
SMc00167,noHit
bluB,bluB
SMc00165,DK53_1314
SMc00164,noHit
SMc00163,noHit
tolB2,noHit
nadE2,nadE
cgmB,noHit
cgmA,noHit
SMc00159,noHit
SMc00158,noHit
SMc00157,noHit
SMc00156,noHit
dhs,DK53_1000
gor,gor
SMc00153,DK53_998
rpiA,rpiA
gph1,gph
SMc00150,noHit
fumC,fumC
SMc00148,noHit
SMc00147,noHit
SMc00146,noHit
SMc00145,DK53_945
moaA,moaA
SMc00197,DK53_2551
mobA,DK53_943
mobB,mobB
SMc00141,noHit
SMc00198,noHit
SMc00140,DK53_858
SMc00139,noHit
SMc00138,noHit
usg,DK53_1742
SMc00136,DK53_719
SMc00135,noHit
SMc00134,DK53_1052
SMc00133,DK53_939
SMc00132,noHit
SMc00131,DK53_863
SMc04210,DK53_864
SMc04211,DK53_865
SMc04212,noHit
dgkA,DK53_1001
cobU,cobT
cobS,cobS
SMc04216,noHit
SMc04217,DK53_859
SMc04218,noHit
SMc04219,noHit
SMc04220,noHit
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,noHit
SMc04226,noHit
mcpV,noHit
SMc04228,DK53_1470
SMc04229,noHit
SMc04230,DK53_1468
uvrB,uvrB
SMc04232,noHit
SMc04233,noHit
cspA4,noHit
SMc04235,dusA
SMc04236,noHit
SMc04237,noHit
SMc04238,noHit
SMc04239,noHit
SMc04240,DK53_77
SMc04241,DK53_1241
zur,DK53_2116
znuB,DK53_2117
znuC,DK53_2118
znuA,DK53_2119
SMc04246,DK53_2670
SMc04247,noHit
SMc04248,DK53_378
SMc04249,DK53_379
TRm20,noHit
smoM,smoM
SMc04252,noHit
SMc04253,noHit
SMc04254,noHit
manB,noHit
SMc04256,noHit
SMc04257,noHit
SMc04258,noHit
SMc04259,noHit
SMc04260,noHit
SMc04261,noHit
gnd,gnd
SMc04263,agcS
SMc04264,noHit
SMc04265,noHit
SMc04266,DK53_520
lpxXL,DK53_847
adhA2,DK53_848
SMc04273,DK53_849
fabF2,DK53_850
SMc04277,noHit
acpXL,acpXL
cobD,cobD
cobC,DK53_1274
cobB,cobB
cobA,cobA
cobE,DK53_1280
SMc04286,DK53_1283
SMc04288,noHit
SMc04290,noHit
SMc04293,noHit
SMc04294,noHit
SMc04295,noHit
SMc04297,noHit
SMc04301,noHit
cobO,cobO
cobN,cobN
cobW,cobW
cobP,cobP
SMc04306,noHit
cyaD2,noHit
SMc04308,DK53_11
cobQ,cobQ
SMc04310,noHit
SMc04311,noHit
SMc04439,noHit
SMc04312,noHit
SMc04313,noHit
SMc04314,noHit
SMc04315,noHit
bmt,noHit
SMc04326,noHit
SMc04327,noHit
SMc04328,DK53_1622
SMc04329,noHit
mttB,noHit
mtbC,noHit
ecnB,noHit
SMc04333,noHit
SMc04334,noHit
SMc04335,noHit
SMc04336,DK53_2625
SMc04337,noHit
SMc04339,noHit
SMc04340,noHit
SMc04342,noHit
SMc04345,noHit
SMc04347,noHit
SMc04451,noHit
SMc04161,noHit
SMc04162,noHit
SMc04163,DK53_1294
SMc04164,noHit
SMc04165,noHit
SMc04166,noHit
SMc04167,DK53_519
SMc04168,frmR
SMc04169,DK53_1295
SMc04170,noHit
SMc04171,noHit
cyaH,noHit
SMc04173,noHit
SMc04174,DK53_1298
SMc04175,noHit
SMc04176,DK53_1299
SMc04177,noHit
SMc04178,noHit
SMc04179,DK53_2556
SMc04180,noHit
SMc04181,noHit
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,noHit
SMc04189,noHit
SMc04190,noHit
SMc04191,noHit
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,noHit
SMc04197,noHit
SMc04198,noHit
SMc04199,noHit
SMc04200,noHit
SMc04201,noHit
SMc04202,noHit
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,noHit
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,DK53_1347
SMc04272,DK53_1348
SMc04274,DK53_1349
SMc04276,noHit
SMc04280,noHit
SMc04283,noHit
SMc04287,noHit
SMc04289,noHit
SMc04291,noHit
cyaF3,noHit
ftsZ2,noHit
SMc04298,noHit
SMc04299,noHit
SMc04300,noHit
SMc04316,noHit
SMc04317,noHit
cspA1,noHit
SMc04319,noHit
rpsU1,noHit
gst10,noHit
mocA,noHit
SMc04323,DK53_1351
SMc04324,noHit
SMc04338,noHit
SMc04341,noHit
cyaJ,noHit
SMc04344,noHit
ilvC,ilvC
SMc04348,DK53_1353
macA,DK53_1625
macB,noHit
SMc04352,noHit
SMc04357,noHit
SMc04359,noHit
SMc04360,noHit
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,DK53_2722
SMc01403,noHit
SMc01404,noHit
SMc01493,noHit
SMc01405,noHit
SMc01488,noHit
SMc01406,noHit
pdxJ,pdxJ
SMc01408,noHit
SMc01409,noHit
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,noHit
SMc01412,noHit
SMc01413,noHit
cyaI1,noHit
suhR,noHit
SMc01414,DK53_1357
abrB,noHit
SMc01416,noHit
SMc01417,noHit
SMc01418,noHit
rpoE1,noHit
SMc01420,noHit
SMc01421,noHit
SMc01422,noHit
nthB,noHit
nthA,noHit
SMc01425,noHit
SMc01426,DK53_127
SMc01427,noHit
cspA2,DK53_1455
SMc01429,noHit
ilvH,ilvN
ilvI,ilvB
SMc01432,noHit
SMc01433,noHit
SMc01434,noHit
miaA,miaA
serB,serB
SMc01437,noHit
degP2,DK53_1363
SMc01439,noHit
hflC,hflC
hflK,hflK
folA,DK53_1367
gst6,noHit
thyA,thyA
SMc01445,noHit
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,DK53_1369
SMc01450,DK53_1372
SMc01451,DK53_1374
SMc01452,DK53_1375
TRm22,noHit
SMc01454,DK53_1376
dld,DK53_1378
SMc01456,noHit
SMc01457,DK53_318
SMc01458,DK53_316
SMc01459,noHit
SMc01460,noHit
uvrD1,DK53_1381
SMc01462,noHit
SMc01463,noHit
SMc01464,noHit
creA,DK53_1382
TRm21,noHit
SMc01467,noHit
cheW2,noHit
mcpW,noHit
SMc01470,noHit
senC,DK53_1384
prmA,DK53_1385
SMc04453,noHit
SMc01885,DK53_1387
SMc01884,noHit
SMc01883,noHit
SMc01882,noHit
panB,panB
panC,panC
SMc01879,noHit
ligA,ligA
recN,recN
SMc01876,yfiO
lpxC,lpxC
ftsZ1,ftsZ
ftsA,ftsA
ftsQ,DK53_1394
ddlB,DK53_1395
aqpZ1,aqpZ2
SMc01869,DK53_2515
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,DK53_1404
SMc01859,DK53_1405
mraW,rsmH
SMc01857,noHit
SMc01856,noHit
SMc01855,DK53_1408
SMc01854,DK53_1410
djlA,DK53_1411
pfp,noHit
SMc01851,noHit
SMc01850,noHit
SMc01849,DK53_1029
btaA,noHit
btaB,noHit
SMc01846,DK53_1413
mltB2,DK53_1414
SMc01844,noHit
metF,metF
SMc01842,DK53_1417
SMc04454,ccmA
SMc02819,noHit
SMc02818,DK53_1422
SMc02817,DK53_2622
ilvG,DK53_2293
SMc01573,DK53_2525
SMc01574,noHit
SMc01575,DK53_1795
SMc01576,DK53_2332
SMc01579,noHit
SMc01582,DK53_2490
SMc01588,noHit
SMc01594,DK53_2491
SMc01597,noHit
SMc01600,DK53_2492
SMc01602,DK53_2493
SMc01605,DK53_3023
SMc01606,DK53_3024
SMc01607,DK53_3025
SMc01608,DK53_3026
ribH2,ribH2
SMc01610,noHit
fhuA1,noHit
TRm5,noHit
rpiB,DK53_2366
tpiB,DK53_2367
SMc01615,DK53_2368
eryC,DK53_2370
SMc01617,noHit
SMc01618,noHit
SMc01619,noHit
eryB,DK53_2371
fucA1,DK53_2133
SMc01622,noHit
eryA,DK53_2372
SMc01624,noHit
SMc01625,noHit
SMc01626,noHit
SMc01627,noHit
SMc01628,noHit
eryD,DK53_2369
SMc01630,noHit
SMc01631,noHit
SMc01632,noHit
SMc01633,noHit
SMc01634,noHit
SMc01635,noHit
SMc01636,noHit
SMc01637,noHit
SMc01638,noHit
SMc01639,noHit
SMc01640,noHit
caiD,noHit
prbA,noHit
prbB,noHit
prbC,noHit
prbD,noHit
SMc01646,noHit
SMc01647,noHit
SMc01648,noHit
SMc01649,noHit
SMc01650,noHit
SMc01651,noHit
SMc01652,noHit
SMc01653,noHit
SMc01654,noHit
SMc01655,noHit
SMc01656,noHit
fhuA2,noHit
SMc01658,noHit
SMc01659,noHit
SMc01660,noHit
mttB2,noHit
SMc01662,noHit
SMc01663,noHit
SMc01664,noHit
SMc01665,noHit
mdeA,DK53_1886
SMc01667,DK53_2358
SMc01668,noHit
crt,noHit
SMc01670,noHit
SMc01671,noHit
SMc01540,noHit
SMc01541,noHit
SMc01542,noHit
SMc01543,noHit
aacC,noHit
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,noHit
SMc01745,noHit
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,noHit
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,bp26
SMc01557,noHit
SMc01558,noHit
SMc01559,noHit
SMc01560,noHit
SMc01561,DK53_1188
SMc01562,noHit
sigA,rpoD
tdh,noHit
bioF,noHit
recQ,noHit
dnaG,dnaG
SMc01568,DK53_1447
carA,carA
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,DK53_1457
SMc01580,noHit
SMc01581,noHit
SMc01583,noHit
SMc01584,DK53_1467
cspA3,noHit
SMc01586,DK53_1475
SMc01587,DK53_1476
SMc01589,noHit
SMc01590,noHit
SMc01591,noHit
SMc01592,DK53_1478
SMc01593,DK53_1479
SMc01595,DK53_1480
csaA,csaA
proC,proC
SMc02678,DK53_1482
SMc03744,DK53_1483
lgt,lgt
SMc02682,DK53_1485
SMc02683,DK53_1486
SMc02684,DK53_1487
SMc02685,noHit
prsA,prs
SMc02687,noHit
SMc02688,DK53_213
SMc02689,noHit
SMc02690,DK53_209
SMc02691,DK53_2032
rplY,DK53_1491
pth,pth
clpS2,noHit
engD,DK53_1493
SMc02696,DK53_1494
SMc02697,DK53_1495
apt,apt
SMc02699,noHit
SMc02700,DK53_1510
SMc02701,DK53_1511
SMc02702,DK53_1512
SMc02703,DK53_1513
SMc02704,DK53_1514
SMc02705,DK53_1515
SMc02706,DK53_1516
SMc02707,DK53_1517
SMc02708,DK53_1518
SMc02709,noHit
fic,noHit
SMc02711,DK53_1520
SMc02712,DK53_1521
rpoE3,noHit
SMc02714,noHit
SMc02715,noHit
SMc02716,noHit
leuA1,leuA
SMc02718,noHit
TRm22,noHit
clpP2,noHit
SMc02721,noHit
SMc02722,noHit
SMc02723,queF
SMc02724,DK53_1523
trpE,DK53_1524
bhuR,noHit
SMc02727,noHit
fhs,noHit
SMc02729,DK53_1529
SMc02730,noHit
TRm22,noHit
SMc02732,noHit
SMc02733,noHit
SMc02734,noHit
SMc02735,noHit
tdk,noHit
choX,choX
choW,choW
choV,choV
SMc04457,noHit
SMc01535,noHit
SMc01534,noHit
adeC1,ade
SMc01532,noHit
kdgK,DK53_853
TRm5,noHit
dppF2,noHit
dppD2,noHit
dppC2,noHit
dppB2,noHit
dppA2,noHit
SMc01524,DK53_2561
emrE,DK53_916
SMc01522,DK53_1081
ntrP,noHit
ntrR1,noHit
SMc01520,noHit
SMc01519,DK53_647
SMc01748,noHit
SMc01518,DK53_2651
SMc01517,noHit
SMc01516,noHit
SMc01515,noHit
SMc01514,noHit
SMc01747,noHit
hmuS,noHit
hmuT,noHit
hmuU,DK53_1321
hmuV,noHit
SMc01509,DK53_1616
SMc01508,noHit
SMc01507,noHit
rpoE2,DK53_1612
SMc01505,noHit
SMc01504,DK53_1610
SMc01503,DK53_2882
SMc01502,DK53_2270
mtlK,noHit
smoS,noHit
smoK,noHit
smoG,noHit
smoF,noHit
smoE,noHit
smoC,noHit
SMc01814,DK53_324
SMc01815,DK53_322
SMc01816,noHit
SMc01817,noHit
cyaC,noHit
SMc01819,DK53_321
SMc01820,DK53_320
dht,hydA
SMc01822,noHit
SMc01823,noHit
SMc01824,noHit
SMc01825,noHit
SMc01826,noHit
SMc01827,noHit
SMc01828,noHit
SMc01829,noHit
ureG,ureG
ureF,DK53_312
ureE,ureE1
SMc01833,noHit
SMc01834,noHit
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,noHit
SMc02046,noHit
ureB,ureB1
SMc01940,noHit
ureA,ureA1
ureD,DK53_306
SMc01943,noHit
cpo,noHit
ohrR,ohrR
livK,DK53_1720
SMc01947,DK53_1721
livF,DK53_1722
livG,noHit
livM,DK53_1724
livH,DK53_1725
cysQ,cysQ
SMc01953,noHit
SMc01954,noHit
SMc01955,noHit
SMc01956,noHit
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,noHit
SMc01961,noHit
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,noHit
SMc01968,noHit
SMc01969,noHit
SMc01970,DK53_2488
puuC,aldA
puuB,noHit
puuA,noHit
SMc01974,DK53_2169
SMc01975,noHit
SMc01976,noHit
SMc01977,noHit
SMc01978,noHit
SMc01979,noHit
SMc01980,noHit
SMc01981,cycA
coxM,noHit
coxN,noHit
coxO,noHit
coxP,noHit
SMc01986,noHit
SMc01987,DK53_1297
SMc01988,noHit
SMc01989,noHit
SMc01990,noHit
SMc01991,noHit
SMc01992,noHit
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,noHit
SMc02025,noHit
SMc02026,noHit
SMc02027,noHit
SMc02028,noHit
SMc02029,noHit
SMc02030,noHit
SMc02031,DK53_1584
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,noHit
SMc02036,noHit
SMc02037,fabG
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,DK53_1582
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,noHit
SMc02338,noHit
SMc02339,noHit
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,noHit
SMc02344,noHit
SMc02345,noHit
SMc02346,noHit
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,DK53_2340
SMc02352,noHit
SMc02353,noHit
SMc02354,noHit
SMc02355,noHit
SMc02356,noHit
SMc02357,noHit
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,noHit
SMc02413,noHit
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,noHit
SMc02418,noHit
SMc02419,noHit
SMc02420,noHit
SMc02421,noHit
SMc02423,noHit
SMc02424,noHit
SMc02425,noHit
SMc02426,noHit
hyuE,noHit
SMc02428,noHit
SMc02429,noHit
TRm17,noHit
SMc02431,noHit
SMc02432,DK53_1794
clpB,clpB
SMc02434,noHit
hemK1,prmC
prfA,prfA
ptsP,ptsP
lysC,DK53_1801
SMc02439,noHit
ubiG,ubiG
SMc02441,DK53_1804
SMc02442,DK53_1805
grxC,grxC
SMc02444,DK53_1807
SMc02445,DK53_1808
SMc02446,noHit
SMc02447,DK53_1863
mutT,DK53_1864
SMc02449,DK53_1865
argJ,argJ
SMc02451,DK53_1867
secA,secA
SMc00744,noHit
SMc00743,noHit
SMc00742,DK53_1869
acsA3,noHit
SMc00740,noHit
SMc00739,noHit
SMc00738,DK53_1597
SMc00737,DK53_1598
SMc00736,DK53_1599
SMc00735,DK53_1600
SMc00734,DK53_1899
SMc00733,DK53_1898
SMc00732,DK53_1897
SMc00731,DK53_1896
SMc00730,noHit
etfB1,DK53_1892
etfA1,DK53_1891
hbdA,DK53_1890
tlpA,tlpA
argH1,argH
SMc00724,DK53_1903
lysA,lysA
SMc00722,DK53_1905
TRm22,noHit
SMc00720,noHit
hpt,hpt
SMc00718,noHit
ftsE,ftsE
ftsX,DK53_1917
SMc00715,DK53_1916
SMc00714,DK53_1915
chaC,DK53_1911
SMc00712,noHit
tyrC,DK53_1910
hisC1,hisC
SMc00709,DK53_1907
gloB,gloB
SMc00707,noHit
SMc00706,noHit
SMc00705,DK53_1935
rpmB,rpmB
SMc00703,DK53_1933
SMc00702,noHit
cobT,cobT
SMc00700,cobS
SMc00699,DK53_1942
SMc00698,DK53_1943
SMc00697,DK53_1944
aroB,aroB
aroK,DK53_1946
SMc00694,noHit
SMc00693,noHit
SMc00692,DK53_1947
xerD,xerD
accA,accA
SMc00689,noHit
SMc00688,DK53_1951
SMc00687,noHit
SMc00686,noHit
SMc00684,DK53_1952
SMc00683,DK53_1953
hipO1,DK53_1955
lrp1,DK53_1525
SMc00680,noHit
SMc00679,noHit
SMc00678,DK53_2288
SMc00677,DK53_2289
SMc00676,DK53_2290
SMc00675,noHit
hutC,noHit
SMc00673,hutF
hisX,noHit
hisW,noHit
hisV,proV
hutH2,noHit
SMc00668,noHit
SMc00667,DK53_2305
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,trmU
SMc00658,noHit
SMc00657,DK53_1544
SMc00656,DK53_1545
SMc00655,DK53_1550
ctrA,ctrA
SMc00653,noHit
chpT,DK53_1548
SMc00651,DK53_1547
SMc00650,noHit
SMc00649,DK53_1541
SMc00648,DK53_1605
rluD,DK53_1604
rpoH1,rpoH
SMc00644,noHit
purA,purA
SMc00642,noHit
serA,serA
serC,DK53_1636
SMc00639,noHit
SMc00638,DK53_1638
glmM,glmM
ftsH,hflB
SMc02940,tilS
SMc02941,noHit
pal,pal
tolB,tolB
tolA,DK53_1646
tolR,tolR
tolQ,tolQ
SMc03959,noHit
SMc03960,DK53_1649
sqdB,noHit
sqdD,noHit
sqdC,noHit
SMc03964,noHit
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,DK53_1077
SMc03969,DK53_1663
SMc03970,noHit
mexF2,noHit
mexE2,noHit
SMc03973,DK53_1668
SMc03974,DK53_1669
