SMc02793,Smed_3209
SMc00598,Smed_0778
moaE,Smed_0779
moaD,Smed_0780
pgsA,Smed_0781
uvrC,Smed_0782
SMc00603,Smed_0783
ropB1,Smed_0784
SMc00605,Smed_0785
SMc00606,Smed_0786
SMc00607,Smed_0787
SMc00608,Smed_0788
dmsA,Smed_0789
SMc00610,Smed_0790
SMc00611,Smed_5951
SMc00612,noHit
acvB,noHit
purN,Smed_0791
purM,Smed_0792
perM,Smed_0793
SMc00617,Smed_0794
ppk,Smed_0795
ppx,Smed_0796
SMc00620,Smed_0797
cyaB,Smed_0798
rnd,Smed_0799
SMc01754,Smed_0800
SMc01755,Smed_0801
aspS,Smed_0802
SMc01757,noHit
groEL4,Smed_0804
SMc01759,Smed_0805
SMc01760,Smed_0806
parC,Smed_0807
SMc01762,Smed_0808
SMc01763,Smed_0809
ate,Smed_0810
SMc01765,Smed_0811
hemB,Smed_0812
SMc01767,Smed_0813
SMc01768,Smed_0814
SMc01769,Smed_0815
glyA1,Smed_0816
nrdR,Smed_0817
ribD,Smed_0818
ribE,Smed_0819
SMc01774,Smed_5630
SMc01775,Smed_0820
SMc01776,noHit
ribH1,Smed_0821
nusB,Smed_0822
SMc01779,Smed_0823
hppA,Smed_0824
SMc01781,Smed_0825
SMc01782,Smed_0826
SMc01783,Smed_0827
plsX,Smed_0828
fabH,Smed_0829
himA,Smed_0830
SMc01787,Smed_0831
SMc01788,Smed_0832
SMc01789,Smed_1377
SMc01902,noHit
SMc01790,noHit
SMc01791,Smed_0850
SMc01792,Smed_0851
SMc01793,Smed_0852
SMc01794,Smed_0853
SMc01795,Smed_0854
SMc01796,Smed_0855
SMc01797,noHit
SMc01798,Smed_0856
SMc01799,Smed_0857
SMc01800,Smed_0858
argC,Smed_0859
speB,Smed_0860
rpsI,Smed_0861
rplM,Smed_0862
SMc01805,Smed_0863
SMc01806,Smed_0864
SMc01807,Smed_0865
SMc01808,Smed_0866
SMc01809,Smed_0867
SMc01810,Smed_0868
TRm20N,noHit
TRm20C,noHit
SMc01812,Smed_0869
SMc01813,Smed_0870
SMc04448,Smed_0871
clpP1,Smed_0872
clpX,Smed_0873
lon,Smed_0874
hupB,Smed_0875
SMc01907,Smed_0876
SMc01908,Smed_0877
SMc01909,Smed_0878
SMc01910,Smed_0879
SMc01911,Smed_0880
nuoA1,Smed_0888
nuoB1,Smed_0889
nuoC1,Smed_0890
nuoD1,Smed_0891
SMc01916,Smed_0892
nuoE1,Smed_0893
nuoF1,Smed_0894
SMc01919,Smed_0895
nuoG1,Smed_0896
nuoH,Smed_0897
nuoI,Smed_0898
nuoJ,Smed_0899
nuoK1,Smed_0900
nuoL,Smed_0901
nuoM,Smed_0902
nuoN,Smed_0903
birA,Smed_0904
SMc01929,Smed_0905
SMc01930,Smed_0906
SMc01931,Smed_0907
SMc01932,noHit
SMc01933,noHit
proS,Smed_0918
SMc01935,Smed_0919
SMc01376,Smed_0920
dnaE1,Smed_0921
SMc01374,Smed_0922
dinB1,Smed_0923
SMc01372,Smed_0924
divK,Smed_0925
pleD,Smed_0926
rpmG,Smed_0927
SMc01368,Smed_0928
SMc01367,Smed_0929
SMc01366,Smed_0930
rnr,Smed_0931
topA,Smed_0932
smf,Smed_0933
SMc01362,Smed_0934
SMc01361,Smed_0935
pyrB,Smed_0936
aidB,Smed_0937
SMc01358,Smed_0938
SMc01357,Smed_0939
SMc01356,Smed_0940
SMc01355,Smed_0941
SMc01354,Smed_0942
gatC,Smed_0943
gatA,Smed_0944
SMc01351,Smed_0945
gatB,Smed_0946
SMc01349,Smed_0947
SMc01348,Smed_0948
SMc01347,Smed_0949
aat,Smed_0951
accC,Smed_0952
accB,Smed_0953
aroQ,Smed_0954
SMc01342,Smed_0955
SMc01341,noHit
SMc01340,noHit
TRm11a,noHit
TRm11b,Smed_1104
SMc01337,Smed_5852
rne,Smed_0957
amiC,Smed_0959
mrcA1,Smed_0960
prfB,Smed_0961
SMc01332,Smed_0962
ppnK,Smed_0963
SMc04435,noHit
SMc01330,Smed_0965
azoR,Smed_0966
SMc01328,Smed_0967
SMc01327,Smed_0968
tufB,Smed_0969
SMc01325,Smed_0970
SMc01324,Smed_0971
secE,Smed_0972
nusG,Smed_0973
rplK,Smed_0974
rplA,Smed_0975
rplJ,Smed_0976
rplL,Smed_0977
rpoB,Smed_0978
rpoC,Smed_0979
SMc01315,Smed_0980
rpsL,Smed_0981
rpsG,Smed_0982
fusA1,Smed_0983
tufA,noHit
rpsJ,Smed_0985
rplC,Smed_0986
rplD,Smed_0987
rplW,Smed_0988
rplB,Smed_0989
rpsS,Smed_0990
rplV,Smed_0991
rpsC,Smed_0992
rplP,Smed_0993
rpmC,Smed_0994
rpsQ,Smed_0995
rplN,Smed_0996
rplX,Smed_0997
rplE,Smed_0998
rpsN,Smed_0999
rpsH,Smed_1000
rplF,Smed_1001
rplR,Smed_1002
rpsE,Smed_1003
rpmD,Smed_1004
rplO,Smed_1005
secY,Smed_1006
adk,Smed_1007
rpsM,Smed_1008
rpsK,Smed_1009
rpoA,Smed_1010
rplQ,Smed_1011
SMc01282,Smed_1012
SMc01281,Smed_1013
degP3,Smed_1014
SMc01279,Smed_1015
sugE,Smed_1016
SMc01277,Smed_1017
gph2,Smed_1018
rluC,Smed_1019
crcB,Smed_1020
SMc01273,Smed_1021
SMc01272,Smed_1022
SMc01271,Smed_1023
adhC1,Smed_1024
SMc01269,Smed_1025
lipB,Smed_1026
SMc01267,Smed_1027
SMc01266,Smed_1028
SMc01265,Smed_1029
SMc01264,Smed_1030
SMc01263,Smed_1031
def2,Smed_1032
SMc01261,Smed_1033
SMc01260,Smed_1034
SMc01259,noHit
SMc01258,Smed_1035
SMc01257,Smed_1036
sda,Smed_1037
SMc00995,Smed_1038
SMc01068,Smed_1039
SMc00996,Smed_1040
SMc00997,Smed_1041
SMc00998,Smed_1042
SMc00999,Smed_1043
SMc01000,Smed_1044
SMc01001,Smed_1045
SMc01002,Smed_1046
SMc01003,Smed_1047
hisI,Smed_1048
folE,Smed_1049
SMc01006,Smed_1050
SMc01007,Smed_1051
SMc01008,Smed_1052
SMc01009,Smed_1053
thrS,Smed_1054
SMc01011,Smed_1055
SMc01012,Smed_1056
SMc01013,Smed_1057
SMc01014,Smed_1058
SMc01015,Smed_1059
SMc01016,Smed_1060
SMc01017,Smed_1061
parE,Smed_1062
SMc01019,Smed_1063
SMc01020,Smed_1064
SMc01021,Smed_1065
SMc01022,Smed_1066
tpiA,Smed_1067
SMc01024,Smed_1068
pyrG,Smed_1069
SMc01026,Smed_1070
kdsA,Smed_1071
eno,Smed_1072
SMc01029,Smed_1075
pdhAa,Smed_1076
pdhAb,Smed_1077
pdhC,Smed_1078
SMc01033,Smed_1079
SMc01034,Smed_1080
lpdA1,Smed_1081
SMc01036,Smed_1082
lipA,Smed_1083
SMc04865,noHit
SMc01038,Smed_1085
SMc01039,Smed_1086
ispDF,Smed_1087
dusB,Smed_1088
ntrB,Smed_1089
ntrC,Smed_1090
ntrY,Smed_1091
ntrX,Smed_1092
trkA,Smed_1093
SMc01047,Smed_1094
hfq,Smed_1095
hflX,Smed_1096
TRm20,noHit
SMc01051,Smed_1097
SMc01052,Smed_1098
cysG,Smed_1099
SMc01054,Smed_1100
cysI,Smed_1101
SMc02123,Smed_1102
fpr,Smed_1103
relE,noHit
aapP,Smed_1105
aapM,Smed_1106
aapQ,Smed_1107
aapJ,Smed_1108
metC,Smed_1109
SMc02116,Smed_1110
SMc02115,Smed_1111
SMc02114,Smed_1112
cysE,Smed_1113
SMc02112,Smed_1114
SMc02111,Smed_1115
clpS1,Smed_1116
clpA,Smed_1117
SMc02108,Smed_1118
SMc02107,Smed_1119
SMc02106,Smed_1120
SMc02105,Smed_1121
SMc02104,Smed_1122
SMc02103,Smed_1123
SMc02102,Smed_1124
rpsB,Smed_1131
tsf,Smed_1132
pyrH,Smed_1133
rrf,Smed_1134
uppS,Smed_1135
cdsA,Smed_1136
SMc02095,Smed_1137
omp,Smed_1138
lpxD,Smed_1139
fabZ,Smed_1140
lpxA,Smed_1141
SMc02090,Smed_1142
lpxB,Smed_1143
SMc02088,noHit
gltA,Smed_1144
SMc02086,Smed_1145
exbB,Smed_1146
exbD,Smed_1147
SMc02083,Smed_1148
tolC,Smed_1149
SMc02081,Smed_1150
valS,Smed_1151
fadL,Smed_1152
exoR,Smed_1153
xthA2,Smed_1154
cls,Smed_1155
SMc02075,Smed_1156
SMc02074,Smed_1157
argS,Smed_1158
SMc02072,Smed_1159
SMc02071,Smed_1160
SMc02070,Smed_1161
SMc02069,Smed_1162
SMc02068,Smed_1163
tatE,Smed_1164
tatB,Smed_1165
tatC,Smed_1166
serS,Smed_1167
surE,Smed_1168
pcm,Smed_1169
bioS,Smed_1170
lppB,Smed_1171
SMc02059,Smed_1172
SMc02058,Smed_1173
secD1,Smed_1174
SMc02056,Smed_1175
crtB,Smed_1176
SMc02054,Smed_1177
gid,Smed_1178
SMc02052,Smed_1179
SMc02051,Smed_1180
tig,Smed_1181
gcvP,Smed_1182
gcvH,Smed_1183
gcvT,Smed_1184
SMc01242,Smed_1186
SMc01241,Smed_1187
TRm5,noHit
SMc01239,Smed_1188
gst5,noHit
nrdJ,Smed_1233
SMc01236,Smed_1234
uvrA,Smed_1235
ssb,Smed_1236
SMc01232,Smed_1240
gyrA,Smed_1241
SMc01230,Smed_1242
SMc01229,Smed_1243
str,Smed_1244
nerA,Smed_1245
SMc01226,Smed_1246
lsrB,Smed_1247
trxB,Smed_1248
lrp3,Smed_1249
lpsC,Smed_1250
lpsD,Smed_1251
lpsE,Smed_1252
lpsB,Smed_1253
greA,Smed_1254
SMc01217,Smed_1255
SMc01216,Smed_1256
carB,Smed_1257
SMc01214,Smed_1258
SMc01213,Smed_1259
SMc01212,Smed_1262
norM,Smed_1263
SMc01210,noHit
coaD,Smed_1264
ppiA,Smed_1265
ppiB,Smed_1266
queA,Smed_1267
tgt,Smed_1268
SMc01205,noHit
SMc01204,Smed_1269
SMc01203,Smed_1271
SMc01202,Smed_1272
SMc01200,Smed_1273
SMc01698,Smed_1274
SMc02814,Smed_1275
SMc01199,noHit
SMc01198,Smed_1276
SMc01197,noHit
SMc01196,Smed_6421
SMc01195,noHit
SMc01194,Smed_1288
SMc01193,Smed_1289
metS,Smed_1290
SMc01191,noHit
SMc01190,Smed_1291
tmk,Smed_1292
dac,Smed_1293
rlpA,Smed_1294
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,Smed_1353
SMc01182,Smed_1354
SMc01181,Smed_1355
SMc01180,Smed_1356
SMc01179,Smed_1360
SMc01178,Smed_1361
SMc01177,noHit
SMc01176,noHit
SMc01175,Smed_1362
cysK2,Smed_1363
alaS2,Smed_1364
sseA,Smed_1365
SMc01171,Smed_1366
SMc01170,Smed_1367
ald,Smed_1368
lrp2,Smed_1369
cpdB,noHit
SMc00935,Smed_1372
ilvA,Smed_1373
trkH,Smed_1374
SMc00938,Smed_1375
SMc00939,Smed_1379
SMc00940,Smed_1380
SMc00941,Smed_1382
SMc00942,Smed_1383
wrbA1,Smed_1384
SMc00944,Smed_1385
gpt,Smed_1386
SMc00946,Smed_1387
glnB,Smed_1388
glnA,Smed_1389
SMc00949,Smed_1390
SMc00950,Smed_1396
SMc00951,Smed_1397
SMc00952,Smed_1398
SMc00953,noHit
atsA,Smed_2065
SMc00955,noHit
SMc00959,noHit
xthA1,noHit
SMc00958,Smed_4884
mfd,Smed_1399
SMc00227,Smed_1400
recG,Smed_1401
SMc00229,Smed_1402
SMc00230,Smed_1403
glmS,Smed_1404
glmU,Smed_1405
SMc00233,Smed_1406
ppiD,Smed_1407
trpD,Smed_1408
trpC,Smed_1409
moaC,Smed_1410
moeA,Smed_1411
SMc00239,Smed_1412
SMc00240,Smed_1413
SMc00241,Smed_1414
SMc00242,Smed_1415
SMc00244,Smed_1416
SMc00243,Smed_1417
SMc00245,Smed_1418
qor,Smed_1419
pcs,Smed_1420
SMc00316,Smed_1421
SMc00317,Smed_1422
ccsA,Smed_1423
SMc00249,Smed_1445
SMc00250,noHit
SMc00251,Smed_1425
SMc00252,Smed_1429
SMc00253,Smed_1430
SMc00254,Smed_1431
SMc04437,noHit
SMc00255,Smed_1432
SMc00256,Smed_1433
ropB2,Smed_1434
SMc00258,Smed_1435
SMc00259,Smed_1436
SMc00260,Smed_1437
SMc00261,Smed_1438
SMc00262,Smed_1439
SMc00263,Smed_1440
SMc00264,Smed_1441
SMc00265,Smed_1442
SMc00266,Smed_1443
SMc00267,noHit
SMc00268,noHit
SMc00269,Smed_3129
SMc00270,Smed_3128
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,noHit
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,Smed_1444
SMc00281,Smed_4461
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,Smed_1447
SMc00288,Smed_1448
cspA5,Smed_1449
gloA,Smed_1450
SMc00291,Smed_1451
recJ,Smed_1452
thrA,Smed_1453
aatC,Smed_1454
SMc00295,Smed_1455
phbC,Smed_1456
sfsA,Smed_1457
map1,Smed_1458
radC,Smed_1459
sthA,Smed_1462
sufA,Smed_1463
SMc00302,Smed_1464
csd,Smed_1465
sufD,Smed_1466
SMc00531,Smed_1467
SMc00530,Smed_1468
nifS,Smed_1469
SMc00528,Smed_1470
anmK,Smed_1472
tyrS,Smed_1473
SMc00525,Smed_1474
bcp,Smed_1475
SMc00523,Smed_1476
SMc00540,noHit
SMc00539,Smed_1477
rhlE1,Smed_1478
SMc00521,Smed_1479
SMc00520,Smed_1480
SMc00519,Smed_1481
SMc00518,Smed_1482
SMc00517,Smed_1483
SMc00516,Smed_1484
SMc00515,Smed_1485
SMc00514,Smed_1486
SMc00513,Smed_1487
SMc00512,Smed_1488
rpe,Smed_1489
SMc00510,Smed_1490
SMc00509,Smed_1491
purB,Smed_1492
SMc00507,Smed_1493
SMc00506,Smed_1494
SMc00505,Smed_1495
SMc00504,noHit
SMc00503,noHit
fldZ,Smed_5904
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,noHit
SMc00496,Smed_1497
purC,Smed_1498
SMc00494,Smed_1499
purQ,Smed_1500
SMc00492,Smed_1501
SMc00491,Smed_1502
SMc00490,Smed_1503
SMc00489,Smed_1504
purL,Smed_1505
SMc00487,Smed_1506
SMc00538,Smed_1508
SMc00537,Smed_1509
SMc00536,Smed_1510
SMc00535,Smed_1511
SMc00534,Smed_1512
glsA,Smed_1513
rpsD,Smed_1514
SMc00484,Smed_1515
murI,Smed_1516
SMc00482,Smed_1517
SMc00481,Smed_1518
icd,Smed_1519
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,Smed_5971
sulP,Smed_5404
alaS,Smed_1521
recA,Smed_1522
SMc00473,noHit
SMc00472,Smed_1524
SMc00471,Smed_1525
SMc00470,Smed_1526
dksA,Smed_1527
SMc00468,Smed_1528
SMc00467,Smed_1529
SMc00466,Smed_1530
SMc00548,Smed_1531
folK,Smed_1532
folB,Smed_1533
folP,Smed_1534
SMc00194,Smed_1535
SMc00193,noHit
fdx,Smed_1536
SMc00191,Smed_1537
SMc00190,Smed_1538
fbcC,Smed_1539
fbcB,Smed_1540
fbcF,Smed_1541
SMc00186,Smed_1542
SMc00185,Smed_1543
SMc00184,Smed_1544
SMc00183,Smed_1545
SMc00182,Smed_1546
SMc00196,Smed_1547
SMc00181,Smed_1548
hemF,Smed_1549
SMc00179,Smed_1550
SMc00178,noHit
SMc00177,Smed_1551
SMc00176,Smed_1552
SMc00175,Smed_1553
SMc00174,Smed_1554
SMc00459,Smed_1555
hcaT,Smed_1556
SMc00171,Smed_1557
dme,Smed_1558
sinR,Smed_1559
sinI,Smed_1560
SMc00167,Smed_1561
bluB,Smed_1562
SMc00165,Smed_1563
SMc00164,noHit
SMc00163,noHit
tolB2,noHit
nadE2,Smed_1566
cgmB,noHit
cgmA,Smed_1567
SMc00159,noHit
SMc00158,noHit
SMc00157,Smed_1568
SMc00156,Smed_1569
dhs,Smed_1570
gor,Smed_1571
SMc00153,Smed_1572
rpiA,Smed_1573
gph1,Smed_1574
SMc00150,Smed_1575
fumC,Smed_1576
SMc00148,Smed_1577
SMc00147,Smed_1578
SMc00146,Smed_1579
SMc00145,Smed_1580
moaA,Smed_1582
SMc00197,Smed_1583
mobA,Smed_1584
mobB,Smed_1585
SMc00141,Smed_1587
SMc00198,noHit
SMc00140,Smed_1588
SMc00139,Smed_1589
SMc00138,Smed_1590
usg,Smed_1591
SMc00136,Smed_1592
SMc00135,Smed_1593
SMc00134,Smed_1594
SMc00133,Smed_1595
SMc00132,Smed_1596
SMc00131,Smed_1597
SMc04210,Smed_1598
SMc04211,Smed_1599
SMc04212,Smed_1600
dgkA,Smed_1602
cobU,Smed_1603
cobS,Smed_1604
SMc04216,Smed_1605
SMc04217,Smed_1606
SMc04218,Smed_1607
SMc04219,Smed_1608
SMc04220,Smed_1609
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,Smed_1611
SMc04226,Smed_1612
mcpV,Smed_1613
SMc04228,Smed_1614
SMc04229,Smed_1615
SMc04230,Smed_1616
uvrB,Smed_1617
SMc04232,Smed_1618
SMc04233,Smed_1619
cspA4,Smed_1620
SMc04235,Smed_1621
SMc04236,noHit
SMc04237,Smed_1689
SMc04238,Smed_1690
SMc04239,Smed_1691
SMc04240,Smed_1692
SMc04241,Smed_1693
zur,Smed_1694
znuB,Smed_1695
znuC,Smed_1696
znuA,Smed_1697
SMc04246,Smed_1709
SMc04247,Smed_1710
SMc04248,Smed_1711
SMc04249,Smed_1712
TRm20,noHit
smoM,Smed_1719
SMc04252,Smed_1721
SMc04253,Smed_1722
SMc04254,Smed_1723
manB,Smed_1724
SMc04256,Smed_1725
SMc04257,Smed_1726
SMc04258,Smed_1727
SMc04259,Smed_1728
SMc04260,Smed_1730
SMc04261,Smed_1731
gnd,Smed_1732
SMc04263,Smed_5996
SMc04264,Smed_1733
SMc04265,Smed_1734
SMc04266,Smed_1735
lpxXL,Smed_1736
adhA2,Smed_1737
SMc04273,Smed_1738
fabF2,Smed_1739
SMc04277,Smed_1740
acpXL,Smed_1741
cobD,Smed_1743
cobC,Smed_1744
cobB,Smed_1745
cobA,Smed_1746
cobE,Smed_1747
SMc04286,Smed_1748
SMc04288,Smed_1749
SMc04290,Smed_1750
SMc04293,Smed_1751
SMc04294,Smed_1752
SMc04295,Smed_1753
SMc04297,Smed_1754
SMc04301,Smed_1755
cobO,Smed_1758
cobN,Smed_1759
cobW,Smed_1760
cobP,Smed_1761
SMc04306,Smed_1762
cyaD2,Smed_1763
SMc04308,Smed_1764
cobQ,Smed_1765
SMc04310,Smed_1766
SMc04311,Smed_1767
SMc04439,Smed_1768
SMc04312,noHit
SMc04313,noHit
SMc04314,Smed_1769
SMc04315,Smed_1770
bmt,Smed_1771
SMc04326,noHit
SMc04327,noHit
SMc04328,Smed_1773
SMc04329,Smed_1774
mttB,Smed_1775
mtbC,Smed_1776
ecnB,noHit
SMc04333,Smed_1777
SMc04334,noHit
SMc04335,noHit
SMc04336,Smed_1780
SMc04337,Smed_1781
SMc04339,Smed_1782
SMc04340,Smed_1783
SMc04342,Smed_1784
SMc04345,Smed_1785
SMc04347,Smed_1786
SMc04451,Smed_1787
SMc04161,noHit
SMc04162,noHit
SMc04163,Smed_1788
SMc04164,Smed_1789
SMc04165,Smed_1790
SMc04166,Smed_1791
SMc04167,Smed_1792
SMc04168,Smed_1793
SMc04169,Smed_1794
SMc04170,Smed_1795
SMc04171,Smed_1796
cyaH,noHit
SMc04173,Smed_1797
SMc04174,Smed_1798
SMc04175,Smed_1799
SMc04176,Smed_1800
SMc04177,Smed_1801
SMc04178,Smed_1802
SMc04179,Smed_1803
SMc04180,Smed_1804
SMc04181,Smed_1805
SMc04182,Smed_1806
SMc04183,Smed_1808
SMc04185,noHit
SMc04184,noHit
SMc04186,Smed_1813
SMc04187,Smed_1839
SMc04188,Smed_1840
SMc04189,Smed_1841
SMc04190,Smed_1842
SMc04191,Smed_1843
SMc04194,Smed_1849
TRm3,Smed_6034
SMc04440,noHit
SMc04196,Smed_1852
SMc04197,Smed_1853
SMc04198,Smed_1854
SMc04199,Smed_1855
SMc04200,Smed_1856
SMc04201,Smed_1857
SMc04202,Smed_1858
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,Smed_1859
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,Smed_1932
SMc04272,Smed_1933
SMc04274,Smed_1934
SMc04276,Smed_1935
SMc04280,noHit
SMc04283,Smed_1939
SMc04287,Smed_1940
SMc04289,Smed_1941
SMc04291,noHit
cyaF3,Smed_1942
ftsZ2,Smed_1943
SMc04298,Smed_1944
SMc04299,noHit
SMc04300,Smed_1946
SMc04316,Smed_1947
SMc04317,Smed_1948
cspA1,Smed_1949
SMc04319,Smed_1950
rpsU1,Smed_1951
gst10,Smed_1953
mocA,Smed_1954
SMc04323,Smed_1955
SMc04324,Smed_1957
SMc04338,Smed_1958
SMc04341,Smed_1959
cyaJ,Smed_1960
SMc04344,Smed_1961
ilvC,Smed_1962
SMc04348,Smed_1963
macA,noHit
macB,noHit
SMc04352,Smed_1964
SMc04357,noHit
SMc04359,Smed_1966
SMc04360,Smed_1967
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,Smed_1968
SMc01403,Smed_1969
SMc01404,Smed_1970
SMc01493,Smed_1971
SMc01405,Smed_1972
SMc01488,Smed_1973
SMc01406,Smed_1974
pdxJ,Smed_1982
SMc01408,Smed_1983
SMc01409,Smed_1984
SMc01410,Smed_1985
SMc01489,Smed_1986
SMc01490,Smed_1987
SMc01411,Smed_1988
SMc01412,Smed_1989
SMc01413,Smed_1990
cyaI1,Smed_1991
suhR,Smed_1993
SMc01414,Smed_1994
abrB,Smed_1995
SMc01416,noHit
SMc01417,noHit
SMc01418,Smed_1996
rpoE1,Smed_1997
SMc01420,Smed_1998
SMc01421,noHit
SMc01422,noHit
nthB,Smed_2000
nthA,Smed_2001
SMc01425,Smed_2002
SMc01426,Smed_2003
SMc01427,Smed_2004
cspA2,Smed_2005
SMc01429,Smed_2006
ilvH,Smed_2007
ilvI,Smed_2008
SMc01432,Smed_2009
SMc01433,Smed_2010
SMc01434,noHit
miaA,Smed_2011
serB,Smed_2012
SMc01437,Smed_2013
degP2,Smed_2014
SMc01439,Smed_2015
hflC,Smed_2017
hflK,Smed_2018
folA,Smed_2019
gst6,Smed_2020
thyA,Smed_2021
SMc01445,Smed_2022
SMc01446,Smed_2023
SMc01447,Smed_2024
SMc01448,noHit
SMc01449,Smed_2026
SMc01450,Smed_2027
SMc01451,Smed_2028
SMc01452,Smed_2029
TRm22,noHit
SMc01454,Smed_2030
dld,Smed_2031
SMc01456,Smed_2032
SMc01457,Smed_2033
SMc01458,Smed_2034
SMc01459,Smed_2035
SMc01460,Smed_2036
uvrD1,Smed_2037
SMc01462,Smed_2044
SMc01463,Smed_2045
SMc01464,Smed_2046
creA,Smed_2047
TRm21,noHit
SMc01467,Smed_2049
cheW2,Smed_2050
mcpW,Smed_2051
SMc01470,Smed_2052
senC,Smed_2053
prmA,Smed_2054
SMc04453,noHit
SMc01885,Smed_2055
SMc01884,Smed_2056
SMc01883,Smed_2057
SMc01882,Smed_2058
panB,Smed_2059
panC,Smed_2060
SMc01879,Smed_2061
ligA,Smed_2070
recN,Smed_2071
SMc01876,Smed_2072
lpxC,Smed_2073
ftsZ1,Smed_2074
ftsA,Smed_2075
ftsQ,Smed_2076
ddlB,Smed_2077
aqpZ1,Smed_2078
SMc01869,Smed_2079
murB,Smed_2080
murC,Smed_2081
murG,Smed_2082
ftsW,Smed_2083
murD,Smed_2084
mraY,Smed_2085
murF,Smed_2086
murE,Smed_2087
ftsI,Smed_2088
SMc01859,Smed_2089
mraW,Smed_2090
SMc01857,Smed_2091
SMc01856,Smed_2102
SMc01855,Smed_2103
SMc01854,Smed_2104
djlA,Smed_2105
pfp,Smed_2106
SMc01851,Smed_2107
SMc01850,Smed_2108
SMc01849,Smed_2109
btaA,Smed_2110
btaB,Smed_2111
SMc01846,Smed_2112
mltB2,Smed_2113
SMc01844,Smed_2114
metF,Smed_2115
SMc01842,Smed_2116
SMc04454,Smed_2117
SMc02819,Smed_2118
SMc02818,Smed_2119
SMc02817,Smed_2120
ilvG,Smed_2121
SMc01573,Smed_2123
SMc01574,Smed_2124
SMc01575,Smed_2125
SMc01576,Smed_2126
SMc01579,Smed_2127
SMc01582,Smed_2128
SMc01588,Smed_2129
SMc01594,Smed_2130
SMc01597,Smed_2131
SMc01600,Smed_2132
SMc01602,Smed_2133
SMc01605,Smed_2134
SMc01606,Smed_2135
SMc01607,Smed_2136
SMc01608,Smed_2137
ribH2,Smed_2138
SMc01610,Smed_2139
fhuA1,Smed_2140
TRm5,noHit
rpiB,Smed_2149
tpiB,Smed_2150
SMc01615,Smed_2151
eryC,Smed_2152
SMc01617,Smed_2153
SMc01618,Smed_2154
SMc01619,Smed_2155
eryB,Smed_2156
fucA1,Smed_2157
SMc01622,Smed_2158
eryA,Smed_2159
SMc01624,Smed_2160
SMc01625,Smed_2161
SMc01626,Smed_2162
SMc01627,Smed_2163
SMc01628,Smed_2164
eryD,Smed_2165
SMc01630,Smed_2166
SMc01631,Smed_2167
SMc01632,Smed_2168
SMc01633,Smed_2169
SMc01634,Smed_2170
SMc01635,Smed_2171
SMc01636,Smed_2172
SMc01637,Smed_2173
SMc01638,Smed_2174
SMc01639,Smed_2175
SMc01640,Smed_2176
caiD,Smed_2177
prbA,Smed_2178
prbB,Smed_2179
prbC,Smed_2180
prbD,Smed_2181
SMc01646,Smed_2182
SMc01647,Smed_2183
SMc01648,Smed_2184
SMc01649,noHit
SMc01650,Smed_2185
SMc01651,Smed_2186
SMc01652,Smed_2187
SMc01653,Smed_2188
SMc01654,Smed_2189
SMc01655,Smed_2190
SMc01656,Smed_2191
fhuA2,Smed_2192
SMc01658,Smed_2193
SMc01659,Smed_2194
SMc01660,Smed_2195
mttB2,Smed_2196
SMc01662,Smed_2197
SMc01663,Smed_2198
SMc01664,Smed_2199
SMc01665,Smed_2200
mdeA,Smed_2201
SMc01667,Smed_2204
SMc01668,Smed_2205
crt,Smed_2206
SMc01670,Smed_2207
SMc01671,Smed_2208
SMc01540,Smed_2210
SMc01541,Smed_2211
SMc01542,Smed_2212
SMc01543,Smed_2213
aacC,Smed_2214
SMc01545,Smed_2279
SMc01546,Smed_4456
SMc01547,Smed_4449
SMc01740,noHit
SMc01741,noHit
SMc01742,noHit
SMc01745,noHit
SMc04442,noHit
SMc01548,Smed_5251
SMc01744,noHit
SMc01549,Smed_5723
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,Smed_2216
SMc01557,Smed_2217
SMc01558,Smed_2218
SMc01559,Smed_2219
SMc01560,Smed_2220
SMc01561,Smed_2221
SMc01562,Smed_2222
sigA,Smed_2223
tdh,Smed_2224
bioF,Smed_2225
recQ,Smed_2226
dnaG,Smed_2227
SMc01568,Smed_2228
carA,Smed_2229
SMc01570,Smed_2230
SMc01571,Smed_2231
SMc01572,noHit
SMc01577,noHit
aatA,Smed_2233
SMc01580,Smed_2234
SMc01581,Smed_2235
SMc01583,Smed_2236
SMc01584,Smed_2237
cspA3,Smed_2238
SMc01586,Smed_2239
SMc01587,Smed_2240
SMc01589,Smed_2241
