SMc02793,Atu0001
SMc01260,Atu1546
SMc01259,noHit
SMc01258,Atu1545
SMc01257,Atu1544
sda,sdaA
SMc00995,Atu1758
SMc01068,Atu1506
SMc00996,dac
SMc00997,Atu8090
SMc00998,Atu1757
SMc00999,Atu8163
SMc01000,Atu1754
SMc01001,Atu1753
SMc01002,Atu1752
SMc01003,Atu1751
hisI,hisI
folE,folE
SMc01006,nifU
SMc01007,Atu1747
SMc01008,noHit
SMc01009,Atu8091
thrS,thrS
SMc01011,Atu1745
SMc01012,Atu1744
SMc01013,Atu1743
SMc01014,noHit
SMc01015,Atu1742
SMc01016,Atu1741
SMc01017,Atu1740
parE,gyrB
SMc01019,Atu1621
SMc01020,noHit
SMc01021,Atu1487
SMc01022,Atu1483
tpiA,tpiA
SMc01024,secG
pyrG,pyrG
SMc01026,Atu1423
kdsA,kdsA
eno,eno
SMc01029,Atu1428
pdhAa,pdhA
pdhAb,pdhB
pdhC,aceF
SMc01033,Atu1433
SMc01034,noHit
lpdA1,lpdA
SMc01036,Atu1634
lipA,lipA
SMc04865,noHit
SMc01038,Atu1441
SMc01039,cinA
ispDF,ispF
dusB,nifR
ntrB,ntrB
ntrC,ntrC
ntrY,ntrY
ntrX,ntrX
trkA,trkA
SMc01047,noHit
hfq,hfq
hflX,hflx
TRm20,noHit
SMc01051,mazG
SMc01052,Atu1453
cysG,cysG
SMc01054,Atu1455
cysI,cysI
SMc02123,Atu1457
fpr,mvrA
relE,noHit
aapP,Atu1580
aapM,Atu1579
aapQ,Atu1578
aapJ,Atu1577
metC,metC
SMc02116,nah
SMc02115,Atu1573
SMc02114,Atu1572
cysE,cysE
SMc02112,Atu1570
SMc02111,noHit
clpS1,clpS
clpA,clpA
SMc02108,Atu8156
SMc02107,Atu1366
SMc02106,Atu1369
SMc02105,Atu1370
SMc02104,Atu1371
SMc02103,Atu1372
SMc02102,Atu1373
rpsB,rpsB
tsf,tsf
pyrH,pyrH
rrf,rrf
uppS,uppS
cdsA,cdsA
SMc02095,Atu1380
omp,omp1
lpxD,lpxD
fabZ,fabZ
lpxA,lpxA
SMc02090,Atu1385
lpxB,lpxB
SMc02088,noHit
gltA,cisY
SMc02086,Atu1393
exbB,exbB
exbD,exbD
SMc02083,pcm
tolC,noHit
SMc02081,noHit
valS,valS
fadL,fadL
exoR,exoR
xthA2,Atu1714
cls,cls
SMc02075,Atu1713
SMc02074,dgt
argS,argS
SMc02072,noHit
SMc02071,Atu1709
SMc02070,Atu1708
SMc02069,Atu1707
SMc02068,fbpA1
tatE,tatA
tatB,noHit
tatC,tatC
serS,serS
surE,surE
pcm,pcm
bioS,noHit
lppB,Atu1700
SMc02059,Atu1564
SMc02058,yajC
secD1,secD
SMc02056,Atu1561
crtB,crtB
SMc02054,Atu1559
gid,gidA
SMc02052,Atu8161
SMc02051,noHit
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,Atu1468
SMc01241,Atu1469
TRm5,noHit
SMc01239,noHit
gst5,noHit
nrdJ,nrdE
SMc01236,Atu1514
uvrA,uvrA
ssb,ssb
SMc01232,Atu1508
gyrA,gyrA
SMc01230,Atu3093
SMc01229,Atu0907
str,strB
nerA,Atu2188
SMc01226,Atu2187
lsrB,Atu2186
trxB,trxB
lrp3,lrp
lpsC,noHit
lpsD,noHit
lpsE,noHit
lpsB,lpcC
greA,greA
SMc01217,Atu0942
SMc01216,noHit
carB,carB
SMc01214,noHit
SMc01213,Atu2175
SMc01212,tetA
norM,Atu2172
SMc01210,noHit
coaD,coaD
ppiA,ppiB
ppiB,ppiB
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,Atu4220
SMc01203,noHit
SMc01202,noHit
SMc01200,Atu2336
SMc01698,noHit
SMc02814,noHit
SMc01199,noHit
SMc01198,noHit
SMc01197,noHit
SMc01196,noHit
SMc01195,noHit
SMc01194,Atu1494
SMc01193,Atu1495
metS,metS
SMc01191,Atu0762
SMc01190,holB
tmk,tmk
dac,dac
rlpA,rlpA
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,Atu1225
SMc01179,noHit
SMc01178,noHit
SMc01177,noHit
SMc01176,noHit
SMc01175,noHit
cysK2,cysK
alaS2,alaS
sseA,noHit
SMc01171,noHit
SMc01170,Atu1212
ald,noHit
lrp2,Atu3291
cpdB,cpdB
SMc00935,Atu1206
ilvA,ilvA
trkH,trkH
SMc00938,noHit
SMc00939,noHit
SMc00940,noHit
SMc00941,noHit
SMc00942,Atu2193
wrbA1,wrbA
SMc00944,Atu1729
gpt,gpt
SMc00946,Atu1768
glnB,glnB
glnA,glnA
SMc00949,Atu8165
SMc00950,Atu1773
SMc00951,Atu1774
SMc00952,Atu1775
SMc00953,noHit
atsA,noHit
SMc00955,noHit
SMc00959,Atu8099
xthA1,Atu5048
SMc00958,noHit
mfd,mfd
SMc00227,Atu1779
recG,recG
SMc00229,Atu1784
SMc00230,Atu1785
glmS,glmS
glmU,glmU
SMc00233,Atu2245
ppiD,ppiD
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,Atu3732
SMc00241,Atu3226
SMc00242,Atu1789
SMc00244,Atu1790
SMc00243,Atu1791
SMc00245,Atu1792
qor,qor
pcs,pcs
SMc00316,ubiH
SMc00317,Atu1795
ccsA,ccdA
SMc00249,noHit
SMc00250,noHit
SMc00251,noHit
SMc00252,noHit
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,noHit
SMc00256,noHit
ropB2,omp
SMc00258,noHit
SMc00259,Atu4820
SMc00260,fabG
SMc00261,Atu4822
SMc00262,acaB
SMc00263,Atu4824
SMc00264,Atu4825
SMc00265,Atu4826
SMc00266,Atu4827
SMc00267,noHit
SMc00268,fabG
SMc00269,tkt
SMc00270,tktB
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,Atu3155
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,Atu0120
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,Atu1810
SMc00288,Atu1804
cspA5,cspA
gloA,gloA
SMc00291,noHit
recJ,recJ
thrA,hom
aatC,Atu1589
SMc00295,Atu8159
phbC,phbC
sfsA,sfsA
map1,map
radC,radC
sthA,sthA
sufA,Atu1819
SMc00302,Atu1820
csd,nifS
sufD,sufD
SMc00531,sufC
SMc00530,sufB
nifS,nifS
SMc00528,Atu1826
anmK,Atu1827
tyrS,tyrS
SMc00525,Atu8167
bcp,bcp
SMc00523,noHit
SMc00540,noHit
SMc00539,Atu1832
rhlE1,Atu1833
SMc00521,Atu1834
SMc00520,noHit
SMc00519,noHit
SMc00518,noHit
SMc00517,noHit
SMc00516,noHit
SMc00515,noHit
SMc00514,Atu2495
SMc00513,Atu1838
SMc00512,Atu2565
rpe,rpe
SMc00510,noHit
SMc00509,Atu1840
purB,purB
SMc00507,Atu8149
SMc00506,Atu4308
SMc00505,Atu1842
SMc00504,noHit
SMc00503,noHit
fldZ,menG
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,Atu4263
SMc00496,noHit
purC,noHit
SMc00494,purS
purQ,purQ
SMc00492,Atu1846
SMc00491,noHit
SMc00490,Atu1848
SMc00489,Atu1849
purL,purL
SMc00487,Atu1851
SMc00538,grlA
SMc00537,Atu1855
SMc00536,noHit
SMc00535,Atu1856
SMc00534,Atu1858
glsA,glsA
rpsD,rpsD
SMc00484,Atu1862
murI,murI
SMc00482,lasT
SMc00481,noHit
icd,icdA
SMc00479,Atu4132
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,noHit
alaS,alaS
recA,recA
SMc00473,Atu1875
SMc00472,Atu1876
SMc00471,Atu1362
SMc00470,noHit
dksA,dksA
SMc00468,Atu1358
SMc00467,Atu1357
SMc00466,Atu1356
SMc00548,Atu1355
folK,folK
folB,folB
folP,folP
SMc00194,Atu1351
SMc00193,noHit
fdx,fdx
SMc00191,Atu1349
SMc00190,Atu1348
fbcC,fbcC
fbcB,fbcB
fbcF,fbcF
SMc00186,Atu2241
SMc00185,Atu2242
SMc00184,Atu2244
SMc00183,noHit
SMc00182,soxR
SMc00196,Atu0960
SMc00181,Atu2246
hemF,hemF
SMc00179,noHit
SMc00178,noHit
SMc00177,Atu1644
SMc00176,Atu1645
SMc00175,Atu1646
SMc00174,Atu1647
SMc00459,Atu1648
hcaT,noHit
SMc00171,Atu1649
dme,maeB
sinR,noHit
sinI,traI
SMc00167,Atu1653
bluB,Atu1654
SMc00165,noHit
SMc00164,noHit
SMc00163,noHit
tolB2,tolB
nadE2,nadE
cgmB,noHit
cgmA,cgmA
SMc00159,Atu1608
SMc00158,Atu1609
SMc00157,noHit
SMc00156,noHit
dhs,dhs
gor,gor
SMc00153,Atu8160
rpiA,rpiA
gph1,gph
SMc00150,Atu1615
fumC,fumC
SMc00148,Atu1692
SMc00147,noHit
SMc00146,noHit
SMc00145,Atu1694
moaA,moaA
SMc00197,Atu1696
mobA,mobA
mobB,mobB
SMc00141,Atu1877
SMc00198,noHit
SMc00140,Atu1879
SMc00139,Atu1880
SMc00138,Atu1881
usg,usg
SMc00136,fabG
SMc00135,noHit
SMc00134,Atu1883
SMc00133,noHit
SMc00132,noHit
SMc00131,Atu1885
SMc04210,Atu1886
SMc04211,exoI
SMc04212,Atu1888
dgkA,dgk
cobU,cobT
cobS,cobS
SMc04216,Atu1892
SMc04217,Atu1893
SMc04218,Atu1906
SMc04219,Atu1907
SMc04220,noHit
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,Atu1910
SMc04226,noHit
mcpV,mclA
SMc04228,Atu1994
SMc04229,Atu1995
SMc04230,noHit
uvrB,uvrB
SMc04232,noHit
SMc04233,dnaJ
cspA4,noHit
SMc04235,Atu1515
SMc04236,noHit
SMc04237,noHit
SMc04238,Atu8120
SMc04239,noHit
SMc04240,Atu1516
SMc04241,Atu1517
zur,zur
znuB,znuB
znuC,znuC
znuA,znuA
SMc04246,Atu1525
SMc04247,noHit
SMc04248,Atu5270
SMc04249,noHit
TRm20,noHit
smoM,Atu3368
SMc04252,Atu1524
SMc04253,Atu3347
SMc04254,Atu3348
manB,manA
SMc04256,Atu3349
SMc04257,Atu3350
SMc04258,Atu3351
SMc04259,Atu3352
SMc04260,Atu1522
SMc04261,noHit
gnd,gntZ
SMc04263,noHit
SMc04264,noHit
SMc04265,Atu1531
SMc04266,Atu1532
lpxXL,msbB
adhA2,Atu1595
SMc04273,fabF
fabF2,fabF
SMc04277,fabZ
acpXL,acpP
cobD,cobD
cobC,cobC
cobB,cobB
cobA,cobA
cobE,chiG
SMc04286,Atu1591
SMc04288,noHit
SMc04290,noHit
SMc04293,noHit
SMc04294,noHit
SMc04295,Atu3047
SMc04297,noHit
SMc04301,amiC
cobO,cobO
cobN,noHit
cobW,cobW
cobP,cobP
SMc04306,noHit
cyaD2,noHit
SMc04308,noHit
cobQ,cbiP
SMc04310,noHit
SMc04311,Atu0895
SMc04439,Atu0893
SMc04312,noHit
SMc04313,noHit
SMc04314,Atu4003
SMc04315,noHit
bmt,noHit
SMc04326,noHit
SMc04327,noHit
SMc04328,Atu1762
SMc04329,noHit
mttB,noHit
mtbC,noHit
ecnB,Atu8019
SMc04333,noHit
SMc04334,Atu1763
SMc04335,noHit
SMc04336,Atu0730
SMc04337,noHit
SMc04339,noHit
SMc04340,noHit
SMc04342,noHit
SMc04345,noHit
SMc04347,noHit
SMc04451,noHit
SMc04161,noHit
SMc04162,noHit
SMc04163,Atu1765
SMc04164,noHit
SMc04165,noHit
SMc04166,noHit
SMc04167,Atu0891
SMc04168,Atu0890
SMc04169,Atu1767
SMc04170,rrpX
SMc04171,noHit
cyaH,noHit
SMc04173,noHit
SMc04174,noHit
SMc04175,Atu1967
SMc04176,kefA
SMc04177,noHit
SMc04178,noHit
SMc04179,Atu4475
SMc04180,Atu1725
SMc04181,noHit
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,noHit
SMc04189,noHit
SMc04190,noHit
SMc04191,noHit
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,noHit
SMc04197,noHit
SMc04198,Atu0443
SMc04199,noHit
SMc04200,noHit
SMc04201,Atu0995
SMc04202,Atu3705
fecI,pfrI
fecR,Atu3386
SMc04205,hasR
SMc04206,noHit
rspD,prsD
rspE,prsE2
SMc04209,noHit
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,Atu1346
SMc04272,noHit
SMc04274,Atu2011
SMc04276,Atu1221
SMc04280,noHit
SMc04283,noHit
SMc04287,noHit
SMc04289,noHit
SMc04291,noHit
cyaF3,noHit
ftsZ2,noHit
SMc04298,noHit
SMc04299,noHit
SMc04300,Atu2012
SMc04316,Atu2013
SMc04317,Atu2014
cspA1,cspA
SMc04319,Atu3122
rpsU1,rpsU
gst10,noHit
mocA,Atu4876
SMc04323,Atu2015
SMc04324,noHit
SMc04338,noHit
SMc04341,noHit
cyaJ,noHit
SMc04344,noHit
ilvC,ilvC
SMc04348,Atu2020
macA,Atu5177
macB,Atu5178
SMc04352,Atu3541
SMc04357,noHit
SMc04359,Atu1182
SMc04360,kka
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,ndh
SMc01403,Atu4082
SMc01404,Atu4081
SMc01493,Atu2000
SMc01405,Atu0949
SMc01488,noHit
SMc01406,noHit
pdxJ,pdxJ
SMc01408,noHit
SMc01409,noHit
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,noHit
SMc01412,noHit
SMc01413,noHit
cyaI1,noHit
suhR,noHit
SMc01414,Atu2026
abrB,noHit
SMc01416,noHit
SMc01417,noHit
SMc01418,Atu2029
rpoE1,Atu2030
SMc01420,Atu2031
SMc01421,noHit
SMc01422,noHit
nthB,noHit
nthA,noHit
SMc01425,noHit
SMc01426,Atu1041
SMc01427,Atu3124
cspA2,cspA
SMc01429,Atu2032
ilvH,ilvH
ilvI,ilvI
SMc01432,Atu2038
SMc01433,noHit
SMc01434,Atu8153
miaA,miaA
serB,serB
SMc01437,Atu2041
degP2,Atu2043
SMc01439,Atu0741
hflC,hflC
hflK,hflK
folA,folA
gst6,Atu5272
thyA,thyA
SMc01445,noHit
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,Atu8170
SMc01450,Atu8171
SMc01451,noHit
SMc01452,Atu2051
TRm22,noHit
SMc01454,Atu2052
dld,Atu2053
SMc01456,noHit
SMc01457,Atu2054
SMc01458,Atu2055
SMc01459,Atu4769
SMc01460,Atu2056
uvrD1,pcrA
SMc01462,Atu0262
SMc01463,noHit
SMc01464,noHit
creA,Atu2076
TRm21,noHit
SMc01467,noHit
cheW2,cheW
mcpW,mcpG
SMc01470,noHit
senC,sco1
prmA,prmA
SMc04453,noHit
SMc01885,Atu2070
SMc01884,noHit
SMc01883,Atu2069
SMc01882,Atu2068
panB,panB
panC,panC
SMc01879,Atu2715
ligA,Atu2082
recN,recN
SMc01876,Atu2084
lpxC,lpxC
ftsZ1,ftsZ2
ftsA,ftsA
ftsQ,ftsQ
ddlB,ddlB
aqpZ1,aqpZ
SMc01869,Atu2090
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,pbpB1
SMc01859,noHit
mraW,mraW
SMc01857,Atu2103
SMc01856,solA
SMc01855,slt
SMc01854,Atu2113
djlA,djlA
pfp,pfp
SMc01851,Atu1864
SMc01850,noHit
SMc01849,noHit
btaA,Atu2119
btaB,Atu2120
SMc01846,lyc
mltB2,mltB
SMc01844,Atu2079
metF,metF
SMc01842,Atu2124
SMc04454,chvD
SMc02819,noHit
SMc02818,Atu2126
SMc02817,Atu1558
ilvG,iivG
SMc01573,Atu2131
SMc01574,Atu2132
SMc01575,Atu2133
SMc01576,ordL
SMc01579,parA
SMc01582,Atu2138
SMc01588,Atu2139
SMc01594,glnA
SMc01597,noHit
SMc01600,Atu2144
SMc01602,Atu2145
SMc01605,Atu2147
SMc01606,Atu2148
SMc01607,Atu2149
SMc01608,Atu2150
ribH2,noHit
SMc01610,Atu0410
fhuA1,Atu0409
TRm5,noHit
rpiB,noHit
tpiB,noHit
SMc01615,noHit
eryC,noHit
SMc01617,noHit
SMc01618,noHit
SMc01619,noHit
eryB,noHit
fucA1,noHit
SMc01622,noHit
eryA,noHit
SMc01624,noHit
SMc01625,noHit
SMc01626,Atu5401
SMc01627,Atu2506
SMc01628,noHit
eryD,noHit
SMc01630,noHit
SMc01631,noHit
SMc01632,noHit
SMc01633,noHit
SMc01634,noHit
SMc01635,noHit
SMc01636,noHit
SMc01637,Atu5342
SMc01638,Atu5344
SMc01639,noHit
SMc01640,noHit
caiD,noHit
prbA,noHit
prbB,Atu5345
prbC,Atu5346
prbD,Atu5347
SMc01646,noHit
SMc01647,Atu5343
SMc01648,noHit
SMc01649,noHit
SMc01650,Atu5348
SMc01651,noHit
SMc01652,noHit
SMc01653,noHit
SMc01654,noHit
SMc01655,noHit
SMc01656,noHit
fhuA2,noHit
SMc01658,noHit
SMc01659,noHit
SMc01660,noHit
mttB2,noHit
SMc01662,noHit
SMc01663,Atu1632
SMc01664,noHit
SMc01665,Atu0950
mdeA,mdeA
SMc01667,Atu1953
SMc01668,noHit
crt,noHit
SMc01670,noHit
SMc01671,noHit
SMc01540,noHit
SMc01541,Atu3570
SMc01542,noHit
SMc01543,noHit
aacC,noHit
SMc01545,Atu2342
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,Atu1440
SMc01745,noHit
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,noHit
SMc01749,Atu4427
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,pp26
SMc01557,Atu2163
SMc01558,Atu8117
SMc01559,Atu2164
SMc01560,noHit
SMc01561,Atu2451
SMc01562,noHit
sigA,rpoD
tdh,noHit
bioF,noHit
recQ,recQ
dnaG,dnaG
SMc01568,Atu2169
carA,carA
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,aatA
SMc01580,noHit
SMc01581,noHit
SMc01583,noHit
SMc01584,Atu2199
cspA3,cspA
SMc01586,Atu3295
SMc01587,Atu2201
SMc01589,noHit
SMc01590,Atu2203
SMc01591,noHit
SMc01592,petP
SMc01593,petR
SMc01595,envZ
csaA,csaA
proC,proC
SMc02678,Atu8172
SMc03744,Atu8173
lgt,lgt
SMc02682,Atu2214
SMc02683,Atu2215
SMc02684,Atu2216
SMc02685,noHit
prsA,prsA
SMc02687,noHit
SMc02688,noHit
SMc02689,aldA
SMc02690,acoR
SMc02691,Atu2265
rplY,rplY
pth,pth
clpS2,clpS
engD,Atu2233
SMc02696,Atu2234
SMc02697,Atu2235
apt,apt
SMc02699,Atu2249
SMc02700,papS
SMc02701,Atu2251
SMc02702,Atu2252
SMc02703,moxR
SMc02704,Atu2254
SMc02705,Atu8175
SMc02706,Atu2257
SMc02707,Atu2260
SMc02708,Atu2261
SMc02709,noHit
fic,noHit
SMc02711,Atu2262
SMc02712,Atu2263
rpoE3,noHit
SMc02714,noHit
SMc02715,noHit
SMc02716,noHit
leuA1,leuA
SMc02718,noHit
TRm22,noHit
clpP2,clpP
SMc02721,noHit
SMc02722,noHit
SMc02723,Atu2273
SMc02724,Atu2274
trpE,trpE(G)
bhuR,Atu2287
SMc02727,Atu2288
fhs,noHit
SMc02729,Atu2284
SMc02730,noHit
TRm22,noHit
SMc02732,Atu1072
SMc02733,noHit
SMc02734,noHit
SMc02735,noHit
tdk,tdk
choX,Atu2281
choW,Atu2280
choV,Atu2279
SMc04457,Atu2129
SMc01535,Atu3015
SMc01534,bioA
adeC1,adeC
SMc01532,aglA
kdgK,kdgK
TRm5,noHit
dppF2,Atu4435
dppD2,Atu4434
dppC2,Atu4433
dppB2,Atu4432
dppA2,Atu4431
SMc01524,Atu4430
emrE,Atu2319
SMc01522,Atu2320
ntrP,noHit
ntrR1,noHit
SMc01520,Atu2380
SMc01519,Atu2381
SMc01748,noHit
SMc01518,Atu2461
SMc01517,Atu2382
SMc01516,Atu2383
SMc01515,noHit
SMc01514,noHit
SMc01747,noHit
hmuS,noHit
hmuT,hmuT
hmuU,hmuU
hmuV,hmuV
SMc01509,Atu4168
SMc01508,noHit
SMc01507,noHit
rpoE2,Atu4160
SMc01505,Atu4161
SMc01504,Atu4162
SMc01503,Atu4453
SMc01502,Atu4452
mtlK,mtlK
smoS,Atu3164
smoK,Atu4450
smoG,Atu4449
smoF,Atu3168
smoE,Atu4447
smoC,Atu4446
SMc01814,noHit
SMc01815,noHit
SMc01816,Atu5447
SMc01817,noHit
cyaC,cyaA
SMc01819,Atu2384
SMc01820,amaB
dht,dht
SMc01822,noHit
SMc01823,Atu2388
SMc01824,noHit
SMc01825,Atu2389
SMc01826,Atu2390
SMc01827,Atu2391
SMc01828,Atu2392
SMc01829,Atu2393
ureG,ureG
ureF,ureF
ureE,ureE
SMc01833,noHit
SMc01834,Atu2399
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,Atu2402
SMc02046,Atu2403
ureB,ureB
SMc01940,Atu2406
ureA,ureA
ureD,ureD
SMc01943,noHit
cpo,noHit
ohrR,noHit
livK,Atu2422
SMc01947,Atu8177
livF,Atu2424
livG,Atu2425
livM,Atu2426
livH,livH
cysQ,noHit
SMc01953,noHit
SMc01954,fixK
SMc01955,Atu2668
SMc01956,Atu1045
SMc01957,noHit
TRm1b,noHit
TRm1a,Atu4602
SMc01960,noHit
SMc01961,noHit
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,noHit
SMc01968,noHit
SMc01969,noHit
SMc01970,noHit
puuC,Atu3950
puuB,ordL
puuA,glnA
SMc01974,noHit
SMc01975,Atu3176
SMc01976,mdeA
SMc01977,Atu3174
SMc01978,Atu3173
SMc01979,Atu3172
SMc01980,Atu3171
SMc01981,noHit
coxM,noHit
coxN,noHit
coxO,noHit
coxP,noHit
SMc01986,noHit
SMc01987,noHit
SMc01988,noHit
SMc01989,Atu1872
SMc01990,noHit
SMc01991,cbr
SMc01992,Atu4318
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,Atu3374
SMc02025,Atu3375
SMc02026,Atu3376
SMc02027,Atu3377
SMc02028,Atu3378
SMc02029,dppB
SMc02030,Atu3381
SMc02031,rbsC
SMc02032,noHit
SMc02033,noHit
SMc02034,Atu1897
SMc02035,Atu3208
SMc02036,noHit
SMc02037,noHit
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,noHit
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,noHit
SMc02338,noHit
SMc02339,noHit
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,noHit
SMc02344,ssuA
SMc02345,noHit
SMc02346,Atu0159
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,Atu0250
SMc02352,noHit
SMc02353,noHit
SMc02354,noHit
SMc02355,noHit
SMc02356,noHit
SMc02357,noHit
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,Atu5245
SMc02413,noHit
SMc02414,Atu4694
SMc02415,Atu4695
SMc02416,noHit
SMc02417,noHit
SMc02418,Atu4696
SMc02419,Atu4697
SMc02420,Atu4698
SMc02421,trzA
SMc02423,Atu4700
SMc02424,Atu4701
SMc02425,Atu4702
SMc02426,Atu4703
hyuE,huy
SMc02428,noHit
SMc02429,Atu3808
TRm17,noHit
SMc02431,noHit
SMc02432,Atu4178
clpB,clpB
SMc02434,Atu4176
hemK1,hemK
prfA,prfA
ptsP,ptsI
lysC,lysC
SMc02439,noHit
ubiG,ubiG
SMc02441,Atu3509
SMc02442,Atu3510
grxC,grx
SMc02444,comF
SMc02445,Atu3513
SMc02446,noHit
SMc02447,Atu3515
mutT,Atu3516
SMc02449,Atu3517
argJ,argJ
SMc02451,ppiD
secA,secA
SMc00744,noHit
SMc00743,Atu3523
SMc00742,Atu8188
acsA3,noHit
SMc00740,noHit
SMc00739,noHit
SMc00738,Atu3538
SMc00737,Atu3539
SMc00736,alkA
SMc00735,gltX
SMc00734,Atu3590
SMc00733,Atu3591
SMc00732,Atu8190
SMc00731,Atu3593
SMc00730,Atu3594
etfB1,etfB
etfA1,etfA
hbdA,hbdA
tlpA,dsbE
argH1,argH
SMc00724,noHit
lysA,lysA
SMc00722,Atu3602
TRm22,noHit
SMc00720,Atu3603
hpt,hpt
SMc00718,noHit
ftsE,ftsE
ftsX,ftsX
SMc00715,Atu3608
SMc00714,plsC
chaC,Atu3610
SMc00712,Atu8095
tyrC,tyrC
hisC1,hisC
SMc00709,Atu3613
gloB,gloB
SMc00707,Atu3615
SMc00706,noHit
SMc00705,Atu3616
rpmB,rpmB
SMc00703,Atu3618
SMc00702,Atu3620
cobT,cobT
SMc00700,cobS
SMc00699,dnaJ
SMc00698,bolA
SMc00697,noHit
aroB,aroB
aroK,aroK
SMc00694,noHit
SMc00693,Atu0810
SMc00692,Atu3628
xerD,xerD
accA,accA
SMc00689,Atu3631
SMc00688,Atu3632
SMc00687,noHit
SMc00686,noHit
SMc00684,Atu3633
SMc00683,dacF
hipO1,Atu3635
lrp1,putR
SMc00680,adh
SMc00679,Atu2021
SMc00678,noHit
SMc00677,noHit
SMc00676,noHit
SMc00675,noHit
hutC,hutC
SMc00673,Atu3935
hisX,noHit
hisW,proW
hisV,proV
hutH2,hutH
SMc00668,noHit
SMc00667,Atu3929
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,trmU
SMc00658,noHit
SMc00657,Atu2430
SMc00656,Atu2431
SMc00655,noHit
ctrA,ctrA
SMc00653,noHit
chpT,Atu2438
SMc00651,Atu2439
SMc00650,Atu2440
SMc00649,Atu2441
SMc00648,Atu2442
rluD,rluD
rpoH1,rpoH
SMc00644,Atu2446
purA,purA
SMc00642,Atu2448
serA,serA
serC,serC
SMc00639,noHit
SMc00638,Atu3708
glmM,mrsA
ftsH,ftsH
SMc02940,mesJ
SMc02941,Atu3712
pal,palA
tolB,tolB
tolA,tolA
tolR,tolR
tolQ,tolQ
SMc03959,Atu5055
SMc03960,Atu3718
sqdB,noHit
sqdD,noHit
sqdC,noHit
SMc03964,noHit
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,Atu3726
SMc03969,Atu3727
SMc03970,Atu3729
mexF2,noHit
mexE2,noHit
SMc03973,Atu3730
SMc03974,Atu3731
SMc03975,noHit
SMc03976,Atu8191
SMc03977,Atu8192
tkt2,tktA
gap,gapA
SMc03980,Atu5439
pgk,pgk
TRm5,noHit
fbaB,Atu3740
SMc03984,noHit
cyaF2,noHit
SMc03986,noHit
SMc03987,Atu3741
SMc03988,noHit
SMc03989,Atu3742
rpmE,rpmE
SMc03991,Atu3744
SMc03992,motB
SMc03993,Atu3747
suhB,suhB
SMc03995,enhC
thiE2,thiE
SMc03997,Atu3751
SMc03998,noHit
SMc03999,Atu3752
