SMc02793,NGR_c33500
SMc00598,NGR_c09160
moaE,NGR_c09170
moaD,NGR_c09180
pgsA,pgsA
uvrC,uvrC
SMc00603,NGR_c09210
ropB1,NGR_c09220
SMc00605,NGR_c09230
SMc00606,NGR_c09240
SMc00607,NGR_c09250
SMc00608,NGR_c09260
dmsA,NGR_c09270
SMc00610,NGR_c09280
SMc00611,NGR_c09290
SMc00612,noHit
acvB,noHit
purN,purN
purM,NGR_c09330
perM,NGR_c09340
SMc00617,NGR_c09350
ppk,NGR_c09360
ppx,NGR_c09370
SMc00620,NGR_c09380
cyaB,NGR_c09400
rnd,rnd
SMc01754,NGR_c09420
SMc01755,NGR_c09430
aspS,aspS
SMc01757,noHit
groEL4,groEL2
SMc01759,NGR_c09460
SMc01760,NGR_c09470
parC,parC
SMc01762,NGR_c09490
SMc01763,NGR_c09500
ate,noHit
SMc01765,NGR_c09520
hemB,NGR_c09530
SMc01767,NGR_c09540
SMc01768,NGR_c09550
SMc01769,NGR_c09560
glyA1,glyA
nrdR,NGR_c09580
ribD,ribD
ribE,NGR_c09600
SMc01774,NGR_c09610
SMc01775,NGR_c09620
SMc01776,NGR_c09630
ribH1,ribH2
nusB,nusB
SMc01779,NGR_c09660
hppA,NGR_c09670
SMc01781,NGR_c09680
SMc01782,NGR_c09690
SMc01783,NGR_c09700
plsX,plsX
fabH,fabH2
himA,NGR_c09730
SMc01787,NGR_c09740
SMc01788,NGR_c10080
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,NGR_c10090
SMc01792,NGR_c10100
SMc01793,NGR_c10110
SMc01794,NGR_c10120
SMc01795,NGR_c10130
SMc01796,NGR_c10140
SMc01797,NGR_c10150
SMc01798,NGR_c10160
SMc01799,noHit
SMc01800,NGR_c10180
argC,NGR_c10190
speB,NGR_c10200
rpsI,NGR_c10220
rplM,rplM
SMc01805,NGR_c10240
SMc01806,NGR_c10250
SMc01807,NGR_c10260
SMc01808,NGR_c10270
SMc01809,NGR_c10280
SMc01810,NGR_c10290
TRm20N,noHit
TRm20C,noHit
SMc01812,NGR_c10310
SMc01813,NGR_c10320
SMc04448,NGR_c10330
clpP1,clpP
clpX,clpX
lon,NGR_c10370
hupB,NGR_c10380
SMc01907,NGR_c10390
SMc01908,NGR_c10400
SMc01909,NGR_c10420
SMc01910,NGR_c10430
SMc01911,NGR_c10440
nuoA1,nuoA2
nuoB1,nuoB2
nuoC1,nuoC2
nuoD1,nuoD2
SMc01916,NGR_c10520
nuoE1,nuoE2
nuoF1,nuoF2
SMc01919,NGR_c10550
nuoG1,nuoG2
nuoH,nuoH2
nuoI,nuoI1
nuoJ,nuoJ
nuoK1,nuoK
nuoL,nuoL
nuoM,nuoM1
nuoN,nuoN2
birA,birA
SMc01929,NGR_c10650
SMc01930,NGR_c10660
SMc01931,NGR_c10670
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,NGR_c10690
SMc01376,NGR_c10700
dnaE1,dnaE2
SMc01374,NGR_c10740
dinB1,dinP
SMc01372,NGR_c10780
divK,NGR_c10790
pleD,NGR_c10800
rpmG,NGR_c10810
SMc01368,NGR_c10820
SMc01367,NGR_c10830
SMc01366,NGR_c10840
rnr,NGR_c10850
topA,topA
smf,NGR_c10870
SMc01362,NGR_c10880
SMc01361,NGR_c10890
pyrB,NGR_c10900
aidB,NGR_c10910
SMc01358,NGR_c10920
SMc01357,noHit
SMc01356,NGR_c10930
SMc01355,noHit
SMc01354,NGR_c10940
gatC,gatC
gatA,gatA
SMc01351,NGR_c10980
gatB,gatB
SMc01349,NGR_c11010
SMc01348,NGR_c11040
SMc01347,NGR_c11050
aat,NGR_c11060
accC,accB
accB,accC2
aroQ,aroQ2
SMc01342,NGR_c11100
SMc01341,noHit
SMc01340,aspB
TRm11a,NGR_b05870
TRm11b,NGR_b05860
SMc01337,NGR_b15470
rne,NGR_c11120
amiC,NGR_c11140
mrcA1,NGR_c11150
prfB,NGR_c11160
SMc01332,NGR_c11170
ppnK,NGR_c11180
SMc04435,noHit
SMc01330,NGR_c11670
azoR,NGR_c11680
SMc01328,NGR_c11690
SMc01327,NGR_c11700
tufB,NGR_c11730
SMc01325,noHit
SMc01324,NGR_c11740
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,NGR_c11820
rpoB,rpoB
rpoC,rpoC
SMc01315,NGR_c11850
rpsL,rpsL
rpsG,rpsG
fusA1,fusA
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,noHit
rplO,rplO
secY,secY
adk,NGR_c12110
rpsM,NGR_c12120
rpsK,NGR_c12130
rpoA,rpoA
rplQ,NGR_c12150
SMc01282,NGR_c12160
SMc01281,NGR_c12170
degP3,NGR_c12180
SMc01279,NGR_c12190
sugE,NGR_c12200
SMc01277,NGR_c12210
gph2,NGR_c12220
rluC,rluC
crcB,crcB
SMc01273,NGR_c12250
SMc01272,NGR_c12260
SMc01271,NGR_c12270
adhC1,adhC6
SMc01269,NGR_c12290
lipB,lipB
SMc01267,NGR_c12340
SMc01266,NGR_c12350
SMc01265,NGR_c12360
SMc01264,NGR_c12370
SMc01263,noHit
def2,NGR_c12380
SMc01261,NGR_c12390
SMc01260,NGR_c12400
SMc01259,NGR_c12410
SMc01258,NGR_c12420
SMc01257,NGR_c12430
sda,NGR_c12440
SMc00995,NGR_c12450
SMc01068,noHit
SMc00996,NGR_c12470
SMc00997,NGR_c12480
SMc00998,NGR_c12490
SMc00999,NGR_c12500
SMc01000,NGR_c12510
SMc01001,NGR_c12530
SMc01002,NGR_c12540
SMc01003,NGR_c12550
hisI,hisI
folE,folE
SMc01006,NGR_c12580
SMc01007,noHit
SMc01008,NGR_c12590
SMc01009,NGR_c12600
thrS,thrS
SMc01011,NGR_c12630
SMc01012,NGR_c12640
SMc01013,NGR_c12650
SMc01014,NGR_c12660
SMc01015,NGR_c12670
SMc01016,NGR_c12680
SMc01017,NGR_c12690
parE,NGR_c12710
SMc01019,NGR_c12720
SMc01020,NGR_c12730
SMc01021,NGR_c12740
SMc01022,noHit
tpiA,NGR_c12760
SMc01024,noHit
pyrG,pyrG
SMc01026,NGR_c12780
kdsA,NGR_c12790
eno,NGR_c12800
SMc01029,NGR_c12810
pdhAa,pdhA2
pdhAb,pdhB3
pdhC,NGR_c12850
SMc01033,NGR_c12860
SMc01034,NGR_c12870
lpdA1,NGR_c12880
SMc01036,NGR_c12890
lipA,lipA2
SMc04865,noHit
SMc01038,NGR_c12920
SMc01039,cinA
ispDF,NGR_c12940
dusB,nifR
ntrB,ntrB
ntrC,ntrC
ntrY,NGR_c12980
ntrX,ntrX
trkA,noHit
SMc01047,NGR_c13000
hfq,NGR_c13010
hflX,NGR_c13020
TRm20,noHit
SMc01051,NGR_c13030
SMc01052,NGR_c13040
cysG,cysG
SMc01054,NGR_c13060
cysI,NGR_c13070
SMc02123,NGR_c13080
fpr,NGR_c13090
relE,noHit
aapP,aapP
aapM,aapM
aapQ,aapQ
aapJ,NGR_c13170
metC,metC
SMc02116,NGR_c13190
SMc02115,noHit
SMc02114,NGR_c13210
cysE,cysE
SMc02112,noHit
SMc02111,NGR_c13240
clpS1,clpS2
clpA,clpA
SMc02108,NGR_c13270
SMc02107,NGR_c13280
SMc02106,NGR_c13290
SMc02105,NGR_c13300
SMc02104,NGR_c13310
SMc02103,NGR_c13320
SMc02102,NGR_c13330
rpsB,NGR_c13340
tsf,NGR_c13350
pyrH,pyrH
rrf,NGR_c13370
uppS,lpxD
cdsA,NGR_c13390
SMc02095,NGR_c13400
omp,NGR_c13410
lpxD,NGR_c13420
fabZ,fabZ
lpxA,lpxA
SMc02090,NGR_c13450
lpxB,lpxB
SMc02088,NGR_c36020
gltA,gltA
SMc02086,NGR_c13480
exbB,exbB
exbD,exbD
SMc02083,NGR_c13510
tolC,tolC
SMc02081,NGR_c13540
valS,valS
fadL,NGR_c13590
exoR,exoR
xthA2,xthA2
cls,NGR_c13620
SMc02075,hesB
SMc02074,dgt
argS,argS
SMc02072,NGR_c13660
SMc02071,NGR_c13670
SMc02070,NGR_c13680
SMc02069,NGR_c13690
SMc02068,NGR_c13700
tatE,tatA/E
tatB,tatB
tatC,tatC
serS,serS
surE,surE
pcm,pcm
bioS,bioS
lppB,NGR_c13780
SMc02059,NGR_c13790
SMc02058,yajC
secD1,secD2
SMc02056,NGR_c13820
crtB,NGR_c13830
SMc02054,NGR_c13840
gid,NGR_c13870
SMc02052,noHit
SMc02051,NGR_c13890
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,NGR_c15510
SMc01241,noHit
TRm5,noHit
SMc01239,noHit
gst5,noHit
nrdJ,nrd
SMc01236,NGR_c15560
uvrA,uvrA
ssb,NGR_c15580
SMc01232,NGR_c15590
gyrA,gyrA
SMc01230,NGR_c15610
SMc01229,noHit
str,noHit
nerA,noHit
SMc01226,noHit
lsrB,NGR_c15650
trxB,trxB3
lrp3,NGR_c15670
lpsC,lpsC
lpsD,lpsD
lpsE,lpsE
lpsB,lpsB
greA,greA
SMc01217,NGR_c15730
SMc01216,NGR_c15740
carB,carB
SMc01214,noHit
SMc01213,NGR_c15760
SMc01212,NGR_c15790
norM,NGR_c15800
SMc01210,noHit
coaD,coaD
ppiA,ppiA
ppiB,ppiB
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,NGR_c15870
SMc01203,NGR_c15890
SMc01202,NGR_c15900
SMc01200,NGR_c15910
SMc01698,NGR_c15920
SMc02814,NGR_c15930
SMc01199,NGR_c15940
SMc01198,cya3
SMc01197,noHit
SMc01196,NGR_a03030
SMc01195,noHit
SMc01194,NGR_c16020
SMc01193,NGR_c16030
metS,metS
SMc01191,noHit
SMc01190,NGR_c16060
tmk,tmk
dac,NGR_c16080
rlpA,NGR_c16090
SMc01186,NGR_b12560
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,NGR_b09700
SMc01180,NGR_c15040
SMc01179,NGR_c15020
SMc01178,NGR_c15010
SMc01177,noHit
SMc01176,noHit
SMc01175,NGR_c15000
cysK2,cysK2
alaS2,alaS2
sseA,sseA
SMc01171,NGR_c14950
SMc01170,NGR_c14940
ald,NGR_c14930
lrp2,NGR_c14920
cpdB,NGR_c14900
SMc00935,NGR_c14890
ilvA,ilvA2
trkH,noHit
SMc00938,NGR_c14870
SMc00939,noHit
SMc00940,noHit
SMc00941,NGR_c14820
SMc00942,noHit
wrbA1,NGR_c14790
SMc00944,NGR_c14780
gpt,gpt
SMc00946,NGR_c14760
glnB,NGR_c14750
glnA,glnA3
SMc00949,NGR_c14730
SMc00950,NGR_c14720
SMc00951,NGR_c14710
SMc00952,dsb
SMc00953,noHit
atsA,noHit
SMc00955,NGR_b05050
SMc00959,noHit
xthA1,noHit
SMc00958,noHit
mfd,NGR_c14690
SMc00227,noHit
recG,recG
SMc00229,NGR_c14670
SMc00230,NGR_c14660
glmS,glmS2
glmU,NGR_c14640
SMc00233,NGR_c14630
ppiD,ppiD
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,NGR_c14560
SMc00241,NGR_c14550
SMc00242,NGR_c14540
SMc00244,NGR_c14530
SMc00243,NGR_c14520
SMc00245,NGR_c14510
qor,qor
pcs,pcs
SMc00316,NGR_c14480
SMc00317,NGR_c14470
ccsA,NGR_c14460
SMc00249,noHit
SMc00250,noHit
SMc00251,NGR_b09890
SMc00252,noHit
SMc00253,noHit
SMc00254,NGR_c14290
SMc04437,noHit
SMc00255,NGR_c14280
SMc00256,NGR_c14270
ropB2,NGR_c14260
SMc00258,NGR_c14240
SMc00259,noHit
SMc00260,fabG2
SMc00261,noHit
SMc00262,noHit
SMc00263,noHit
SMc00264,noHit
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,NGR_a02430
SMc00269,NGR_a02450
SMc00270,NGR_a02440
SMc00271,noHit
SMc00272,noHit
SMc00273,NGR_a02470
SMc00274,noHit
SMc00275,NGR_a02420
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,NGR_b14170
SMc00281,noHit
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,noHit
SMc00288,NGR_c14140
cspA5,cspA3
gloA,gloA
SMc00291,NGR_c14110
recJ,recJ
thrA,thrA
aatC,aatC
SMc00295,noHit
phbC,phbC2
sfsA,NGR_c13990
map1,map1
radC,radC
sthA,NGR_c13940
sufA,NGR_c15460
SMc00302,NGR_c15450
csd,sufS
sufD,NGR_c15430
SMc00531,NGR_c15420
SMc00530,sufB
nifS,NGR_c15400
SMc00528,NGR_c15390
anmK,NGR_c15370
tyrS,tyrS
SMc00525,NGR_c15350
bcp,NGR_c15340
SMc00523,noHit
SMc00540,noHit
SMc00539,NGR_c15320
rhlE1,NGR_c15310
SMc00521,NGR_c15300
SMc00520,NGR_c15290
SMc00519,NGR_c15280
SMc00518,NGR_c15270
SMc00517,NGR_c15260
SMc00516,NGR_c15250
SMc00515,NGR_c15240
SMc00514,NGR_c15230
SMc00513,NGR_c15220
SMc00512,NGR_c15210
rpe,rpe
SMc00510,NGR_c15190
SMc00509,NGR_c15180
purB,NGR_c15170
SMc00507,NGR_c15160
SMc00506,NGR_c15150
SMc00505,NGR_c15140
SMc00504,noHit
SMc00503,noHit
fldZ,NGR_b14730
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,NGR_b06170
SMc00496,NGR_c16180
purC,purC
SMc00494,purS
purQ,purQ
SMc00492,NGR_c16220
SMc00491,noHit
SMc00490,NGR_c16240
SMc00489,NGR_c16250
purL,purL
SMc00487,noHit
SMc00538,NGR_c16290
SMc00537,NGR_c16310
SMc00536,NGR_c16320
SMc00535,NGR_c16330
SMc00534,NGR_c16340
glsA,glsA
rpsD,rpsD
SMc00484,NGR_c16390
murI,murI
SMc00482,NGR_c16420
SMc00481,noHit
icd,icd
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,NGR_c16450
alaS,alaS1
recA,recA2
SMc00473,NGR_c16480
SMc00472,NGR_c16490
SMc00471,NGR_c16500
SMc00470,NGR_c16510
dksA,dank
SMc00468,NGR_c16530
SMc00467,NGR_c16540
SMc00466,NGR_c16550
SMc00548,NGR_c16560
folK,folK
folB,folB
folP,folP
SMc00194,NGR_c16610
SMc00193,noHit
fdx,NGR_c16660
SMc00191,NGR_c16670
SMc00190,NGR_c16680
fbcC,fbcC
fbcB,fbcB
fbcF,fbcF3
SMc00186,NGR_c16740
SMc00185,NGR_c16750
SMc00184,NGR_c16760
SMc00183,NGR_c16770
SMc00182,soxR
SMc00196,noHit
SMc00181,noHit
hemF,fbcF2
SMc00179,NGR_c16800
SMc00178,noHit
SMc00177,NGR_c16810
SMc00176,NGR_c16820
SMc00175,NGR_c16830
SMc00174,NGR_c16840
SMc00459,NGR_c16850
hcaT,NGR_c16860
SMc00171,NGR_c16870
dme,dme
sinR,NGR_c16890
sinI,NGR_c16900
SMc00167,NGR_c16910
bluB,bluB
SMc00165,noHit
SMc00164,noHit
SMc00163,noHit
tolB2,tolB2
nadE2,nadE2
cgmB,noHit
cgmA,NGR_c16960
SMc00159,noHit
SMc00158,noHit
SMc00157,NGR_c16970
SMc00156,NGR_c16980
dhs,NGR_c16990
gor,NGR_c17000
SMc00153,NGR_c17010
rpiA,rpiA
gph1,NGR_c17030
SMc00150,NGR_c17040
fumC,fumC
SMc00148,NGR_c17070
SMc00147,NGR_c17080
SMc00146,NGR_c17090
SMc00145,NGR_c17100
moaA,moaA
SMc00197,NGR_c17130
mobA,mobA
mobB,mobB
SMc00141,NGR_c17170
SMc00198,noHit
SMc00140,NGR_c17180
SMc00139,NGR_c17190
SMc00138,NGR_c17200
usg,NGR_c17210
SMc00136,NGR_b22480
SMc00135,NGR_c17220
SMc00134,NGR_c17230
SMc00133,NGR_c17250
SMc00132,NGR_c17260
SMc00131,NGR_c17270
SMc04210,NGR_c17280
SMc04211,NGR_c17290
SMc04212,NGR_c17310
dgkA,dgkA
cobU,cobU
cobS,noHit
SMc04216,noHit
SMc04217,NGR_c17350
SMc04218,NGR_c17400
SMc04219,NGR_c17410
SMc04220,NGR_c17420
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,NGR_c17450
SMc04226,noHit
mcpV,NGR_c17460
SMc04228,NGR_c17470
SMc04229,NGR_c17480
SMc04230,NGR_c17490
uvrB,uvrB
SMc04232,noHit
SMc04233,dnaJ2
cspA4,cspA2
SMc04235,NGR_c17550
SMc04236,noHit
SMc04237,NGR_c17560
SMc04238,noHit
SMc04239,NGR_c17580
SMc04240,NGR_c17590
SMc04241,NGR_c17600
zur,NGR_c17620
znuB,NGR_c17630
znuC,NGR_c17640
znuA,znuA
SMc04246,NGR_c17660
SMc04247,xynA
SMc04248,dctQ
SMc04249,dctM
TRm20,noHit
smoM,dctP
SMc04252,NGR_c17760
SMc04253,NGR_c17770
SMc04254,NGR_c17780
manB,NGR_c17790
SMc04256,NGR_c17800
SMc04257,NGR_c17810
SMc04258,NGR_c17820
SMc04259,NGR_c17830
SMc04260,NGR_c17850
SMc04261,NGR_c17880
gnd,NGR_c17890
SMc04263,noHit
SMc04264,noHit
SMc04265,NGR_c17940
SMc04266,NGR_c17950
lpxXL,NGR_c18030
adhA2,NGR_c18040
SMc04273,fabF2
fabF2,NGR_c18060
SMc04277,NGR_c18070
acpXL,NGR_c18080
cobD,cobD
cobC,cobC
cobB,cobB
cobA,cobA
cobE,noHit
SMc04286,noHit
SMc04288,noHit
SMc04290,noHit
SMc04293,noHit
SMc04294,noHit
SMc04295,NGR_b06750
SMc04297,noHit
SMc04301,noHit
cobO,cobO
cobN,noHit
cobW,cobW
cobP,cobP
SMc04306,NGR_c18220
cyaD2,cyaD
SMc04308,noHit
cobQ,NGR_c18240
SMc04310,noHit
SMc04311,NGR_c18250
SMc04439,NGR_c18260
SMc04312,noHit
SMc04313,noHit
SMc04314,NGR_c18270
SMc04315,NGR_c18280
bmt,NGR_c18290
SMc04326,noHit
SMc04327,noHit
SMc04328,NGR_c18350
SMc04329,NGR_c18360
mttB,NGR_c18370
mtbC,NGR_c18380
ecnB,noHit
SMc04333,NGR_c18400
SMc04334,NGR_c18410
SMc04335,noHit
SMc04336,NGR_c18430
SMc04337,NGR_c18440
SMc04339,noHit
SMc04340,NGR_c18450
SMc04342,NGR_c18460
SMc04345,NGR_c18480
SMc04347,NGR_c18490
SMc04451,noHit
SMc04161,NGR_c18550
SMc04162,noHit
SMc04163,NGR_c18560
SMc04164,noHit
SMc04165,noHit
SMc04166,NGR_c17870
SMc04167,NGR_b07440
SMc04168,NGR_b07450
SMc04169,NGR_c18590
SMc04170,NGR_c18610
SMc04171,noHit
cyaH,NGR_c18620
SMc04173,NGR_c18640
SMc04174,noHit
SMc04175,NGR_c18670
SMc04176,NGR_c18680
SMc04177,NGR_c35990
SMc04178,NGR_c18740
SMc04179,NGR_c18750
SMc04180,noHit
SMc04181,NGR_c18790
SMc04182,NGR_c18800
SMc04183,NGR_c18820
SMc04185,NGR_c18850
SMc04184,noHit
SMc04186,NGR_c18860
SMc04187,gp2
SMc04188,NGR_c19050
SMc04189,NGR_c19060
SMc04190,NGR_c19070
SMc04191,NGR_c19080
SMc04194,NGR_c19110
TRm3,NGR_a01970
SMc04440,noHit
SMc04196,NGR_c19150
SMc04197,NGR_c19160
SMc04198,NGR_c19170
SMc04199,NGR_c19180
SMc04200,NGR_c19190
SMc04201,NGR_c19210
SMc04202,NGR_c19220
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,NGR_c19230
lpsS,NGR_c19240
SMc04441,noHit
SMc04269,noHit
SMc04271,NGR_c19260
SMc04272,NGR_c19270
SMc04274,NGR_c19280
SMc04276,NGR_c19290
SMc04280,NGR_b02140
SMc04283,NGR_c19420
SMc04287,NGR_c19430
SMc04289,NGR_c19440
SMc04291,NGR_c19450
cyaF3,NGR_c19460
ftsZ2,ftsZ2
SMc04298,NGR_c19500
SMc04299,NGR_c19510
SMc04300,NGR_c19530
SMc04316,NGR_c19540
SMc04317,NGR_c19550
cspA1,cspA1
SMc04319,NGR_b17580
rpsU1,rpsU
gst10,NGR_c19640
mocA,NGR_c19650
SMc04323,NGR_c19680
SMc04324,noHit
SMc04338,NGR_b22790
SMc04341,noHit
cyaJ,NGR_c19700
SMc04344,NGR_c19750
ilvC,ilvC
SMc04348,NGR_c19770
macA,macA
macB,macB
SMc04352,NGR_c19800
SMc04357,noHit
SMc04359,NGR_c19810
SMc04360,NGR_c19820
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,NGR_c19830
SMc01403,NGR_c19840
SMc01404,asr
SMc01493,NGR_c19870
SMc01405,NGR_c19880
SMc01488,NGR_c19900
SMc01406,NGR_c19920
pdxJ,pdxJ
SMc01408,NGR_c19940
SMc01409,NGR_c19950
SMc01410,NGR_c19970
SMc01489,noHit
SMc01490,NGR_c19990
SMc01411,NGR_c20000
SMc01412,NGR_c20010
SMc01413,NGR_c20020
cyaI1,NGR_c20030
suhR,noHit
SMc01414,NGR_c20050
abrB,NGR_c20060
SMc01416,noHit
SMc01417,noHit
SMc01418,NGR_c20070
rpoE1,NGR_c20080
SMc01420,NGR_c20090
SMc01421,noHit
SMc01422,NGR_c20100
nthB,nthB
nthA,nthA
SMc01425,NGR_c20130
SMc01426,noHit
SMc01427,noHit
cspA2,NGR_b07590
SMc01429,NGR_c20150
ilvH,ilvH
ilvI,ilvI
SMc01432,NGR_c20190
SMc01433,noHit
SMc01434,noHit
miaA,NGR_c20210
serB,serB
SMc01437,NGR_c20230
degP2,degP
SMc01439,NGR_c20250
hflC,NGR_c20270
hflK,NGR_c20280
folA,folA
gst6,gst2
thyA,thyA
SMc01445,NGR_c20560
SMc01446,NGR_c20570
SMc01447,noHit
SMc01448,noHit
SMc01449,noHit
SMc01450,NGR_c20590
SMc01451,NGR_c20600
SMc01452,NGR_c20610
TRm22,NGR_b14590
SMc01454,NGR_c20620
dld,NGR_c20630
SMc01456,NGR_c20650
SMc01457,NGR_c20730
SMc01458,NGR_c20740
SMc01459,NGR_c20750
SMc01460,NGR_c20760
uvrD1,uvrD2
SMc01462,NGR_c20780
SMc01463,NGR_c20790
SMc01464,NGR_c20800
creA,NGR_c20810
TRm21,NGR_b21860
SMc01467,NGR_c20830
cheW2,NGR_c20840
mcpW,NGR_c20850
SMc01470,NGR_c20860
senC,senC
prmA,prmA
SMc04453,noHit
SMc01885,NGR_c20900
SMc01884,NGR_c20910
SMc01883,NGR_c20920
SMc01882,NGR_c20930
panB,panB
panC,panC
SMc01879,NGR_c20960
ligA,ligA
recN,recN
SMc01876,comL
lpxC,lpxC
ftsZ1,ftsZ1
ftsA,ftsA
ftsQ,ftsQ
ddlB,ddlB
aqpZ1,noHit
SMc01869,noHit
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,ftsI
SMc01859,NGR_c21140
mraW,mraW
SMc01857,mraZ
SMc01856,NGR_c21180
SMc01855,NGR_c21190
SMc01854,NGR_c21200
djlA,NGR_c21210
pfp,NGR_c21220
SMc01851,NGR_c21230
SMc01850,NGR_c21240
SMc01849,NGR_c21250
btaA,NGR_c21260
btaB,NGR_c21270
SMc01846,NGR_c21280
mltB2,NGR_c21290
SMc01844,NGR_c21300
metF,metF
SMc01842,NGR_c21320
SMc04454,NGR_c21330
SMc02819,NGR_c21340
SMc02818,NGR_c21350
SMc02817,NGR_c12310
ilvG,ilvG
SMc01573,NGR_c21380
SMc01574,NGR_c21390
SMc01575,NGR_c21400
SMc01576,NGR_c21410
SMc01579,parA
SMc01582,NGR_c21430
SMc01588,NGR_c21440
SMc01594,glnA2
SMc01597,NGR_c21460
SMc01600,NGR_c21470
SMc01602,NGR_c21480
SMc01605,NGR_c21490
SMc01606,NGR_c21500
SMc01607,NGR_c21510
SMc01608,NGR_c21520
ribH2,ribH1
SMc01610,noHit
fhuA1,noHit
TRm5,noHit
rpiB,rpiB
tpiB,tpiA
SMc01615,NGR_b17400
eryC,eryC
SMc01617,NGR_b17420
SMc01618,NGR_b17430
SMc01619,NGR_b17440
eryB,eryB
fucA1,noHit
SMc01622,NGR_b17460
eryA,NGR_b17470
SMc01624,NGR_b17480
SMc01625,NGR_b17490
SMc01626,NGR_b17500
SMc01627,NGR_b17510
SMc01628,NGR_b17520
eryD,NGR_b17530
SMc01630,NGR_b03650
SMc01631,NGR_b03640
SMc01632,NGR_b03630
SMc01633,NGR_b03620
SMc01634,NGR_b03610
SMc01635,NGR_b03600
SMc01636,NGR_c21560
SMc01637,NGR_c21570
SMc01638,NGR_c21580
SMc01639,NGR_c21590
SMc01640,NGR_c21600
caiD,NGR_c21610
prbA,NGR_c21620
prbB,NGR_c21630
prbC,NGR_c21640
prbD,NGR_c21650
SMc01646,noHit
SMc01647,noHit
SMc01648,NGR_c21660
SMc01649,noHit
SMc01650,NGR_c21670
SMc01651,NGR_c21680
SMc01652,NGR_c21690
SMc01653,NGR_c21700
SMc01654,NGR_c21710
SMc01655,NGR_c21720
SMc01656,NGR_c21730
fhuA2,NGR_c21740
SMc01658,fhuF
SMc01659,NGR_c21760
SMc01660,NGR_c21770
mttB2,mttB
SMc01662,NGR_c21810
SMc01663,NGR_c21820
SMc01664,NGR_c21830
SMc01665,NGR_c21840
mdeA,NGR_c21870
SMc01667,NGR_c21880
SMc01668,NGR_c30120
crt,noHit
SMc01670,NGR_c21890
SMc01671,NGR_c21940
SMc01540,NGR_c21960
SMc01541,NGR_c21970
SMc01542,NGR_c21980
SMc01543,cya4
aacC,noHit
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,NGR_c12910
SMc01745,noHit
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,NGR_b15190
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,NGR_c22600
SMc01557,NGR_c22610
SMc01558,NGR_c22620
SMc01559,NGR_c22630
SMc01560,NGR_c22640
SMc01561,NGR_c22650
SMc01562,NGR_c22660
sigA,rpoD
tdh,tdh
bioF,kbl
recQ,recQ
dnaG,dnaG
SMc01568,NGR_c22730
carA,carA
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,aatA3
SMc01580,noHit
SMc01581,noHit
SMc01583,NGR_c22790
SMc01584,noHit
cspA3,NGR_c22810
SMc01586,NGR_c22820
SMc01587,NGR_c22830
SMc01589,noHit
SMc01590,NGR_c22840
SMc01591,noHit
SMc01592,NGR_c22850
SMc01593,NGR_c22860
SMc01595,NGR_c22870
csaA,csaA
proC,proC2
SMc02678,NGR_c22900
SMc03744,NGR_c22910
lgt,lgt
SMc02682,NGR_c22930
SMc02683,NGR_c22940
SMc02684,pepQ
SMc02685,NGR_c22960
prsA,prsA
SMc02687,NGR_b00260
SMc02688,NGR_c23140
SMc02689,NGR_c23150
SMc02690,NGR_c23170
SMc02691,NGR_c23180
rplY,rplY
pth,pth
clpS2,clpS1
engD,NGR_c23270
SMc02696,NGR_c23280
SMc02697,NGR_c23290
