SMc02793,OV14_0877
rplM,rplM
SMc01805,OV14_2284
SMc01806,OV14_2285
SMc01807,OV14_2286
SMc01808,OV14_2287
SMc01809,OV14_2289
SMc01810,OV14_2290
TRm20N,noHit
TRm20C,noHit
SMc01812,OV14_2294
SMc01813,OV14_2297
SMc04448,OV14_2298
clpP1,clpP
clpX,clpX
lon,OV14_2301
hupB,OV14_2302
SMc01907,OV14_2304
SMc01908,OV14_2305
SMc01909,OV14_2307
SMc01910,OV14_2308
SMc01911,OV14_2309
nuoA1,nuoA2
nuoB1,nuoB2
nuoC1,nuoC2
nuoD1,nuoD2
SMc01916,OV14_2317
nuoE1,nuoE2
nuoF1,nuoF2
SMc01919,OV14_2320
nuoG1,nuoG2
nuoH,nuoH2
nuoI,nuoI1
nuoJ,nuoJ
nuoK1,nuoK
nuoL,nuoL
nuoM,nuoM1
nuoN,nuoN2
birA,birA
SMc01929,OV14_2330
SMc01930,OV14_2331
SMc01931,OV14_2332
SMc01932,noHit
SMc01933,noHit
proS,proS
SMc01935,OV14_2335
SMc01376,OV14_2336
dnaE1,dnaE2
SMc01374,OV14_2340
dinB1,dinP
SMc01372,OV14_2343
divK,OV14_2345
pleD,OV14_2346
rpmG,OV14_2347
SMc01368,OV14_2348
SMc01367,OV14_2349
SMc01366,OV14_2350
rnr,OV14_2351
topA,topA
smf,OV14_2353
SMc01362,OV14_2355
SMc01361,OV14_2356
pyrB,OV14_2357
aidB,OV14_2358
SMc01358,OV14_2359
SMc01357,noHit
SMc01356,noHit
SMc01355,noHit
SMc01354,OV14_2362
gatC,gatC
gatA,noHit
SMc01351,OV14_2366
gatB,gatB
SMc01349,OV14_2369
SMc01348,OV14_2371
SMc01347,OV14_2372
aat,OV14_2373
accC,accB
accB,accC2
aroQ,aroQ2
SMc01342,OV14_2377
SMc01341,noHit
SMc01340,aspB
TRm11a,noHit
TRm11b,noHit
SMc01337,OV14_a0633
rne,OV14_2379
amiC,OV14_2381
mrcA1,OV14_2382
prfB,OV14_2384
SMc01332,OV14_2385
ppnK,OV14_2386
SMc04435,noHit
SMc01330,OV14_2389
azoR,OV14_2390
SMc01328,noHit
SMc01327,OV14_2392
tufB,OV14_2395
SMc01325,noHit
SMc01324,OV14_b0505
secE,noHit
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,OV14_2403
rpoB,rpoB
rpoC,rpoC
SMc01315,OV14_2406
rpsL,rpsL
rpsG,rpsG
fusA1,fusA
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,noHit
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,noHit
rplO,rplO
secY,secY
adk,OV14_2433
rpsM,OV14_2434
rpsK,OV14_2435
rpoA,rpoA
rplQ,OV14_2437
SMc01282,OV14_2438
SMc01281,OV14_2439
degP3,OV14_2440
SMc01279,OV14_2441
sugE,OV14_2442
SMc01277,OV14_2443
gph2,OV14_2444
rluC,rluC
crcB,crcB
SMc01273,OV14_2447
SMc01272,OV14_2448
SMc01271,OV14_2449
adhC1,adhC6
SMc01269,OV14_2451
lipB,lipB
SMc01267,OV14_b0485
SMc01266,OV14_b0484
SMc01265,OV14_b0483
SMc01264,OV14_2458
SMc01263,noHit
def2,OV14_2460
SMc01261,OV14_2461
SMc01260,OV14_2462
SMc01259,OV14_2463
SMc01258,OV14_2464
SMc01257,OV14_2465
sda,OV14_2466
SMc00995,OV14_2467
SMc01068,noHit
SMc00996,OV14_2469
SMc00997,OV14_2470
SMc00998,OV14_2471
SMc00999,OV14_2473
SMc01000,OV14_2474
SMc01001,OV14_2475
SMc01002,OV14_2476
SMc01003,OV14_2477
hisI,hisI
folE,folE
SMc01006,OV14_2480
SMc01007,noHit
SMc01008,OV14_2482
SMc01009,OV14_2483
thrS,thrS
SMc01011,OV14_2486
SMc01012,OV14_2487
SMc01013,OV14_2488
SMc01014,OV14_2489
SMc01015,OV14_2490
SMc01016,OV14_2491
SMc01017,OV14_2492
parE,OV14_2493
SMc01019,OV14_2494
SMc01020,OV14_2496
SMc01021,OV14_2500
SMc01022,OV14_2501
tpiA,OV14_2506
SMc01024,noHit
pyrG,pyrG
SMc01026,OV14_2514
kdsA,OV14_2515
eno,OV14_2516
SMc01029,OV14_2517
pdhAa,pdhA2
pdhAb,pdhB3
pdhC,OV14_2520
SMc01033,OV14_2521
SMc01034,OV14_2522
lpdA1,OV14_2523
SMc01036,OV14_2524
lipA,lipA1
SMc04865,noHit
SMc01038,OV14_2528
SMc01039,cinA
ispDF,OV14_2530
dusB,nifR
ntrB,ntrB
ntrC,ntrC
ntrY,OV14_2534
ntrX,ntrX
trkA,noHit
SMc01047,OV14_2537
hfq,OV14_2538
hflX,OV14_2539
TRm20,noHit
SMc01051,OV14_2540
SMc01052,OV14_2541
cysG,cysG
SMc01054,OV14_2543
cysI,OV14_2544
SMc02123,OV14_2545
fpr,OV14_2546
relE,noHit
aapP,aapP
aapM,aapM
aapQ,aapQ
aapJ,OV14_2558
metC,metC
SMc02116,OV14_2560
SMc02115,OV14_2561
SMc02114,OV14_2562
cysE,cysE
SMc02112,noHit
SMc02111,OV14_2566
clpS1,clpS2
clpA,clpA
SMc02108,OV14_2569
SMc02107,OV14_2570
SMc02106,OV14_2571
SMc02105,OV14_2572
SMc02104,OV14_2573
SMc02103,OV14_2574
SMc02102,OV14_2575
rpsB,OV14_2576
tsf,OV14_2577
pyrH,pyrH
rrf,OV14_2579
uppS,lpxD
cdsA,OV14_2581
SMc02095,OV14_2582
omp,OV14_2583
lpxD,OV14_2584
fabZ,fabZ
lpxA,lpxA
SMc02090,OV14_2587
lpxB,lpxB
SMc02088,OV14_1456
gltA,gltA
SMc02086,OV14_2590
exbB,exbB
exbD,exbD
SMc02083,OV14_2597
tolC,noHit
SMc02081,OV14_2599
valS,valS
fadL,OV14_2601
exoR,exoR
xthA2,xthA2
cls,OV14_2604
SMc02075,hesB
SMc02074,dgt
argS,argS
SMc02072,OV14_2609
SMc02071,OV14_2610
SMc02070,OV14_2611
SMc02069,OV14_2612
SMc02068,OV14_2613
tatE,tatA/E
tatB,tatB
tatC,tatC
serS,serS
surE,surE
pcm,pcm
bioS,bioS
lppB,OV14_2621
SMc02059,OV14_2622
SMc02058,yajC
secD1,secD2
SMc02056,OV14_2626
crtB,OV14_2627
SMc02054,OV14_2628
gid,OV14_2629
SMc02052,noHit
SMc02051,OV14_2631
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,OV14_2901
SMc01241,noHit
TRm5,OV14_a0735
SMc01239,noHit
gst5,noHit
nrdJ,nrd
SMc01236,OV14_2891
uvrA,uvrA
ssb,OV14_2887
SMc01232,OV14_2886
gyrA,gyrA
SMc01230,OV14_2882
SMc01229,OV14_2881
str,noHit
nerA,OV14_2878
SMc01226,noHit
lsrB,OV14_2876
trxB,trxB3
lrp3,OV14_2872
lpsC,lpsC
lpsD,lpsD
lpsE,lpsE
lpsB,lpsB
greA,greA
SMc01217,OV14_2865
SMc01216,OV14_2864
carB,carB
SMc01214,tdh
SMc01213,OV14_2859
SMc01212,OV14_2855
norM,OV14_2854
SMc01210,noHit
coaD,coaD
ppiA,ppiA
ppiB,ppiB
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,OV14_a0585
SMc01203,OV14_a0587
SMc01202,OV14_a0588
SMc01200,OV14_a0590
SMc01698,OV14_a0591
SMc02814,OV14_b1392
SMc01199,OV14_b1391
SMc01198,cya3
SMc01197,noHit
SMc01196,noHit
SMc01195,noHit
SMc01194,OV14_2842
SMc01193,OV14_2841
metS,metS
SMc01191,noHit
SMc01190,OV14_2838
tmk,tmk
dac,OV14_2836
rlpA,OV14_2835
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,OV14_2823
SMc01179,OV14_2818
SMc01178,OV14_2817
SMc01177,noHit
SMc01176,noHit
SMc01175,OV14_2816
cysK2,cysK2
alaS2,alaS2
sseA,sseA
SMc01171,OV14_2812
SMc01170,OV14_2811
ald,OV14_2810
lrp2,OV14_2809
cpdB,OV14_2807
SMc00935,OV14_2806
ilvA,ilvA2
trkH,noHit
SMc00938,OV14_2803
SMc00939,OV14_a1414
SMc00940,noHit
SMc00941,OV14_2795
SMc00942,noHit
wrbA1,OV14_2793
SMc00944,OV14_2792
gpt,gpt
SMc00946,OV14_2790
glnB,OV14_2788
glnA,glnA3
SMc00949,OV14_2786
SMc00950,OV14_2785
SMc00951,OV14_2784
SMc00952,dsb
SMc00953,noHit
atsA,noHit
SMc00955,noHit
SMc00959,noHit
xthA1,OV14_c0027
SMc00958,noHit
mfd,OV14_2782
SMc00227,noHit
recG,recG
SMc00229,OV14_2779
SMc00230,OV14_2778
glmS,glmS2
glmU,OV14_2776
SMc00233,OV14_2774
ppiD,ppiD
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,OV14_2766
SMc00241,OV14_2765
SMc00242,OV14_2763
SMc00244,OV14_2762
SMc00243,OV14_2761
SMc00245,OV14_2760
qor,qor
pcs,pcs
SMc00316,OV14_2757
SMc00317,OV14_2756
ccsA,OV14_2755
SMc00249,noHit
SMc00250,noHit
SMc00251,OV14_3286
SMc00252,noHit
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,OV14_2831
SMc00256,OV14_2753
ropB2,OV14_2656
SMc00258,noHit
SMc00259,noHit
SMc00260,noHit
SMc00261,noHit
SMc00262,noHit
SMc00263,OV14_b0584
SMc00264,noHit
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,fabG2
SMc00269,OV14_a1402
SMc00270,OV14_b1224
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,noHit
SMc00276,noHit
SMc00277,sufS
SMc00278,OV14_a1439
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,OV14_a0735
SMc04866,noHit
SMc00286,noHit
SMc00287,OV14_2750
SMc00288,OV14_2655
cspA5,cspA3
gloA,gloA
SMc00291,noHit
recJ,recJ
thrA,thrA
aatC,aatC
SMc00295,noHit
phbC,phbC2
sfsA,OV14_2641
map1,map1
radC,radC
sthA,OV14_2637
sufA,OV14_2908
SMc00302,OV14_2909
csd,sufS
sufD,OV14_2911
SMc00531,OV14_2912
SMc00530,sufB
nifS,OV14_2914
SMc00528,OV14_2915
anmK,OV14_2917
tyrS,tyrS
SMc00525,OV14_2919
bcp,OV14_2920
SMc00523,OV14_2921
SMc00540,noHit
SMc00539,OV14_2922
rhlE1,OV14_2924
SMc00521,OV14_2925
SMc00520,OV14_2926
SMc00519,OV14_2927
SMc00518,OV14_2928
SMc00517,OV14_2929
SMc00516,OV14_2930
SMc00515,OV14_2931
SMc00514,OV14_2932
SMc00513,OV14_2935
SMc00512,OV14_2936
rpe,rpe
SMc00510,OV14_2938
SMc00509,OV14_2939
purB,OV14_2940
SMc00507,OV14_2941
SMc00506,OV14_2942
SMc00505,OV14_2943
SMc00504,noHit
SMc00503,noHit
fldZ,OV14_a1412
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,noHit
SMc00496,OV14_2945
purC,purC
SMc00494,purS
purQ,purQ
SMc00492,OV14_2950
SMc00491,noHit
SMc00490,OV14_2951
SMc00489,noHit
purL,purL
SMc00487,noHit
SMc00538,OV14_2955
SMc00537,OV14_2957
SMc00536,OV14_2958
SMc00535,OV14_2959
SMc00534,OV14_2960
glsA,glsA
rpsD,rpsD
SMc00484,OV14_2966
murI,murI
SMc00482,OV14_2969
SMc00481,noHit
icd,icd
SMc00479,noHit
SMc00549,noHit
SMc00478,OV14_3394
SMc00477,noHit
sulP,OV14_b0762
alaS,alaS1
recA,recA2
SMc00473,OV14_2975
SMc00472,OV14_2976
SMc00471,OV14_2977
SMc00470,OV14_2979
dksA,dank
SMc00468,OV14_2982
SMc00467,OV14_2983
SMc00466,OV14_2984
SMc00548,OV14_2987
folK,folK
folB,folB
folP,folP
SMc00194,OV14_2991
SMc00193,noHit
fdx,OV14_2992
SMc00191,OV14_2993
SMc00190,OV14_2995
fbcC,fbcC
fbcB,fbcB
fbcF,fbcF3
SMc00186,OV14_3000
SMc00185,OV14_3001
SMc00184,OV14_3004
SMc00183,OV14_3005
SMc00182,soxR
SMc00196,noHit
SMc00181,noHit
hemF,fbcF2
SMc00179,OV14_3010
SMc00178,noHit
SMc00177,OV14_3011
SMc00176,OV14_3012
SMc00175,OV14_3013
SMc00174,OV14_3014
SMc00459,OV14_3015
hcaT,OV14_3016
SMc00171,OV14_3017
dme,dme
sinR,OV14_3019
sinI,OV14_3020
SMc00167,OV14_3021
bluB,noHit
SMc00165,fabG2
SMc00164,noHit
SMc00163,OV14_3025
tolB2,tolB2
nadE2,nadE2
cgmB,noHit
cgmA,OV14_3034
SMc00159,noHit
SMc00158,noHit
SMc00157,OV14_3038
SMc00156,OV14_3039
dhs,OV14_3040
gor,OV14_3042
SMc00153,OV14_3043
rpiA,rpiA
gph1,OV14_3045
SMc00150,OV14_3046
fumC,fumC
SMc00148,OV14_3053
SMc00147,OV14_3054
SMc00146,OV14_3055
SMc00145,OV14_3057
moaA,moaA
SMc00197,OV14_3061
mobA,mobA
mobB,mobB
SMc00141,OV14_a1507
SMc00198,noHit
SMc00140,OV14_3067
SMc00139,OV14_3068
SMc00138,OV14_3069
usg,OV14_3070
SMc00136,OV14_b0270
SMc00135,OV14_3071
SMc00134,OV14_3072
SMc00133,OV14_3073
SMc00132,OV14_3074
SMc00131,OV14_3075
SMc04210,OV14_3076
SMc04211,OV14_3077
SMc04212,OV14_3078
dgkA,dgkA
cobU,cobU
cobS,OV14_3084
SMc04216,noHit
SMc04217,OV14_3086
SMc04218,OV14_3088
SMc04219,OV14_3089
SMc04220,OV14_3092
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,OV14_3095
SMc04226,noHit
mcpV,OV14_3097
SMc04228,OV14_3098
SMc04229,OV14_3099
SMc04230,noHit
uvrB,uvrB
SMc04232,noHit
SMc04233,dnaJ2
cspA4,cspA2
SMc04235,OV14_3121
SMc04236,noHit
SMc04237,noHit
SMc04238,OV14_3126
SMc04239,OV14_3127
SMc04240,OV14_3128
SMc04241,OV14_3129
zur,OV14_3130
znuB,OV14_3131
znuC,OV14_3132
znuA,znuA
SMc04246,OV14_3136
SMc04247,xynA
SMc04248,dctQ
SMc04249,dctM
TRm20,noHit
smoM,dctP
SMc04252,OV14_3142
SMc04253,OV14_3143
SMc04254,OV14_3144
manB,OV14_3146
SMc04256,OV14_3147
SMc04257,OV14_3148
SMc04258,OV14_3149
SMc04259,OV14_3151
SMc04260,OV14_3152
SMc04261,noHit
gnd,OV14_3154
SMc04263,noHit
SMc04264,noHit
SMc04265,OV14_3161
SMc04266,OV14_3162
lpxXL,OV14_3170
adhA2,OV14_3171
SMc04273,fabF2
fabF2,OV14_3173
SMc04277,OV14_3174
acpXL,OV14_3175
cobD,cobD
cobC,cobC
cobB,cobB
cobA,cobA
cobE,cobE
SMc04286,noHit
SMc04288,noHit
SMc04290,noHit
SMc04293,noHit
SMc04294,dppB
SMc04295,noHit
SMc04297,noHit
SMc04301,noHit
cobO,cobO
cobN,cobN
cobW,cobW
cobP,cobP
SMc04306,OV14_3113
cyaD2,cyaD
SMc04308,OV14_a0075
cobQ,OV14_3196
SMc04310,noHit
SMc04311,OV14_3198
SMc04439,OV14_3201
SMc04312,noHit
SMc04313,noHit
SMc04314,OV14_a0911
SMc04315,OV14_a0910
bmt,OV14_3205
SMc04326,OV14_3206
SMc04327,noHit
SMc04328,OV14_3211
SMc04329,OV14_3216
mttB,OV14_3217
mtbC,OV14_3219
ecnB,OV14_3220
SMc04333,OV14_3221
SMc04334,OV14_3225
SMc04335,noHit
SMc04336,OV14_3297
SMc04337,OV14_3226
SMc04339,noHit
SMc04340,OV14_3228
SMc04342,OV14_3229
SMc04345,OV14_3230
SMc04347,OV14_3231
SMc04451,noHit
SMc04161,OV14_3233
SMc04162,OV14_3234
SMc04163,OV14_3236
SMc04164,noHit
SMc04165,noHit
SMc04166,OV14_3240
SMc04167,OV14_2205
SMc04168,noHit
SMc04169,noHit
SMc04170,OV14_3244
SMc04171,OV14_a0020
cyaH,OV14_3246
SMc04173,OV14_b0419
SMc04174,OV14_3257
SMc04175,OV14_0409
SMc04176,OV14_3258
SMc04177,OV14_1133
SMc04178,OV14_3259
SMc04179,OV14_3269
SMc04180,noHit
SMc04181,OV14_3272
SMc04182,noHit
SMc04183,noHit
SMc04185,OV14_2264
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,OV14_a0081
SMc04189,noHit
SMc04190,OV14_3313
SMc04191,noHit
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,OV14_3300
SMc04197,OV14_3301
SMc04198,noHit
SMc04199,noHit
SMc04200,noHit
SMc04201,OV14_a0680
SMc04202,OV14_0505
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,OV14_2265
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,OV14_3331
SMc04272,OV14_3339
SMc04274,OV14_3340
SMc04276,OV14_3106
SMc04280,OV14_b0918
SMc04283,OV14_a0713
SMc04287,OV14_a0714
SMc04289,OV14_a0715
SMc04291,OV14_b0705
cyaF3,noHit
ftsZ2,ftsZ2
SMc04298,noHit
SMc04299,noHit
SMc04300,OV14_3357
SMc04316,OV14_3358
SMc04317,OV14_3359
cspA1,cspA1
SMc04319,OV14_0522
rpsU1,rpsU
gst10,OV14_3375
mocA,OV14_3378
SMc04323,OV14_3395
SMc04324,noHit
SMc04338,OV14_3404
SMc04341,OV14_3405
cyaJ,OV14_1123
SMc04344,OV14_b0686
ilvC,ilvC
SMc04348,OV14_3433
macA,macA
macB,macB
SMc04352,noHit
SMc04357,noHit
SMc04359,OV14_2824
SMc04360,OV14_0592
SMc04361,noHit
SMc04362,noHit
SMc04363,OV14_0511
ndh,OV14_3460
SMc01403,OV14_3470
SMc01404,asr
SMc01493,OV14_3474
SMc01405,OV14_3475
SMc01488,noHit
SMc01406,OV14_a0681
pdxJ,pdxJ
SMc01408,OV14_a1381
SMc01409,OV14_3480
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,OV14_b0475
SMc01412,OV14_b0476
SMc01413,OV14_b0477
cyaI1,OV14_b0478
suhR,noHit
SMc01414,OV14_3485
abrB,OV14_3486
SMc01416,noHit
SMc01417,noHit
SMc01418,OV14_3487
rpoE1,OV14_3488
SMc01420,OV14_3489
SMc01421,noHit
SMc01422,OV14_3490
nthB,nthB
nthA,nthA
SMc01425,OV14_3496
SMc01426,noHit
SMc01427,noHit
cspA2,OV14_1513
SMc01429,OV14_3497
ilvH,ilvH
ilvI,ilvI
SMc01432,OV14_3508
SMc01433,noHit
SMc01434,noHit
miaA,OV14_3513
serB,serB
SMc01437,OV14_3515
degP2,degP
SMc01439,OV14_3521
hflC,OV14_3523
hflK,OV14_3524
folA,folA
gst6,gst2
thyA,thyA
SMc01445,noHit
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,noHit
SMc01450,OV14_3529
SMc01451,OV14_3530
SMc01452,OV14_3531
TRm22,noHit
SMc01454,OV14_3535
dld,OV14_3536
SMc01456,OV14_3537
SMc01457,OV14_3538
SMc01458,OV14_3539
SMc01459,OV14_3540
SMc01460,OV14_3541
uvrD1,uvrD2
SMc01462,OV14_3544
SMc01463,OV14_3546
SMc01464,OV14_3547
creA,OV14_3548
TRm21,noHit
SMc01467,OV14_2666
cheW2,OV14_3550
mcpW,OV14_3551
SMc01470,noHit
senC,senC
prmA,prmA
SMc04453,noHit
SMc01885,OV14_3558
SMc01884,OV14_3559
SMc01883,OV14_3561
SMc01882,OV14_3562
panB,panB
panC,panC
SMc01879,OV14_3567
ligA,ligA
recN,recN
SMc01876,comL
lpxC,lpxC
ftsZ1,ftsZ1
ftsA,ftsA
ftsQ,ftsQ
ddlB,noHit
aqpZ1,noHit
SMc01869,OV14_3579
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,ftsI
SMc01859,OV14_3589
mraW,mraW
SMc01857,mraZ
SMc01856,OV14_3593
SMc01855,OV14_3594
SMc01854,OV14_3595
djlA,OV14_3596
pfp,OV14_3597
SMc01851,OV14_3598
SMc01850,OV14_3599
SMc01849,OV14_3601
btaA,OV14_3603
btaB,OV14_3604
SMc01846,OV14_3605
mltB2,OV14_3606
SMc01844,OV14_3607
metF,metF
SMc01842,OV14_3609
SMc04454,OV14_3610
SMc02819,OV14_3612
SMc02818,OV14_3613
SMc02817,OV14_3614
ilvG,ilvG
SMc01573,OV14_3617
SMc01574,OV14_3618
SMc01575,OV14_3619
SMc01576,OV14_3620
SMc01579,parA
SMc01582,OV14_3625
SMc01588,OV14_3626
SMc01594,glnA2
SMc01597,OV14_3628
SMc01600,OV14_3629
SMc01602,OV14_3630
SMc01605,OV14_3631
SMc01606,OV14_3632
SMc01607,OV14_3633
SMc01608,OV14_3634
ribH2,ribH1
SMc01610,OV14_a0177
fhuA1,OV14_a0178
TRm5,OV14_a0735
rpiB,rpiB
tpiB,tpiA
SMc01615,OV14_3640
eryC,eryC
SMc01617,OV14_3642
SMc01618,OV14_3643
SMc01619,OV14_3644
eryB,eryB
fucA1,noHit
SMc01622,OV14_3646
eryA,OV14_3647
SMc01624,OV14_3648
SMc01625,OV14_3649
SMc01626,OV14_3650
SMc01627,OV14_3651
SMc01628,OV14_3652
eryD,OV14_3653
SMc01630,OV14_3654
SMc01631,OV14_3655
SMc01632,OV14_3656
SMc01633,OV14_3657
SMc01634,OV14_3658
SMc01635,OV14_3659
SMc01636,OV14_3669
SMc01637,OV14_3670
SMc01638,OV14_3671
SMc01639,OV14_3673
SMc01640,OV14_3674
caiD,OV14_3675
prbA,OV14_3677
prbB,OV14_3678
prbC,OV14_3679
prbD,OV14_3680
SMc01646,OV14_3682
SMc01647,OV14_3683
SMc01648,OV14_3684
SMc01649,noHit
SMc01650,OV14_3693
SMc01651,OV14_3694
SMc01652,OV14_3695
SMc01653,OV14_3696
SMc01654,OV14_3697
SMc01655,OV14_3698
SMc01656,OV14_3699
fhuA2,OV14_0715
SMc01658,fhuF
SMc01659,OV14_3702
SMc01660,OV14_3704
mttB2,noHit
SMc01662,OV14_3708
SMc01663,OV14_3709
SMc01664,OV14_3710
SMc01665,OV14_3716
mdeA,OV14_3720
SMc01667,OV14_3721
SMc01668,OV14_3724
crt,OV14_3725
SMc01670,OV14_3729
SMc01671,OV14_3735
SMc01540,noHit
SMc01541,OV14_a0330
SMc01542,noHit
SMc01543,cya4
aacC,noHit
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,OV14_2527
SMc01745,noHit
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,OV14_a0095
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,OV14_3743
SMc01557,OV14_3744
SMc01558,OV14_3745
SMc01559,OV14_3746
SMc01560,OV14_3747
SMc01561,OV14_3749
SMc01562,OV14_3752
sigA,rpoD
tdh,tdh
bioF,kbl
recQ,recQ
dnaG,dnaG
SMc01568,OV14_3765
carA,carA
SMc01570,OV14_3769
SMc01571,OV14_3770
SMc01572,noHit
SMc01577,noHit
aatA,aatA3
SMc01580,noHit
SMc01581,noHit
SMc01583,OV14_3776
SMc01584,noHit
cspA3,OV14_3781
SMc01586,OV14_3782
SMc01587,OV14_3783
SMc01589,noHit
SMc01590,OV14_3785
SMc01591,noHit
SMc01592,OV14_3788
SMc01593,OV14_3789
SMc01595,OV14_3791
csaA,csaA
proC,proC2
SMc02678,OV14_3796
SMc03744,OV14_3797
lgt,lgt
SMc02682,OV14_3800
SMc02683,OV14_3801
SMc02684,pepQ
SMc02685,OV14_3803
prsA,prsA
SMc02687,OV14_b1283
SMc02688,OV14_3806
SMc02689,OV14_3807
SMc02690,OV14_3808
SMc02691,OV14_3810
rplY,rplY
pth,pth
clpS2,clpS1
engD,OV14_3817
SMc02696,OV14_3819
SMc02697,OV14_3820
apt,apt
SMc02699,OV14_3823
SMc02700,OV14_3826
SMc02701,OV14_3827
SMc02702,OV14_3828
SMc02703,OV14_3829
SMc02704,OV14_3830
SMc02705,OV14_3831
SMc02706,OV14_3832
SMc02707,OV14_3836
SMc02708,OV14_3837
SMc02709,noHit
fic,noHit
SMc02711,OV14_3838
SMc02712,OV14_3840
rpoE3,rpoE
SMc02714,OV14_3845
SMc02715,noHit
SMc02716,OV14_a0882
leuA1,leuA
SMc02718,noHit
TRm22,noHit
clpP2,clpP3
SMc02721,noHit
SMc02722,noHit
SMc02723,OV14_3853
SMc02724,OV14_3854
trpE,trpE
bhuR,noHit
SMc02727,OV14_3860
fhs,fhs
SMc02729,OV14_3864
SMc02730,OV14_3865
TRm22,noHit
SMc02732,noHit
SMc02733,OV14_3866
SMc02734,OV14_3867
SMc02735,OV14_3868
tdk,tdk
choX,OV14_3872
choW,OV14_3873
choV,OV14_3874
SMc04457,OV14_3875
SMc01535,noHit
SMc01534,OV14_3881
adeC1,adeC
SMc01532,aglA2
kdgK,kdgK
TRm5,OV14_a0735
dppF2,OV14_3962
dppD2,OV14_3963
dppC2,OV14_3964
dppB2,OV14_3965
dppA2,OV14_3966
SMc01524,OV14_3967
emrE,OV14_3972
SMc01522,OV14_3973
ntrP,noHit
ntrR1,noHit
SMc01520,noHit
SMc01519,OV14_3976
SMc01748,noHit
SMc01518,OV14_3977
SMc01517,OV14_3978
SMc01516,OV14_3979
SMc01515,OV14_3980
SMc01514,OV14_3981
SMc01747,noHit
hmuS,OV14_3983
hmuT,OV14_3984
hmuU,OV14_3985
hmuV,OV14_3986
SMc01509,OV14_3987
SMc01508,noHit
SMc01507,OV14_3989
rpoE2,OV14_3990
SMc01505,OV14_3991
SMc01504,OV14_3992
SMc01503,araB
SMc01502,OV14_3994
mtlK,OV14_3995
smoS,smoS
smoK,OV14_3997
smoG,OV14_3998
smoF,OV14_3999
smoE,OV14_4000
smoC,OV14_4001
SMc01814,gltB2
SMc01815,OV14_4004
SMc01816,OV14_4005
SMc01817,OV14_4006
cyaC,cyaC
SMc01819,OV14_4010
SMc01820,amaB
dht,noHit
SMc01822,OV14_4013
SMc01823,OV14_4014
SMc01824,OV14_4015
SMc01825,OV14_4017
SMc01826,OV14_4018
SMc01827,OV14_4019
SMc01828,OV14_4020
SMc01829,OV14_4021
ureG,ureG
ureF,ureF
ureE,ureE
SMc01833,OV14_4026
SMc01834,OV14_4027
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,OV14_4030
SMc02046,OV14_4031
ureB,ureB
SMc01940,OV14_4033
ureA,ureA
ureD,ureD
SMc01943,gyaR
cpo,OV14_3277
ohrR,OV14_3464
livK,OV14_4037
SMc01947,OV14_4038
livF,OV14_4039
livG,OV14_4040
livM,OV14_4041
livH,OV14_4042
cysQ,OV14_4048
SMc01953,OV14_4049
SMc01954,OV14_4052
SMc01955,OV14_4053
SMc01956,OV14_4054
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,OV14_4055
SMc01961,OV14_4056
