SMc02793,blr0637
ntrY,ntrY
ntrX,ntrX
trkA,noHit
SMc01047,noHit
hfq,bsr4491
hflX,hflx
TRm20,noHit
SMc01051,bll4494
SMc01052,noHit
cysG,blr1477
SMc01054,blr1478
cysI,blr1479
SMc02123,blr1480
fpr,mvrA
relE,noHit
aapP,blr4449
aapM,blr2913
aapQ,blr4447
aapJ,blr4446
metC,metC
SMc02116,nah
SMc02115,bsr5590
SMc02114,bll5588
cysE,cysE
SMc02112,bsl5585
SMc02111,bll5155
clpS1,yljA
clpA,bll5153
SMc02108,bll5138
SMc02107,bll5137
SMc02106,blr5135
SMc02105,blr5134
SMc02104,blr5133
SMc02103,blr5132
SMc02102,bll5131
rpsB,bll4861
tsf,tsf
pyrH,pyrH
rrf,rrf
uppS,uppS
cdsA,noHit
SMc02095,bll4854
omp,blr3712
lpxD,lpxD
fabZ,fabZ
lpxA,lpxA
SMc02090,bll4848
lpxB,lpxB
SMc02088,bsl5627
gltA,gltA
SMc02086,bll4830
exbB,exbB
exbD,exbD
SMc02083,pcm
tolC,tolC
SMc02081,noHit
valS,valS
fadL,noHit
exoR,bll4762
xthA2,blr4761
cls,noHit
SMc02075,blr4759
SMc02074,dgt
argS,bll4757
SMc02072,noHit
SMc02071,bll4754
SMc02070,bll4753
SMc02069,bll4752
SMc02068,noHit
tatE,bsl4751
tatB,noHit
tatC,tatC
serS,serS
surE,surE
pcm,noHit
bioS,noHit
lppB,noHit
SMc02059,blr4737
SMc02058,bll4736
secD1,noHit
SMc02056,bll4733
crtB,bll4732
SMc02054,noHit
gid,blr4727
SMc02052,noHit
SMc02051,noHit
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,noHit
SMc01241,noHit
TRm5,bll2163
SMc01239,noHit
gst5,noHit
nrdJ,nrdE
SMc01236,blr5641
uvrA,noHit
ssb,ssb
SMc01232,bll6171
gyrA,gyrA
SMc01230,bll5139
SMc01229,blr1116
str,noHit
nerA,bll2445
SMc01226,blr1414
lsrB,blr7380
trxB,trxB
lrp3,bll7379
lpsC,noHit
lpsD,noHit
lpsE,noHit
lpsB,lpcC
greA,greA
SMc01217,noHit
SMc01216,noHit
carB,carB
SMc01214,noHit
SMc01213,blr2510
SMc01212,tetA
norM,bll0821
SMc01210,noHit
coaD,coaD
ppiA,bll4692
ppiB,ppiB
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,bll0554
SMc01203,noHit
SMc01202,bll3144
SMc01200,noHit
SMc01698,bll4596
SMc02814,noHit
SMc01199,noHit
SMc01198,noHit
SMc01197,noHit
SMc01196,noHit
SMc01195,noHit
SMc01194,bll4514
SMc01193,bll4515
metS,metG
SMc01191,noHit
SMc01190,bll4517
tmk,tmk
dac,dac
rlpA,bll4521
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,noHit
SMc01179,noHit
SMc01178,noHit
SMc01177,noHit
SMc01176,noHit
SMc01175,noHit
cysK2,cysK
alaS2,noHit
sseA,bll6690
SMc01171,blr1411
SMc01170,noHit
ald,blr3179
lrp2,bll3178
cpdB,noHit
SMc00935,noHit
ilvA,noHit
trkH,noHit
SMc00938,noHit
SMc00939,blr5491
SMc00940,noHit
SMc00941,noHit
SMc00942,noHit
wrbA1,noHit
SMc00944,cinA
gpt,gpt
SMc00946,bll4947
glnB,glnB
glnA,glnA
SMc00949,blr4588
SMc00950,bll4589
SMc00951,blr4590
SMc00952,bll5780
SMc00953,noHit
atsA,bll2662
SMc00955,noHit
SMc00959,noHit
xthA1,noHit
SMc00958,noHit
mfd,mfd
SMc00227,bsl4602
recG,recG
SMc00229,bll4606
SMc00230,noHit
glmS,glmS
glmU,glmU
SMc00233,bll4444
ppiD,blr4808
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,blr0097
SMc00241,noHit
SMc00242,blr6158
SMc00244,blr6157
SMc00243,blr6156
SMc00245,blr6155
qor,qor
pcs,pcs
SMc00316,blr4586
SMc00317,bll4587
ccsA,ccdA
SMc00249,noHit
SMc00250,noHit
SMc00251,noHit
SMc00252,noHit
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,noHit
SMc00256,noHit
ropB2,blr4700
SMc00258,noHit
SMc00259,bll4710
SMc00260,blr7165
SMc00261,bll4711
SMc00262,blr3924
SMc00263,bll1236
SMc00264,blr1304
SMc00265,blr4511
SMc00266,blr4512
SMc00267,noHit
SMc00268,blr2167
SMc00269,blr2169
SMc00270,blr2168
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,bll2166
SMc00276,noHit
SMc00277,noHit
SMc00278,noHit
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,bll1318
SMc00283,noHit
SMc00284,noHit
TRm5,bll2163
SMc04866,noHit
SMc00286,noHit
SMc00287,blr4414
SMc00288,blr4411
cspA5,blr4410
gloA,gloA
SMc00291,noHit
recJ,recJ
thrA,hom
aatC,blr4361
SMc00295,noHit
phbC,bll4360
sfsA,noHit
map1,map
radC,radC
sthA,noHit
sufA,blr1755
SMc00302,blr4343
csd,nifS
sufD,blr4341
SMc00531,blr4340
SMc00530,blr4339
nifS,nifS
SMc00528,bll4335
anmK,blr4331
tyrS,tyrS
SMc00525,noHit
bcp,bll4324
SMc00523,noHit
SMc00540,noHit
SMc00539,bll4323
rhlE1,rhlE
SMc00521,nudD
SMc00520,blr4345
SMc00519,bll5659
SMc00518,bll5660
SMc00517,bll5661
SMc00516,bll5662
SMc00515,bll5663
SMc00514,hpaC
SMc00513,noHit
SMc00512,blr5678
rpe,rpe
SMc00510,noHit
SMc00509,noHit
purB,purB
SMc00507,noHit
SMc00506,blr3787
SMc00505,noHit
SMc00504,noHit
SMc00503,blr3841
fldZ,blr3842
SMc00501,blr3844
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,bll7096
SMc00496,blr5730
purC,purC
SMc00494,bsl5728
purQ,purQ
SMc00492,noHit
SMc00491,noHit
SMc00490,noHit
SMc00489,noHit
purL,purL
SMc00487,bsl5715
SMc00538,grlA
SMc00537,blr5594
SMc00536,noHit
SMc00535,noHit
SMc00534,noHit
glsA,noHit
rpsD,rpsD
SMc00484,blr6895
murI,murI
SMc00482,bll5746
SMc00481,noHit
icd,icdA
SMc00479,bll2727
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,noHit
alaS,alaS
recA,recA
SMc00473,noHit
SMc00472,noHit
SMc00471,bll5808
SMc00470,noHit
dksA,dksA
SMc00468,noHit
SMc00467,blr7253
SMc00466,blr7254
SMc00548,noHit
folK,folK
folB,bll3058
folP,bll3059
SMc00194,noHit
SMc00193,noHit
fdx,fdx
SMc00191,noHit
SMc00190,noHit
fbcC,noHit
fbcB,noHit
fbcF,blr2485
SMc00186,noHit
SMc00185,blr2753
SMc00184,bll2484
SMc00183,noHit
SMc00182,noHit
SMc00196,bll5460
SMc00181,bll5764
hemF,hemF
SMc00179,noHit
SMc00178,noHit
SMc00177,noHit
SMc00176,noHit
SMc00175,bll5893
SMc00174,bll6065
SMc00459,blr5895
hcaT,bll5896
SMc00171,bll5904
dme,dme
sinR,blr1880
sinI,noHit
SMc00167,noHit
bluB,bll3254
SMc00165,noHit
SMc00164,noHit
SMc00163,noHit
tolB2,noHit
nadE2,noHit
cgmB,noHit
cgmA,noHit
SMc00159,noHit
SMc00158,noHit
SMc00157,noHit
SMc00156,bll3911
dhs,blr3778
gor,gor
SMc00153,noHit
rpiA,rpiA
gph1,gph
SMc00150,blr7131
fumC,fumC
SMc00148,blr1229
SMc00147,noHit
SMc00146,noHit
SMc00145,bll3194
moaA,moaA
SMc00197,noHit
mobA,mobA
mobB,mobB
SMc00141,noHit
SMc00198,noHit
SMc00140,noHit
SMc00139,noHit
SMc00138,noHit
usg,bsl5624
SMc00136,bll5294
SMc00135,blr7843
SMc00134,noHit
SMc00133,bll3740
SMc00132,noHit
SMc00131,blr8125
SMc04210,noHit
SMc04211,blr0372
SMc04212,bll3738
dgkA,noHit
cobU,cobU
cobS,cobV
SMc04216,bsl3737
SMc04217,noHit
SMc04218,blr6578
SMc04219,blr6579
SMc04220,bll5773
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,noHit
SMc04226,noHit
mcpV,bll7295
SMc04228,blr2430
SMc04229,noHit
SMc04230,noHit
uvrB,uvrB
SMc04232,noHit
SMc04233,noHit
cspA4,noHit
SMc04235,blr3734
SMc04236,noHit
SMc04237,noHit
SMc04238,noHit
SMc04239,noHit
SMc04240,blr5933
SMc04241,bll5581
zur,blr0934
znuB,noHit
znuC,noHit
znuA,noHit
SMc04246,noHit
SMc04247,noHit
SMc04248,bll3751
SMc04249,bll3750
TRm20,noHit
smoM,blr3743
SMc04252,noHit
SMc04253,noHit
SMc04254,noHit
manB,noHit
SMc04256,noHit
SMc04257,noHit
SMc04258,noHit
SMc04259,noHit
SMc04260,noHit
SMc04261,noHit
gnd,blr6759
SMc04263,noHit
SMc04264,noHit
SMc04265,noHit
SMc04266,noHit
lpxXL,msbB
adhA2,noHit
SMc04273,bll3808
fabF2,fabF
SMc04277,bll3810
acpXL,acpP
cobD,cobD
cobC,cobC
cobB,cobB
cobA,noHit
cobE,noHit
SMc04286,noHit
SMc04288,noHit
SMc04290,bll3346
SMc04293,noHit
SMc04294,noHit
SMc04295,bll6712
SMc04297,noHit
SMc04301,noHit
cobO,cobO
cobN,noHit
cobW,cobW
cobP,cobP
SMc04306,noHit
cyaD2,bll7923
SMc04308,blr7144
cobQ,cbiP
SMc04310,noHit
SMc04311,noHit
SMc04439,noHit
SMc04312,noHit
SMc04313,noHit
SMc04314,bll5259
SMc04315,noHit
bmt,noHit
SMc04326,noHit
SMc04327,noHit
SMc04328,noHit
SMc04329,noHit
mttB,noHit
mtbC,noHit
ecnB,noHit
SMc04333,noHit
SMc04334,noHit
SMc04335,noHit
SMc04336,noHit
SMc04337,noHit
SMc04339,noHit
SMc04340,noHit
SMc04342,noHit
SMc04345,noHit
SMc04347,noHit
SMc04451,noHit
SMc04161,noHit
SMc04162,noHit
SMc04163,noHit
SMc04164,noHit
SMc04165,noHit
SMc04166,noHit
SMc04167,bll5050
SMc04168,noHit
SMc04169,noHit
SMc04170,noHit
SMc04171,noHit
cyaH,bll0556
SMc04173,noHit
SMc04174,noHit
SMc04175,blr3770
SMc04176,noHit
SMc04177,noHit
SMc04178,noHit
SMc04179,noHit
SMc04180,noHit
SMc04181,noHit
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,blr4067
SMc04189,noHit
SMc04190,noHit
SMc04191,noHit
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,noHit
SMc04197,noHit
SMc04198,noHit
SMc04199,noHit
SMc04200,noHit
SMc04201,noHit
SMc04202,noHit
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,bll7913
SMc04209,noHit
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,noHit
SMc04272,bll6480
SMc04274,noHit
SMc04276,noHit
SMc04280,noHit
SMc04283,noHit
SMc04287,noHit
SMc04289,noHit
SMc04291,noHit
cyaF3,blr7737
ftsZ2,noHit
SMc04298,bsr8030
SMc04299,noHit
SMc04300,noHit
SMc04316,noHit
SMc04317,noHit
cspA1,noHit
SMc04319,noHit
rpsU1,rpsU
gst10,noHit
mocA,noHit
SMc04323,bll2612
SMc04324,noHit
SMc04338,blr1468
SMc04341,noHit
cyaJ,noHit
SMc04344,noHit
ilvC,ilvC
SMc04348,noHit
macA,bll3708
macB,bll3707
SMc04352,bll2364
SMc04357,noHit
SMc04359,noHit
SMc04360,noHit
SMc04361,bll7294
SMc04362,noHit
SMc04363,noHit
ndh,ndh
SMc01403,noHit
SMc01404,bll8154
SMc01493,blr5836
SMc01405,noHit
SMc01488,noHit
SMc01406,blr6616
pdxJ,pdxJ
SMc01408,noHit
SMc01409,noHit
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,noHit
SMc01412,noHit
SMc01413,noHit
cyaI1,noHit
suhR,noHit
SMc01414,edrN
abrB,noHit
SMc01416,noHit
SMc01417,noHit
SMc01418,bll5559
rpoE1,prtI
SMc01420,bll2627
SMc01421,noHit
SMc01422,bll4496
nthB,nthB
nthA,nthA
SMc01425,bll6498
SMc01426,blr0060
SMc01427,noHit
cspA2,cspA
SMc01429,blr2810
ilvH,ilvH
ilvI,ilvI
SMc01432,bll3818
SMc01433,noHit
SMc01434,noHit
miaA,bll6504
serB,serB
SMc01437,noHit
degP2,bll6506
SMc01439,noHit
hflC,bll6508
hflK,bll6509
folA,folA
gst6,bll7859
thyA,thyA
SMc01445,bsr3833
SMc01446,noHit
SMc01447,noHit
SMc01448,noHit
SMc01449,noHit
SMc01450,blr6518
SMc01451,bsr6521
SMc01452,bsr6520
TRm22,noHit
SMc01454,noHit
dld,bll6558
SMc01456,noHit
SMc01457,noHit
SMc01458,noHit
SMc01459,blr3431
SMc01460,blr5616
uvrD1,blr6561
SMc01462,blr7421
SMc01463,noHit
SMc01464,noHit
creA,blr4151
TRm21,noHit
SMc01467,noHit
cheW2,noHit
mcpW,noHit
SMc01470,noHit
senC,blr1131
prmA,prmA
SMc04453,noHit
SMc01885,blr6589
SMc01884,noHit
SMc01883,noHit
SMc01882,noHit
panB,panB
panC,panC
SMc01879,blr2408
ligA,ligA
recN,recN
SMc01876,bll6594
lpxC,lpxC
ftsZ1,noHit
ftsA,ftsA
ftsQ,bll6598
ddlB,ddlA
aqpZ1,noHit
SMc01869,bll0889
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,bll6606
murE,murE
ftsI,bll6608
SMc01859,bll6609
mraW,mraW
SMc01857,noHit
SMc01856,noHit
SMc01855,noHit
SMc01854,blr6611
djlA,noHit
pfp,noHit
SMc01851,bll7356
SMc01850,noHit
SMc01849,blr0815
btaA,noHit
btaB,noHit
SMc01846,noHit
mltB2,bll2447
SMc01844,blr4311
metF,metF
SMc01842,noHit
SMc04454,bll6685
SMc02819,noHit
SMc02818,noHit
SMc02817,blr2811
ilvG,iivG
SMc01573,noHit
SMc01574,noHit
SMc01575,noHit
SMc01576,blr2227
SMc01579,bll0050
SMc01582,noHit
SMc01588,noHit
SMc01594,blr2084
SMc01597,noHit
SMc01600,noHit
SMc01602,noHit
SMc01605,noHit
SMc01606,noHit
SMc01607,noHit
SMc01608,noHit
ribH2,ribH
SMc01610,blr4255
fhuA1,bll4920
TRm5,bll2163
rpiB,noHit
tpiB,noHit
SMc01615,noHit
eryC,noHit
SMc01617,noHit
SMc01618,noHit
SMc01619,noHit
eryB,noHit
fucA1,noHit
SMc01622,noHit
eryA,noHit
SMc01624,noHit
SMc01625,noHit
SMc01626,blr1891
SMc01627,blr1890
SMc01628,blr1889
eryD,noHit
SMc01630,noHit
SMc01631,noHit
SMc01632,noHit
SMc01633,noHit
SMc01634,noHit
SMc01635,noHit
SMc01636,noHit
SMc01637,bll5458
SMc01638,noHit
SMc01639,blr3304
SMc01640,blr3446
caiD,fadB
prbA,noHit
prbB,noHit
prbC,noHit
prbD,noHit
SMc01646,noHit
SMc01647,noHit
SMc01648,noHit
SMc01649,blr5128
SMc01650,bll4284
SMc01651,noHit
SMc01652,noHit
SMc01653,noHit
SMc01654,noHit
SMc01655,noHit
SMc01656,noHit
fhuA2,noHit
SMc01658,noHit
SMc01659,noHit
SMc01660,noHit
mttB2,noHit
SMc01662,noHit
SMc01663,noHit
SMc01664,noHit
SMc01665,bll3105
mdeA,mdeA
SMc01667,noHit
SMc01668,blr5122
crt,fadB
SMc01670,noHit
SMc01671,noHit
SMc01540,noHit
SMc01541,noHit
SMc01542,noHit
SMc01543,noHit
aacC,noHit
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,lldA
SMc01741,noHit
SMc01742,noHit
SMc01745,noHit
SMc04442,noHit
SMc01548,bll7162
SMc01744,noHit
SMc01549,bll5801
SMc01749,noHit
SMc01550,noHit
SMc01551,bll0375
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,blr0479
SMc01557,noHit
SMc01558,noHit
SMc01559,blr1192
SMc01560,blr3898
SMc01561,noHit
SMc01562,bsr0127
sigA,sigA
tdh,noHit
bioF,noHit
recQ,recQ
dnaG,dnaG
SMc01568,bll7369
carA,carA
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,aatA
SMc01580,noHit
SMc01581,noHit
SMc01583,noHit
SMc01584,noHit
cspA3,cspA
SMc01586,noHit
SMc01587,bll0900
SMc01589,noHit
SMc01590,noHit
SMc01591,noHit
SMc01592,blr7460
SMc01593,blr7461
SMc01595,blr7462
csaA,bll4034
proC,proC
SMc02678,blr7453
SMc03744,bsl7442
lgt,lgt
SMc02682,blr7445
SMc02683,blr7446
SMc02684,noHit
SMc02685,noHit
prsA,prsA
SMc02687,bll5342
SMc02688,noHit
SMc02689,bll4784
SMc02690,bll4785
SMc02691,noHit
rplY,rplY
pth,pth
clpS2,bll2636
engD,bll7439
SMc02696,bll7438
SMc02697,bll7437
apt,apt
SMc02699,noHit
SMc02700,papS
SMc02701,blr2467
SMc02702,blr2466
SMc02703,bll2465
SMc02704,bll2464
SMc02705,bll2463
SMc02706,bll2462
SMc02707,blr2459
SMc02708,noHit
SMc02709,noHit
fic,noHit
SMc02711,blr2458
SMc02712,bll2457
rpoE3,noHit
SMc02714,noHit
SMc02715,noHit
SMc02716,noHit
leuA1,noHit
SMc02718,noHit
TRm22,noHit
clpP2,noHit
SMc02721,noHit
SMc02722,noHit
SMc02723,blr4796
SMc02724,noHit
trpE,trpE
bhuR,noHit
SMc02727,noHit
fhs,noHit
SMc02729,noHit
SMc02730,noHit
TRm22,noHit
SMc02732,bll0828
SMc02733,noHit
SMc02734,noHit
SMc02735,noHit
tdk,noHit
choX,noHit
choW,noHit
choV,noHit
SMc04457,bll8143
SMc01535,noHit
SMc01534,bioA
adeC1,noHit
SMc01532,noHit
kdgK,kdgK
TRm5,bll2163
dppF2,noHit
dppD2,noHit
dppC2,noHit
dppB2,noHit
dppA2,noHit
SMc01524,noHit
emrE,bll4228
SMc01522,bll4227
ntrP,noHit
ntrR1,noHit
SMc01520,bll1075
SMc01519,blr8100
SMc01748,noHit
SMc01518,bll7423
SMc01517,noHit
SMc01516,noHit
SMc01515,noHit
SMc01514,noHit
SMc01747,noHit
hmuS,noHit
hmuT,hmuT
hmuU,hmuU
hmuV,hmuV
SMc01509,noHit
SMc01508,noHit
SMc01507,noHit
rpoE2,blr7797
SMc01505,noHit
SMc01504,bll7795
SMc01503,blr3226
SMc01502,bll0796
mtlK,noHit
smoS,noHit
smoK,blr3224
smoG,noHit
smoF,blr3222
smoE,blr3221
smoC,blr3219
SMc01814,blr6742
SMc01815,noHit
SMc01816,noHit
SMc01817,noHit
cyaC,blr7256
SMc01819,noHit
SMc01820,amaB
dht,dht
SMc01822,noHit
SMc01823,noHit
SMc01824,noHit
SMc01825,noHit
SMc01826,bll3315
SMc01827,bll3316
SMc01828,noHit
SMc01829,blr0356
ureG,ureG
ureF,ureF
ureE,noHit
SMc01833,bsr1458
SMc01834,noHit
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,noHit
SMc02046,noHit
ureB,ureB
SMc01940,blr0341
ureA,ureA
ureD,ureD
SMc01943,noHit
cpo,noHit
ohrR,noHit
livK,blr5675
SMc01947,noHit
livF,blr5674
livG,blr5673
livM,blr5672
livH,blr5671
cysQ,noHit
SMc01953,bll0535
SMc01954,noHit
SMc01955,blr7608
SMc01956,noHit
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,bll4787
SMc01961,noHit
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,noHit
SMc01968,noHit
SMc01969,noHit
SMc01970,noHit
puuC,blr2816
puuB,bll6826
puuA,noHit
SMc01974,noHit
SMc01975,noHit
SMc01976,noHit
SMc01977,noHit
SMc01978,noHit
SMc01979,noHit
SMc01980,noHit
SMc01981,cycA
coxM,coxM
coxN,coxN
coxO,coxO
coxP,coxP
SMc01986,bll3781
SMc01987,noHit
SMc01988,noHit
SMc01989,noHit
SMc01990,noHit
SMc01991,noHit
SMc01992,noHit
SMc01993,blr3358
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,blr1352
SMc02025,noHit
SMc02026,noHit
SMc02027,noHit
SMc02028,noHit
SMc02029,noHit
SMc02030,noHit
SMc02031,bll5783
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,blr7581
SMc02036,blr7971
SMc02037,noHit
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,noHit
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,blr6358
SMc02452,noHit
SMc02337,noHit
SMc02338,noHit
SMc02339,blr3225
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,noHit
SMc02344,blr1233
SMc02345,blr0918
SMc02346,blr6248
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,bll6222
SMc02352,noHit
SMc02353,noHit
SMc02354,blr7354
SMc02355,noHit
SMc02356,noHit
SMc02357,noHit
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,noHit
SMc02413,noHit
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,bll2877
SMc02418,bll2876
SMc02419,bll2875
SMc02420,bll3846
SMc02421,noHit
SMc02423,bll2874
SMc02424,bll2873
SMc02425,noHit
SMc02426,noHit
hyuE,blr5577
SMc02428,blr7649
SMc02429,noHit
TRm17,noHit
SMc02431,bll4788
SMc02432,bll1407
clpB,clpB
SMc02434,noHit
hemK1,hemK
prfA,prfA
ptsP,ptsP
lysC,lysC
SMc02439,noHit
ubiG,ubiG
SMc02441,blr0212
SMc02442,blr0211
grxC,bsr0210
SMc02444,comF
SMc02445,bll0208
SMc02446,noHit
SMc02447,noHit
mutT,blr0207
SMc02449,noHit
argJ,argJ
SMc02451,blr0205
secA,secA
SMc00744,blr6590
SMc00743,bll1490
SMc00742,blr5779
acsA3,bll7367
SMc00740,noHit
SMc00739,noHit
SMc00738,blr1340
SMc00737,bll1367
SMc00736,alkA
SMc00735,gltX
SMc00734,bll1374
SMc00733,noHit
SMc00732,noHit
SMc00731,blr1376
SMc00730,noHit
etfB1,etfS
etfA1,etfL
hbdA,hbdA
tlpA,tlpA
argH1,argH
SMc00724,bsr1382
lysA,lysA
SMc00722,blr1386
TRm22,noHit
SMc00720,bll1388
hpt,noHit
SMc00718,noHit
ftsE,ftsE
ftsX,FtsX
SMc00715,blr1392
SMc00714,plsC
chaC,chaC
SMc00712,noHit
tyrC,tyrC
hisC1,hisC
SMc00709,bll0221
gloB,gloB
SMc00707,blr0223
SMc00706,bll0224
SMc00705,noHit
rpmB,rpmB
SMc00703,noHit
SMc00702,bll0177
cobT,cobT
SMc00700,cobS
SMc00699,dnaJ
SMc00698,bsr0185
SMc00697,bll0186
aroB,aroB
aroK,bll0188
SMc00694,noHit
SMc00693,noHit
SMc00692,bsr0189
xerD,xerD
accA,accA
SMc00689,noHit
SMc00688,bsr2313
SMc00687,noHit
SMc00686,noHit
SMc00684,noHit
SMc00683,bll1320
hipO1,blr3021
lrp1,lrp
SMc00680,noHit
SMc00679,noHit
SMc00678,noHit
SMc00677,noHit
SMc00676,noHit
SMc00675,noHit
hutC,noHit
SMc00673,blr6244
hisX,noHit
hisW,noHit
hisV,noHit
hutH2,noHit
SMc00668,noHit
SMc00667,noHit
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,trmU
SMc00658,noHit
SMc00657,bsr6998
SMc00656,bsr4717
SMc00655,blr2202
ctrA,bll2200
SMc00653,cheY
chpT,blr2191
SMc00651,bll2189
SMc00650,noHit
SMc00649,noHit
SMc00648,noHit
rluD,blr7336
rpoH1,rpoH2
SMc00644,noHit
purA,purA
SMc00642,blr7060
serA,serA
serC,serC
SMc00639,noHit
SMc00638,noHit
glmM,bll7408
ftsH,ftsH
SMc02940,noHit
SMc02941,noHit
pal,bll7149
tolB,tolB
tolA,noHit
tolR,tolR
tolQ,tolQ
SMc03959,bll6773
SMc03960,bll7212
sqdB,noHit
sqdD,noHit
sqdC,noHit
SMc03964,blr1539
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,bll1244
SMc03969,blr1534
SMc03970,blr7935
mexF2,blr0997
mexE2,blr0996
SMc03973,blr1528
SMc03974,blr1527
SMc03975,noHit
SMc03976,blr1526
SMc03977,bsr1525
tkt2,tktA
gap,gapA
SMc03980,noHit
pgk,pgk
TRm5,bll2163
fbaB,bll1520
SMc03984,bll5643
cyaF2,noHit
SMc03986,noHit
SMc03987,noHit
SMc03988,bsr1504
SMc03989,blr1506
rpmE,rpmE
SMc03991,blr1508
SMc03992,motB
SMc03993,bll1511
suhB,suhB
SMc03995,bll1518
thiE2,bll1519
SMc03997,noHit
SMc03998,noHit
SMc03999,bsl7109
SMc04000,bsr7110
purE,purE
purK,purK
rpmJ,rpmJ
SMc04004,bll7547
pykA,pykA
SMc04006,blr7137
SMc04007,noHit
SMc04008,bll7136
SMc04009,bsl7135
SMc04010,noHit
tacA,blr7130
pepF,pepF
pabB,noHit
SMc04014,noHit
SMc04015,noHit
hss,blr7762
omp10,noHit
SMc04018,noHit
hemH,hemH
SMc04020,bll7750
SMc04021,bll7749
SMc04022,noHit
exoN2,exoN
SMc04024,bll1498
SMc04025,noHit
gltD,gltD
gltB,gltB
SMc04029,noHit
SMc04030,noHit
pip2,noHit
SMc04032,noHit
pip3,noHit
SMc04034,noHit
SMc04035,noHit
SMc04036,noHit
SMc04037,noHit
TRm17N,noHit
TRm17C,noHit
ibpA,blr7740
pldB,pldB
SMc04042,blr7731
SMc04043,blr7730
SMc04044,bll7728
ilvD2,ilvD
SMc04046,noHit
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,noHit
SMc04053,noHit
SMc04054,bll4537
SMc04055,blr0252
SMc04056,mocA
SMc04057,blr2978
SMc04058,blr2979
SMc04059,noHit
glgP,glgP
glgB1,glgB
glgC,glgC
glgA1,glgA
pgm,noHit
glgX1,noHit
nodN2,nodN
SMc03928,noHit
SMc03929,bll7898
soxG2,noHit
soxA2,noHit
soxD2,noHit
soxB2,noHit
rpsU2,noHit
SMc03935,noHit
SMc03936,noHit
cyaG1,bll5046
pntB,pntB
pntAb,pntAB
pntAa,pntA
SMc03941,bsl7127
SMc03942,bll7151
SMc03943,bll4958
SMc04462,bll0088
pckR,noHit
SMc02976,noHit
SMc02977,blr0092
SMc02978,bll7768
SMc02979,bll7767
SMc02980,noHit
SMc02981,noHit
SMc02982,blr7760
SMc02983,speF
SMc02984,noHit
SMc02985,noHit
SMc02986,bll7754
SMc02987,noHit
SMc02988,noHit
SMc02989,noHit
SMc03151,bll6696
SMc03152,noHit
eda2,kdgA
SMc03154,noHit
SMc03155,noHit
SMc03156,bll2403
metQ,bll6903
metI,blr4502
metN,blr4501
SMc03160,blr4657
SMc03161,noHit
SMc03162,noHit
xylA,xylA
xylB,xylB
