SMc02793,RHE_CH00001
SMc01787,RHE_CH01534
SMc01788,noHit
SMc01789,noHit
SMc01902,noHit
SMc01790,noHit
SMc01791,RHE_CH01558
SMc01792,RHE_CH01559
SMc01793,RHE_CH01560
SMc01794,RHE_CH01561
SMc01795,RHE_CH01562
SMc01796,RHE_CH01563
SMc01797,noHit
SMc01798,noHit
SMc01799,RHE_CH01564
SMc01800,RHE_CH01565
argC,argC
speB,speB1
rpsI,rpsI
rplM,rplM
SMc01805,noHit
SMc01806,RHE_CH01573
SMc01807,RHE_CH01574
SMc01808,RHE_CH01576
SMc01809,RHE_CH01577
SMc01810,RHE_CH01583
TRm20N,noHit
TRm20C,noHit
SMc01812,RHE_CH01585
SMc01813,RHE_PE00234
SMc04448,noHit
clpP1,clpP2
clpX,clpX
lon,lon
hupB,hrm
SMc01907,RHE_CH01592
SMc01908,noHit
SMc01909,RHE_PB00083
SMc01910,RHE_PB00084
SMc01911,RHE_CH01594
nuoA1,nuoA1
nuoB1,nuoB1
nuoC1,nuoC1
nuoD1,nuoD1
SMc01916,RHE_CH01607
nuoE1,nuoE1
nuoF1,nuoF1
SMc01919,RHE_CH01610
nuoG1,nuoG1
nuoH,nuoH1
nuoI,nuoI
nuoJ,nuoJ
nuoK1,nuoK1
nuoL,nuoL
nuoM,nuoM1
nuoN,nuoN1
birA,birA
SMc01929,RHE_CH01621
SMc01930,RHE_CH01622
SMc01931,RHE_CH01622
SMc01932,RHE_PF00555
SMc01933,RHE_PF00556
proS,proS
SMc01935,RHE_CH01624
SMc01376,RHE_CH01625
dnaE1,dnaEch1
SMc01374,RHE_CH01628
dinB1,dinP
SMc01372,noHit
divK,celR1
pleD,celR2
rpmG,rpmG
SMc01368,RHE_CH01635
SMc01367,noHit
SMc01366,RHE_CH01636
rnr,rnr
topA,topA
smf,RHE_CH01639
SMc01362,RHE_CH01640
SMc01361,RHE_CH01641
pyrB,pyrB
aidB,aidB
SMc01358,noHit
SMc01357,noHit
SMc01356,RHE_CH01851
SMc01355,RHE_CH01852
SMc01354,RHE_CH01853
gatC,gatC
gatA,gatA2
SMc01351,RHE_CH01859
gatB,gatB
SMc01349,RHE_CH01863
SMc01348,RHE_CH01865
SMc01347,RHE_CH01866
aat,aat
accC,accCch
accB,accBch
aroQ,aroQ1
SMc01342,RHE_CH01872
SMc01341,noHit
SMc01340,aspB2
TRm11a,RHE_PD00094
TRm11b,RHE_CH00520
SMc01337,RHE_CH02592
rne,rne
amiC,amiC
mrcA1,mrcA
prfB,prfB
SMc01332,RHE_CH01650
ppnK,RHE_CH01651
SMc04435,noHit
SMc01330,noHit
azoR,acpD
SMc01328,noHit
SMc01327,RHE_CH01655
tufB,tufB
SMc01325,RHE_CH03838
SMc01324,RHE_CH01659
secE,secE
nusG,nusG
rplK,rplK
rplA,rplA
rplJ,rplJ
rplL,rplL
rpoB,rpoB
rpoC,rpoC
SMc01315,RHE_CH01669
rpsL,rpsL
rpsG,rpsG
fusA1,fusA2
tufA,noHit
rpsJ,rpsJ
rplC,rplC
rplD,rplD
rplW,rplW
rplB,rplB
rpsS,rpsS
rplV,rplV
rpsC,rpsC
rplP,rplP
rpmC,rpmC
rpsQ,rpsQ
rplN,rplN
rplX,rplX
rplE,rplE
rpsN,rpsN
rpsH,rpsH
rplF,rplF
rplR,rplR
rpsE,rpsE
rpmD,rpmD
rplO,rplO
secY,secY
adk,adk
rpsM,rpsM
rpsK,rpsK
rpoA,rpoA
rplQ,rplQ
SMc01282,RHE_CH01702
SMc01281,RHE_CH01703
degP3,degPch3
SMc01279,RHE_CH01708
sugE,sugE
SMc01277,RHE_CH02234
gph2,gph1
rluC,rluC
crcB,RHE_CH02237
SMc01273,RHE_PF00401
SMc01272,noHit
SMc01271,RHE_CH02229
adhC1,adhCf
SMc01269,noHit
lipB,lipB
SMc01267,RHE_CH02817
SMc01266,RHE_CH02816
SMc01265,RHE_CH02815
SMc01264,noHit
SMc01263,noHit
def2,def2
SMc01261,RHE_CH02218
SMc01260,RHE_CH02217
SMc01259,noHit
SMc01258,RHE_CH02216
SMc01257,RHE_CH02215
sda,sda
SMc00995,RHE_CH02213
SMc01068,RHE_CH02212
SMc00996,RHE_CH02211
SMc00997,RHE_CH02210
SMc00998,RHE_CH02209
SMc00999,RHE_CH02207
SMc01000,RHE_CH02206
SMc01001,RHE_CH02205
SMc01002,RHE_CH02204
SMc01003,RHE_CH02203
hisI,hisI
folE,folE
SMc01006,nifUch2
SMc01007,RHE_CH02199
SMc01008,RHE_CH02198
SMc01009,RHE_CH02197
thrS,thrS
SMc01011,RHE_CH02195
SMc01012,RHE_CH02194
SMc01013,RHE_CH02193
SMc01014,noHit
SMc01015,RHE_CH02192
SMc01016,RHE_CH02191
SMc01017,RHE_CH02190
parE,parE
SMc01019,RHE_CH02187
SMc01020,RHE_CH03425
SMc01021,noHit
SMc01022,noHit
tpiA,tpiAch
SMc01024,noHit
pyrG,pyrG
SMc01026,RHE_CH01929
kdsA,kdsA
eno,eno
SMc01029,RHE_CH01932
pdhAa,pdhA1
pdhAb,pdhA2
pdhC,pdhB
SMc01033,RHE_CH01936
SMc01034,RHE_CH01937
lpdA1,lpdAch1
SMc01036,RHE_CH02171
lipA,lipA
SMc04865,noHit
SMc01038,RHE_CH01943
SMc01039,cinA2
ispDF,ispDF
dusB,nifR
ntrB,ntrB
ntrC,ntrC
ntrY,ntrY
ntrX,ntrX
trkA,noHit
SMc01047,RHE_CH01953
hfq,nfrA
hflX,hflX
TRm20,RHE_PA00091
SMc01051,mazG
SMc01052,RHE_CH01957
cysG,cysG
SMc01054,RHE_CH01959
cysI,cysI
SMc02123,RHE_CH01961
fpr,fpr
relE,noHit
aapP,aapP
aapM,aapM
aapQ,aapQ
aapJ,aapJ
metC,metC
SMc02116,nah
SMc02115,RHE_CH01901
SMc02114,RHE_CH01902
cysE,cysE1
SMc02112,RHE_CH01904
SMc02111,RHE_CH01905
clpS1,clpS
clpA,clpA
SMc02108,noHit
SMc02107,noHit
SMc02106,RHE_CH01908
SMc02105,RHE_CH01909
SMc02104,RHE_CH01910
SMc02103,RHE_CH01911
SMc02102,RHE_CH01912
rpsB,rpsB
tsf,tsf
pyrH,pyrH
rrf,rrf
uppS,uppS
cdsA,cdsAch
SMc02095,RHE_CH01919
omp,omp1
lpxD,lpxD
fabZ,fabZ
lpxA,lpxA
SMc02090,RHE_CH01924
lpxB,lpxB
SMc02088,RHE_CH02252
gltA,gltA
SMc02086,RHE_CH01927
exbB,noHit
exbD,noHit
SMc02083,pcm1
tolC,noHit
SMc02081,noHit
valS,valS
fadL,RHE_CH01812
exoR,exoR1
xthA2,xthA2
cls,cls
SMc02075,RHE_CH01816
SMc02074,dgt
argS,argS
SMc02072,noHit
SMc02071,RHE_CH01820
SMc02070,RHE_CH01821
SMc02069,RHE_CH01822
SMc02068,noHit
tatE,tatA
tatB,noHit
tatC,tatC
serS,serS
surE,surE
pcm,pcm2
bioS,noHit
lppB,lppB
SMc02059,RHE_CH01830
SMc02058,yajC
secD1,secD2
SMc02056,RHE_CH01833
crtB,crtB
SMc02054,RHE_CH01835
gid,gidA1
SMc02052,RHE_CH01837
SMc02051,RHE_PE00401
tig,tig
gcvP,gcvP
gcvH,gcvH
gcvT,gcvT
SMc01242,RHE_CH02239
SMc01241,noHit
TRm5,noHit
SMc01239,noHit
gst5,noHit
nrdJ,nrd
SMc01236,RHE_CH02105
uvrA,uvrA
ssb,ssb
SMc01232,RHE_CH02109
gyrA,gyrA
SMc01230,RHE_CH01792
SMc01229,RHE_CH01235
str,RHE_CH02980
nerA,nerA
SMc01226,RHE_CH02977
lsrB,RHE_CH02976
trxB,trxBch
lrp3,lrp
lpsC,noHit
lpsD,noHit
lpsE,noHit
lpsB,lpcC
greA,greA
SMc01217,noHit
SMc01216,noHit
carB,carB
SMc01214,RHE_CH02965
SMc01213,RHE_CH02964
SMc01212,RHE_CH02963
norM,RHE_CH02962
SMc01210,noHit
coaD,coaD
ppiA,ppiA
ppiB,ppiB
queA,queA
tgt,tgt
SMc01205,noHit
SMc01204,RHE_PB00044
SMc01203,noHit
SMc01202,noHit
SMc01200,RHE_CH01309
SMc01698,RHE_PD00250
SMc02814,RHE_CH02135
SMc01199,noHit
SMc01198,RHE_CH02136
SMc01197,noHit
SMc01196,RHE_PD00189
SMc01195,noHit
SMc01194,RHE_CH02155
SMc01193,RHE_CH02156
metS,metS
SMc01191,RHE_CH00945
SMc01190,holB
tmk,tmk
dac,dac
rlpA,rlpA
SMc01186,noHit
SMc01185,noHit
SMc01184,noHit
lexA,lexA
SMc01182,noHit
SMc01181,noHit
SMc01180,RHE_CH01805
SMc01179,noHit
SMc01178,noHit
SMc01177,noHit
SMc01176,noHit
SMc01175,RHE_CH01777
cysK2,cysK2
alaS2,alaS1
sseA,sseA
SMc01171,RHE_CH01772
SMc01170,RHE_CH01771
ald,aldA
lrp2,aldR
cpdB,cpdB
SMc00935,RHE_CH01760
ilvA,ilvA
trkH,noHit
SMc00938,noHit
SMc00939,noHit
SMc00940,noHit
SMc00941,noHit
SMc00942,RHE_CH02992
wrbA1,noHit
SMc00944,cinA1
gpt,gpt
SMc00946,RHE_CH02104
glnB,glnB
glnA,glnA2
SMc00949,RHE_CH02101
SMc00950,RHE_CH02100
SMc00951,RHE_CH02099
SMc00952,RHE_CH02098
SMc00953,noHit
atsA,noHit
SMc00955,noHit
SMc00959,RHE_PF00081
xthA1,xthA1
SMc00958,noHit
mfd,mfd
SMc00227,RHE_CH02094
recG,recG
SMc00229,RHE_CH02092
SMc00230,noHit
glmS,glmS1
glmU,glmU
SMc00233,RHE_CH03044
ppiD,ppiD1
trpD,trpD
trpC,trpC
moaC,moaC
moeA,moeA
SMc00239,noHit
SMc00240,tlyC
SMc00241,RHE_CH02089
SMc00242,RHE_CH02084
SMc00244,RHE_CH02083
SMc00243,RHE_CH02082
SMc00245,RHE_CH02081
qor,qor
pcs,pcs
SMc00316,RHE_CH01962
SMc00317,mdcF
ccsA,ccsA
SMc00249,noHit
SMc00250,noHit
SMc00251,RHE_PE00086
SMc00252,RHE_CH01803
SMc00253,noHit
SMc00254,noHit
SMc04437,noHit
SMc00255,noHit
SMc00256,noHit
ropB2,ropB2
SMc00258,noHit
SMc00259,noHit
SMc00260,noHit
SMc00261,noHit
SMc00262,noHit
SMc00263,noHit
SMc00264,noHit
SMc00265,noHit
SMc00266,noHit
SMc00267,noHit
SMc00268,RHE_CH02403
SMc00269,tktA
SMc00270,tktB
SMc00271,noHit
SMc00272,noHit
SMc00273,noHit
SMc00274,noHit
SMc00275,noHit
SMc00276,noHit
SMc00277,RHE_PE00221
SMc00278,RHE_PE00222
SMc00279,noHit
SMc00280,noHit
SMc00281,noHit
SMc00282,noHit
SMc00283,noHit
SMc00284,noHit
TRm5,noHit
SMc04866,noHit
SMc00286,noHit
SMc00287,RHE_CH01888
SMc00288,RHE_CH01886
cspA5,cspA3
gloA,gloA
SMc00291,noHit
recJ,recJ
thrA,thrA
aatC,aatCch
SMc00295,noHit
phbC,phbC
sfsA,noHit
map1,map1
radC,radC
sthA,RHE_CH01846
sufA,RHE_CH02247
SMc00302,RHE_CH02248
csd,RHE_CH02249
sufD,sufD
SMc00531,sufC
SMc00530,sufB
nifS,nifSch
SMc00528,RHE_CH02255
anmK,RHE_CH02257
tyrS,tyrS
SMc00525,RHE_CH02261
bcp,bcp
SMc00523,RHE_CH02263
SMc00540,noHit
SMc00539,RHE_CH02264
rhlE1,rhlE1
SMc00521,RHE_CH02266
SMc00520,RHE_CH02267
SMc00519,noHit
SMc00518,noHit
SMc00517,noHit
SMc00516,noHit
SMc00515,noHit
SMc00514,RHE_CH02268
SMc00513,RHE_CH02269
SMc00512,RHE_CH00222
rpe,rpe
SMc00510,RHE_CH02271
SMc00509,RHE_CH02272
purB,purB
SMc00507,RHE_CH01767
SMc00506,RHE_CH02275
SMc00505,RHE_CH02276
SMc00504,noHit
SMc00503,noHit
fldZ,menG
SMc00501,noHit
SMc00500,noHit
SMc00499,noHit
SMc00498,noHit
SMc00497,noHit
SMc00496,RHE_CH00598
purC,purC1
SMc00494,purS
purQ,purQ
SMc00492,RHE_CH02282
SMc00491,noHit
SMc00490,RHE_CH02284
SMc00489,RHE_CH02285
purL,purL
SMc00487,RHE_CH02287
SMc00538,grlA
SMc00537,RHE_CH02305
SMc00536,RHE_CH02306
SMc00535,RHE_CH02308
SMc00534,RHE_CH02310
glsA,glsA
rpsD,rpsD
SMc00484,RHE_CH02313
murI,murI
SMc00482,RHE_CH02315
SMc00481,RHE_CH02316
icd,noHit
SMc00479,noHit
SMc00549,noHit
SMc00478,noHit
SMc00477,noHit
sulP,RHE_CH01065
alaS,alaS2
recA,recA
SMc00473,RHE_CH02324
SMc00472,RHE_CH02325
SMc00471,RHE_CH02326
SMc00470,noHit
dksA,dksA
SMc00468,RHE_CH02330
SMc00467,RHE_CH02331
SMc00466,RHE_CH02332
SMc00548,RHE_CH02333
folK,folK
folB,folB
folP,folP
SMc00194,RHE_CH02337
SMc00193,noHit
fdx,fdx
SMc00191,RHE_CH02339
SMc00190,RHE_CH02340
fbcC,fbcC
fbcB,fbcB
fbcF,fbcF
SMc00186,RHE_CH03040
SMc00185,RHE_CH03042
SMc00184,RHE_CH03043
SMc00183,RHE_CH04003
SMc00182,soxR
SMc00196,RHE_CH01284
SMc00181,RHE_CH03045
hemF,hemF
SMc00179,RHE_CH03837
SMc00178,noHit
SMc00177,RHE_CH02346
SMc00176,RHE_CH02347
SMc00175,RHE_CH02348
SMc00174,RHE_CH02349
SMc00459,RHE_CH02350
hcaT,RHE_CH02351
SMc00171,RHE_CH02352
dme,dme
sinR,noHit
sinI,cinI
SMc00167,RHE_CH02367
bluB,RHE_CH02368
SMc00165,RHE_CH03703
SMc00164,RHE_CH03702
SMc00163,RHE_CH03701
tolB2,RHE_CH02370
nadE2,nadE
cgmB,noHit
cgmA,noHit
SMc00159,noHit
SMc00158,noHit
SMc00157,RHE_CH01300
SMc00156,RHE_CH02373
dhs,aroF
gor,gor
SMc00153,RHE_CH02379
rpiA,rpiA
gph1,gph2
SMc00150,RHE_CH02382
fumC,fumC
SMc00148,RHE_CH02387
SMc00147,RHE_CH02388
SMc00146,RHE_CH02389
SMc00145,RHE_CH02391
moaA,moaA
SMc00197,RHE_CH02405
mobA,mobA
mobB,mobB
SMc00141,RHE_CH02417
SMc00198,noHit
SMc00140,RHE_CH02418
SMc00139,RHE_CH02419
SMc00138,RHE_CH02420
usg,RHE_CH02421
SMc00136,RHE_PF00008
SMc00135,RHE_CH02422
SMc00134,RHE_CH02423
SMc00133,RHE_CH02433
SMc00132,RHE_CH02434
SMc00131,RHE_CH02438
SMc04210,RHE_CH02439
SMc04211,RHE_CH02440
SMc04212,RHE_CH02441
dgkA,dgkA
cobU,cobU
cobS,cobV
SMc04216,RHE_CH02445
SMc04217,RHE_CH02446
SMc04218,hndJ
SMc04219,hndI
SMc04220,noHit
SMc04221,noHit
SMc04222,noHit
SMc04223,noHit
SMc04224,noHit
SMc04225,RHE_CH02546
SMc04226,noHit
mcpV,mcpV3
SMc04228,RHE_CH02548
SMc04229,RHE_CH02549
SMc04230,noHit
uvrB,uvrB
SMc04232,noHit
SMc04233,RHE_PE00068
cspA4,cspA4
SMc04235,RHE_CH02569
SMc04236,noHit
SMc04237,noHit
SMc04238,RHE_CH00575
SMc04239,RHE_CH03405
SMc04240,RHE_CH02701
SMc04241,RHE_CH02702
zur,zur
znuB,znuB
znuC,znuC
znuA,znuA
SMc04246,noHit
SMc04247,xynA
SMc04248,RHE_CH03617
SMc04249,noHit
TRm20,RHE_PA00091
smoM,RHE_CH03619
SMc04252,RHE_CH02454
SMc04253,RHE_CH02455
SMc04254,RHE_CH02456
manB,manB2
SMc04256,RHE_CH02458
SMc04257,RHE_CH02459
SMc04258,RHE_CH02460
SMc04259,RHE_CH02461
SMc04260,RHE_CH02462
SMc04261,RHE_CH03781
gnd,gnd
SMc04263,noHit
SMc04264,RHE_CH02469
SMc04265,RHE_CH02470
SMc04266,RHE_CH02471
lpxXL,msbB
adhA2,RHE_CH02474
SMc04273,RHE_CH02475
fabF2,RHE_CH02476
SMc04277,RHE_CH02477
acpXL,acpXL
cobD,cobD
cobC,cobC
cobB,cobB
cobA,cobA
cobE,cobE
SMc04286,RHE_CH02487
SMc04288,noHit
SMc04290,RHE_PB00087
SMc04293,noHit
SMc04294,noHit
SMc04295,noHit
SMc04297,noHit
SMc04301,noHit
cobO,cobO
cobN,cobN
cobW,cobW
cobP,cobP
SMc04306,RHE_CH03604
cyaD2,cyaD
SMc04308,RHE_CH01162
cobQ,cobQ
SMc04310,noHit
SMc04311,RHE_CH02495
SMc04439,RHE_PF00412
SMc04312,noHit
SMc04313,noHit
SMc04314,noHit
SMc04315,RHE_CH03538
bmt,noHit
SMc04326,noHit
SMc04327,noHit
SMc04328,RHE_CH02589
SMc04329,noHit
mttB,noHit
mtbC,noHit
ecnB,ecnB
SMc04333,noHit
SMc04334,noHit
SMc04335,noHit
SMc04336,RHE_CH00902
SMc04337,noHit
SMc04339,noHit
SMc04340,noHit
SMc04342,noHit
SMc04345,noHit
SMc04347,noHit
SMc04451,RHE_CH00958
SMc04161,noHit
SMc04162,noHit
SMc04163,RHE_CH02498
SMc04164,noHit
SMc04165,noHit
SMc04166,noHit
SMc04167,RHE_CH01219
SMc04168,RHE_CH01218
SMc04169,RHE_CH02525
SMc04170,rrpX
SMc04171,noHit
cyaH,cyaH
SMc04173,RHE_CH02822
SMc04174,RHE_CH02536
SMc04175,RHE_CH02154
SMc04176,RHE_CH02537
SMc04177,RHE_CH00247
SMc04178,RHE_CH02538
SMc04179,RHE_CH03428
SMc04180,noHit
SMc04181,RHE_CH00530
SMc04182,noHit
SMc04183,noHit
SMc04185,noHit
SMc04184,noHit
SMc04186,noHit
SMc04187,noHit
SMc04188,noHit
SMc04189,noHit
SMc04190,noHit
SMc04191,noHit
SMc04194,noHit
TRm3,noHit
SMc04440,noHit
SMc04196,RHE_CH01038
SMc04197,noHit
SMc04198,noHit
SMc04199,noHit
SMc04200,noHit
SMc04201,RHE_CH01236
SMc04202,RHE_PB00141
fecI,noHit
fecR,noHit
SMc04205,noHit
SMc04206,noHit
rspD,noHit
rspE,noHit
SMc04209,RHE_CH03392
lpsS,noHit
SMc04441,noHit
SMc04269,noHit
SMc04271,RHE_CH02720
SMc04272,RHE_CH02721
SMc04274,RHE_CH02722
SMc04276,RHE_CH02601
SMc04280,noHit
SMc04283,noHit
SMc04287,noHit
SMc04289,noHit
SMc04291,noHit
cyaF3,noHit
ftsZ2,ftsZ1
SMc04298,noHit
SMc04299,noHit
SMc04300,afuC2
SMc04316,afuB2
SMc04317,afuA3
cspA1,cspA2
SMc04319,RHE_CH01170
rpsU1,rpsUch1
gst10,gstch9
mocA,mocA
SMc04323,RHE_CH02729
SMc04324,noHit
SMc04338,noHit
SMc04341,noHit
cyaJ,cyaJ
SMc04344,RHE_CH02580
ilvC,ilvC
SMc04348,RHE_CH02745
macA,RHE_CH02074
macB,RHE_CH02076
SMc04352,noHit
SMc04357,noHit
SMc04359,RHE_CH03580
SMc04360,noHit
SMc04361,noHit
SMc04362,noHit
SMc04363,noHit
ndh,ndhch
SMc01403,RHE_CH02762
SMc01404,RHE_CH02763
SMc01493,RHE_CH02767
SMc01405,RHE_CH02768
SMc01488,RHE_CH01276
SMc01406,RHE_CH01275
pdxJ,pdxJ
SMc01408,RHE_PE00067
SMc01409,noHit
SMc01410,noHit
SMc01489,noHit
SMc01490,noHit
SMc01411,RHE_PC00194
SMc01412,noHit
SMc01413,noHit
cyaI1,noHit
suhR,noHit
SMc01414,recD
abrB,noHit
SMc01416,noHit
SMc01417,noHit
SMc01418,RHE_CH02778
rpoE1,rpoE2
SMc01420,RHE_CH02780
SMc01421,noHit
SMc01422,RHE_CH02781
nthB,nthB
nthA,nthA
SMc01425,RHE_CH02787
SMc01426,noHit
SMc01427,RHE_CH01172
cspA2,noHit
SMc01429,RHE_CH02788
ilvH,ilvH
ilvI,ilvI
SMc01432,RHE_CH02791
SMc01433,noHit
SMc01434,noHit
miaA,miaA
serB,serB
SMc01437,noHit
degP2,degPch4
SMc01439,noHit
hflC,hflC
hflK,hflK
folA,folA
gst6,noHit
thyA,thyA
SMc01445,RHE_PF00261
SMc01446,RHE_CH01156
SMc01447,noHit
SMc01448,noHit
SMc01449,noHit
SMc01450,RHE_CH02800
SMc01451,RHE_CH02801
SMc01452,RHE_CH02802
TRm22,RHE_PA00071
SMc01454,RHE_CH02803
dld,dld
SMc01456,noHit
SMc01457,RHE_CH02812
SMc01458,RHE_CH02813
SMc01459,noHit
SMc01460,RHE_PE00353
uvrD1,uvrD2
SMc01462,RHE_CH02319
SMc01463,noHit
SMc01464,noHit
creA,creA
TRm21,RHE_PD00041
SMc01467,noHit
cheW2,cheW2
mcpW,mcpW
SMc01470,noHit
senC,senC
prmA,prmA
SMc04453,noHit
SMc01885,RHE_CH02827
SMc01884,noHit
SMc01883,RHE_CH02826
SMc01882,RHE_CH02825
panB,panB
panC,panC
SMc01879,noHit
ligA,ligA
recN,recN
SMc01876,RHE_CH02838
lpxC,lpxC
ftsZ1,ftsZ2
ftsA,ftsA
ftsQ,ftsQ
ddlB,ddlB
aqpZ1,noHit
SMc01869,noHit
murB,murB
murC,murC
murG,murG
ftsW,ftsW
murD,murD
mraY,mraY
murF,murF
murE,murE
ftsI,ftsI
SMc01859,RHE_CH02854
mraW,mraW
SMc01857,mraZ
SMc01856,RHE_CH02857
SMc01855,RHE_CH02859
SMc01854,RHE_CH02860
djlA,djlA
pfp,pfk
SMc01851,RHE_CH02863
SMc01850,RHE_CH02864
SMc01849,RHE_CH02865
btaA,RHE_CH02866
btaB,RHE_CH02867
SMc01846,lyc
mltB2,RHE_CH02869
SMc01844,RHE_CH02870
metF,metF
SMc01842,RHE_CH02872
SMc04454,RHE_CH02873
SMc02819,RHE_CH02874
SMc02818,RHE_CH02875
SMc02817,RHE_CH02876
ilvG,ilvG
SMc01573,RHE_CH02880
SMc01574,RHE_CH02881
SMc01575,RHE_CH02882
SMc01576,RHE_CH04054
SMc01579,parA1
SMc01582,RHE_CH02884
SMc01588,RHE_CH02885
SMc01594,glnA3
SMc01597,RHE_CH02887
SMc01600,RHE_CH02888
SMc01602,RHE_CH02889
SMc01605,RHE_CH02890
SMc01606,RHE_CH02891
SMc01607,RHE_CH02892
SMc01608,RHE_CH02893
ribH2,ribH2
SMc01610,RHE_PE00390
fhuA1,noHit
TRm5,noHit
rpiB,rpiB
tpiB,tpiAf
SMc01615,noHit
eryC,noHit
SMc01617,noHit
SMc01618,noHit
SMc01619,noHit
eryB,noHit
fucA1,noHit
SMc01622,noHit
eryA,noHit
SMc01624,noHit
SMc01625,noHit
SMc01626,noHit
SMc01627,noHit
SMc01628,noHit
eryD,noHit
SMc01630,noHit
SMc01631,noHit
SMc01632,noHit
SMc01633,noHit
SMc01634,noHit
SMc01635,RHE_PD00113
SMc01636,RHE_PC00124
SMc01637,RHE_PC00125
SMc01638,RHE_PC00126
SMc01639,RHE_PC00127
SMc01640,RHE_PC00128
caiD,RHE_PC00129
prbA,RHE_PC00130
prbB,RHE_PC00131
prbC,RHE_PC00132
prbD,RHE_PC00133
SMc01646,RHE_PC00134
SMc01647,RHE_PC00135
SMc01648,RHE_PC00136
SMc01649,noHit
SMc01650,RHE_PC00137
SMc01651,RHE_CH03659
SMc01652,RHE_CH03660
SMc01653,RHE_CH03661
SMc01654,noHit
SMc01655,RHE_CH03663
SMc01656,RHE_CH03664
fhuA2,fhuA
SMc01658,fhuF
SMc01659,noHit
SMc01660,noHit
mttB2,noHit
SMc01662,noHit
SMc01663,noHit
SMc01664,noHit
SMc01665,noHit
mdeA,mdeAf
SMc01667,RHE_CH03999
SMc01668,RHE_CH01466
crt,noHit
SMc01670,RHE_CH00472
SMc01671,RHE_CH04059
SMc01540,noHit
SMc01541,RHE_CH03205
SMc01542,RHE_CH03206
SMc01543,RHE_CH03207
aacC,noHit
SMc01545,noHit
SMc01546,noHit
SMc01547,noHit
SMc01740,noHit
SMc01741,noHit
SMc01742,RHE_CH01942
SMc01745,RHE_CH00252
SMc04442,noHit
SMc01548,noHit
SMc01744,noHit
SMc01549,noHit
SMc01749,noHit
SMc01550,noHit
SMc01551,noHit
SMc01552,noHit
SMc01553,noHit
SMc01554,noHit
SMc01555,noHit
SMc01556,RHE_CH02935
SMc01557,RHE_CH01087
SMc01558,noHit
SMc01559,RHE_CH02938
SMc01560,noHit
SMc01561,RHE_CH00551
SMc01562,RHE_CH02949
sigA,sigA
tdh,tdh
bioF,kbl
recQ,recQ
dnaG,dnaG
SMc01568,RHE_CH02956
carA,carA
SMc01570,noHit
SMc01571,noHit
SMc01572,noHit
SMc01577,noHit
aatA,aatAch
SMc01580,noHit
SMc01581,noHit
SMc01583,RHE_CH03002
SMc01584,RHE_CH03004
cspA3,cspA5
SMc01586,RHE_CH03006
SMc01587,RHE_CH03013
SMc01589,noHit
SMc01590,RHE_CH03012
SMc01591,noHit
SMc01592,RHE_CH03011
SMc01593,RHE_CH03010
SMc01595,RHE_CH03009
csaA,csaA
proC,proC
SMc02678,RHE_CH03016
SMc03744,RHE_CH03017
lgt,lgt
SMc02682,RHE_CH03019
SMc02683,RHE_CH03020
SMc02684,RHE_CH03021
SMc02685,RHE_CH03022
prsA,prsAch
SMc02687,noHit
SMc02688,RHE_CH03724
SMc02689,RHE_CH03723
SMc02690,RHE_CH03722
SMc02691,RHE_CH03068
rplY,rplY
pth,pth
clpS2,RHE_CH03030
engD,RHE_CH03031
SMc02696,RHE_CH03033
SMc02697,RHE_CH03034
apt,aptch
SMc02699,RHE_CH03048
SMc02700,papS
SMc02701,RHE_CH03050
SMc02702,RHE_CH03051
SMc02703,RHE_CH03052
SMc02704,RHE_CH03053
SMc02705,RHE_CH03054
SMc02706,RHE_CH03055
SMc02707,RHE_CH03060
SMc02708,RHE_CH03061
SMc02709,noHit
fic,noHit
SMc02711,RHE_CH03062
SMc02712,RHE_CH03063
rpoE3,rpoE3
SMc02714,RHE_CH03066
SMc02715,noHit
SMc02716,noHit
leuA1,leuA2
SMc02718,noHit
TRm22,RHE_PA00071
clpP2,clpP3
SMc02721,noHit
SMc02722,noHit
SMc02723,RHE_CH03071
SMc02724,RHE_CH03072
trpE,trpE
bhuR,RHE_CH03076
SMc02727,noHit
fhs,fhs
SMc02729,RHE_CH03082
SMc02730,noHit
TRm22,RHE_PA00071
SMc02732,noHit
SMc02733,noHit
SMc02734,noHit
SMc02735,noHit
tdk,tdk
choX,proX
choW,proW
choV,proV
SMc04457,RHE_CH03088
SMc01535,noHit
SMc01534,RHE_CH03090
adeC1,adeC1
SMc01532,RHE_CH03095
kdgK,kdgK
TRm5,noHit
dppF2,dppFch3
dppD2,dppDch3
dppC2,dppCch3
dppB2,dppBch3
dppA2,dppAch3
SMc01524,RHE_CH03991
emrE,RHE_CH03257
SMc01522,RHE_CH03258
ntrP,noHit
ntrR1,noHit
SMc01520,RHE_CH03259
SMc01519,RHE_CH03260
SMc01748,noHit
SMc01518,RHE_CH03262
SMc01517,RHE_CH03263
SMc01516,RHE_CH03264
SMc01515,noHit
SMc01514,RHE_CH03266
SMc01747,hmuP
hmuS,hmuS
hmuT,hmuT
hmuU,hmuU
hmuV,hmuV
SMc01509,RHE_CH03272
SMc01508,noHit
SMc01507,noHit
rpoE2,rpoE4
SMc01505,RHE_CH03274
SMc01504,tcrX
SMc01503,RHE_CH03676
SMc01502,RHE_CH03677
mtlK,mtlK
smoS,smoS
smoK,smoK
smoG,smoG
smoF,smoF
smoE,smoEch
smoC,smoC
SMc01814,RHE_CH03277
