Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
rplA,rplA,rplA,rplA,rplA,rplA,rplA,RL73_04280,Smed_0975,rplA,rplA,mlr0273,SMc01320,,,,,SMc01324,SMc01324
rplJ,rplJ,rplJ,rplJ,rplJ,rplJ,rplJ,RL73_04275,Smed_0976,rplJ,rplJ,mlr0274,SMc01319,,,,,secE,SMc01323
rplL,rplL,rplL,OV14_2403,rplL,NGR_c11820,rplL,RL73_04270,Smed_0977,rplL,rplL,mlr0275,SMc01318,,,,,nusG,SMc01322
rpoB,rpoB,rpoB,rpoB,rpoB,rpoB,rpoB,RL73_04265,Smed_0978,rpoB,rpoB,mlr0276,SMc01317,,,,,rplK,SMc01321
rpoC,rpoC,DK53_1223,rpoC,rpoC,rpoC,rpoC,noHit,Smed_0979,rpoC,rpoC,mlr0277,SMc01316,,,,,rplA,SMc01320
SMc01315,RHE_CH01669,DK53_1222,OV14_2406,noHit,NGR_c11850,SMc01315,noHit,Smed_0980,RL1768,Atu1952,msl0282,SMc01315,,,,,rplJ,SMc01319
rpsL,rpsL,rpsL,rpsL,rpsL,rpsL,rpsL,RL73_02160,Smed_0981,rpsL,rpsL,mlr0283,SMc01314,,,,,rplL,SMc01318
rpsG,rpsG,rpsG,rpsG,rpsG,rpsG,rpsG,RL73_02165,Smed_0982,rpsG,rpsG,mlr0284,SMc01313,,,,,rpoB,SMc01317
fusA1,fusA2,fusA,fusA,fusA,fusA,fusA1,fusA,Smed_0983,fus,fusA,mlr0286,SMc01312,,,,,rpoC,SMc01316
tufA,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,SMc01311,,,,,SMc01315,SMc01315
rpsJ,rpsJ,rpsJ,rpsJ,rpsJ,rpsJ,rpsJ,RL73_02180,Smed_0985,rpsJ,rpsJ,mlr0289,SMc01310,,,,,rpsL,SMc01314
rplC,rplC,rplC,rplC,rplC,rplC,rplC,RL73_02185,Smed_0986,rplC,rplC,mlr0291,SMc01309,,,,,rpsG,SMc01313
rplD,rplD,rplD,rplD,rplD,rplD,rplD,RL73_02190,Smed_0987,rplD,rplD,mlr0292,SMc01308,,,,,fusA1,SMc01312
rplW,rplW,rplW,rplW,rplW,rplW,rplW,RL73_02195,Smed_0988,rplW,rplW,msr0293,SMc01307,,,,,tufA,SMc01311
rplB,rplB,rplB,rplB,rplB,rplB,rplB,rplB,Smed_0989,rplB,rplB,mlr0295,SMc01306,,,,,rpsJ,SMc01310
rpsS,rpsS,rpsS,noHit,rpsS,rpsS,rpsS,RL73_02205,Smed_0990,rpsS,rpsS,msr0297,SMc01305,,,,,rplC,SMc01309
rplV,rplV,rplV,rplV,rplV,rplV,rplV,RL73_02210,Smed_0991,rplV,rplV,mlr0298,SMc01304,,,,,rplD,SMc01308
rpsC,rpsC,rpsC,rpsC,rpsC,rpsC,rpsC,RL73_02215,Smed_0992,rpsC,rpsC,mlr0300,SMc01303,,,,,rplW,SMc01307
rplP,rplP,rplP,rplP,rplP,rplP,rplP,RL73_02220,Smed_0993,rplP,rplP,mlr0301,SMc01302,,,,,rplB,SMc01306
rpmC,rpmC,rpmC,rpmC,rpmC,rpmC,rpmC,RL73_02225,Smed_0994,rpmC,rpmC,msr0303,SMc01301,,,,,rpsS,SMc01305
rpsQ,rpsQ,rpsQ,rpsQ,rpsQ,rpsQ,rpsQ,RL73_02230,Smed_0995,rpsQ,rpsQ,msr0304,SMc01300,,,,,rplV,SMc01304
rplN,rplN,rplN,rplN,rplN,rplN,rplN,RL73_02235,Smed_0996,rplN,rplN,mlr0305,SMc01299,,,,,rpsC,SMc01303
rplX,rplX,rplX,rplX,rplX,rplX,rplX,RL73_02240,Smed_0997,rplX,rplX,mlr0306,SMc01298,,,,,rplP,SMc01302
rplE,rplE,DK53_1204,rplE,rplE,rplE,rplE,RL73_02245,Smed_0998,rplE,rplE,mlr0308,SMc01297,,,,,rpmC,SMc01301
rpsN,rpsN,DK53_1203,rpsN,rpsN,rpsN,rpsN,RL73_02250,Smed_0999,rpsN,rpsN,mlr0309,SMc01296,,,,,rpsQ,SMc01300
rpsH,rpsH,DK53_1202,rpsH,rpsH,rpsH,rpsH,RL73_02255,Smed_1000,rpsH,rpsH,mlr0310,SMc01295,,,,,rplN,SMc01299
rplF,rplF,rplF,rplF,rplF,rplF,rplF,RL73_02260,Smed_1001,rplF,rplF,mlr0312,SMc01294,,,,,rplX,SMc01298
rplR,rplR,rplR,rplR,rplR,rplR,rplR,RL73_02265,Smed_1002,rplR,rplR,mlr0313,SMc01293,,,,,rplE,SMc01297
rpsE,rpsE,rpsE,rpsE,rpsE,rpsE,rpsE,RL73_02270,Smed_1003,rpsE,rpsE,mlr0315,SMc01292,,,,,rpsN,SMc01296
rpmD,rpmD,rpmD,noHit,rpmD,noHit,rpmD,RL73_02275,Smed_1004,rpmD,rpmD,msr0316,SMc01291,,,,,rpsH,SMc01295
rplO,rplO,rplO,rplO,rplO,rplO,rplO,RL73_02280,Smed_1005,rplO,rplO,mlr0318,SMc01290,,,,,rplF,SMc01294
secY,secY,secY,secY,prlA,secY,secY,RL73_02285,Smed_1006,secY,prlA,mlr0321,SMc01289,,,,,rplR,SMc01293
adk,adk,DK53_1195,OV14_2433,bll5379,NGR_c12110,adk,RL73_02290,Smed_1007,adk1,adk,mlr0322,SMc01288,,,,,rpsE,SMc01292
rpsM,rpsM,rpsM,OV14_2434,rpsM,NGR_c12120,rpsM,RL73_02295,Smed_1008,rpsM,rpsM,mlr0323,SMc01287,,,,,rpmD,SMc01291
rpsK,rpsK,rpsK,OV14_2435,rpsK,NGR_c12130,rpsK,RL73_02300,Smed_1009,rpsK,rpsK,mlr0324,SMc01286,,,,,rplO,SMc01290
rpoA,rpoA,rpoA,rpoA,rpoA,rpoA,rpoA,RL73_02305,Smed_1010,rpoA,rpoA,mlr0325,SMc01285,,,,,secY,SMc01289
rplQ,rplQ,rplQ,OV14_2437,rplQ,NGR_c12150,rplQ,RL73_02310,Smed_1011,rplQ,rplQ,mlr0326,SMc01283,,,,,adk,SMc01288
SMc01282,RHE_CH01702,DK53_2250,OV14_2438,noHit,NGR_c12160,SMc01282,noHit,Smed_1012,RL1801,Atu1920,noHit,SMc01282,,,,,rpsM,SMc01287
SMc01281,RHE_CH01703,DK53_2251,OV14_2439,noHit,NGR_c12170,SMc01281,noHit,Smed_1013,RL1802,Atu1919,noHit,SMc01281,,,,,rpsK,SMc01286
degP3,degPch3,DK53_1190,OV14_2440,bll5368,NGR_c12180,degP3,RL73_01785,Smed_1014,degQ,Atu1915,mlr0328,SMc01280,,,,,rpoA,SMc01285
SMc01279,RHE_CH01708,DK53_1189,OV14_2441,bll5367,NGR_c12190,SMc01279,noHit,Smed_1015,RL1807,Atu1914,mlr0329,SMc01279,,,,,rplQ,SMc01283
sugE,sugE,sugE,OV14_2442,bll4044,NGR_c12200,sugE,noHit,Smed_1016,RL2561,noHit,mlr4864,SMc01278,,,,,SMc01282,SMc01282
SMc01277,RHE_CH02234,DK53_991,OV14_2443,bll5364,NGR_c12210,SMc01277,noHit,Smed_1017,RL2565,Atu1473,noHit,SMc01277,,,,,SMc01281,SMc01281
gph2,gph1,DK53_990,OV14_2444,noHit,NGR_c12220,gph2,noHit,Smed_1018,RL2566,Atu1472,noHit,SMc01276,,,,,degP3,SMc01280
rluC,rluC,DK53_988,rluC,bll5366,rluC,rluC,RL73_05915,Smed_1019,rluC,rluC,mlr0334,SMc01275,,,,,SMc01279,SMc01279
crcB,RHE_CH02237,DK53_2408,crcB,bll2639,crcB,crcB,RL73_06210,Smed_1020,RL2568,crcB,mlr0333,SMc01274,,,,,sugE,SMc01278
SMc01273,RHE_PF00401,fghA,OV14_2447,blr6186,NGR_c12250,SMc01273,noHit,Smed_1021,esd,Atu1476,mlr7099,SMc01273,,,,,SMc01277,SMc01277
SMc01272,noHit,DK53_140,OV14_2448,bll0945,NGR_c12260,SMc01272,noHit,Smed_1022,RL4202,Atu1477,mlr0876,SMc01272,,,,,gph2,SMc01276
SMc01271,RHE_CH02229,DK53_1900,OV14_2449,bll3966,NGR_c12270,SMc01271,noHit,Smed_1023,RL2560,Atu1478,mlr0875,SMc01271,,,,,rluC,SMc01275
adhC1,adhCf,DK53_142,adhC6,noHit,adhC6,adhC1,noHit,Smed_1024,adhI,adhC,noHit,SMc01270,,,,,crcB,SMc01274
SMc01269,noHit,noHit,OV14_2451,noHit,NGR_c12290,SMc01269,noHit,Smed_1025,noHit,noHit,noHit,SMc01269,,,,,SMc01273,SMc01273
lipB,lipB,lipB,lipB,lipB,lipB,lipB,RL73_04665,Smed_1026,lipB,lipB,mlr1337,SMc01268,,,,,SMc01272,SMc01272
SMc01267,RHE_CH02817,noHit,OV14_b0485,bll6756,NGR_c12340,SMc01267,noHit,Smed_1027,prkA,noHit,mll9638,SMc01267,,,,,SMc01271,SMc01271
SMc01266,RHE_CH02816,noHit,OV14_b0484,bll6755,NGR_c12350,SMc01266,noHit,Smed_1028,RL3273,noHit,mll9637,SMc01266,,,,,adhC1,SMc01270
SMc01265,RHE_CH02815,noHit,OV14_b0483,bll6754,NGR_c12360,SMc01265,noHit,Smed_1029,RL3272,noHit,mll9636,SMc01265,,,,,SMc01269,SMc01269
SMc01264,noHit,noHit,OV14_2458,noHit,NGR_c12370,SMc01264,noHit,Smed_1030,noHit,Atu4134,noHit,SMc01264,,,,,lipB,SMc01268
SMc01263,noHit,noHit,noHit,noHit,noHit,SMc01263,noHit,Smed_1031,noHit,noHit,noHit,SMc01263,,,,,SMc01267,SMc01267
def2,def2,def,OV14_2460,def,NGR_c12380,def2,noHit,Smed_1032,def2,def,noHit,SMc01262,,,,,SMc01266,SMc01266
SMc01261,RHE_CH02218,mgtE,OV14_2461,bll5251,NGR_c12390,SMc01261,noHit,Smed_1033,RL2551,mgtE,mll1318,SMc01261,,,,,SMc01265,SMc01265
SMc01260,RHE_CH02217,DK53_1164,OV14_2462,noHit,NGR_c12400,SMc01260,noHit,Smed_1034,RL2550,Atu1546,mll1317,SMc01260,,,,,SMc01264,SMc01264
SMc01259,noHit,noHit,OV14_2463,noHit,NGR_c12410,SMc01259,noHit,noHit,noHit,noHit,mlr1316,SMc01259,,,,,SMc01263,SMc01263
SMc01258,RHE_CH02216,DK53_1163,OV14_2464,noHit,NGR_c12420,SMc01258,noHit,Smed_1035,RL2549,Atu1545,mlr1315,SMc01258,,,,,def2,SMc01262
SMc01257,RHE_CH02215,noHit,OV14_2465,blr5168,NGR_c12430,SMc01257,RL73_00940,Smed_1036,RL2548,Atu1544,mlr0671,SMc01257,,,,,SMc01261,SMc01261
sda,sda,DK53_1161,OV14_2466,noHit,NGR_c12440,sda,noHit,Smed_1037,sdaA,sdaA,mll0670,SMc01256,,,,,SMc01260,SMc01260
SMc00995,RHE_CH02213,DK53_1160,OV14_2467,bll5163,NGR_c12450,SMc00995,noHit,Smed_1038,RL2543,Atu1758,mll0669,SMc00995,,,,,SMc01259,SMc01259
SMc01068,RHE_CH02212,noHit,noHit,noHit,noHit,SMc01068,RL73_06305,Smed_1039,RL2542,Atu1506,noHit,SMc01068,,,,,SMc01258,SMc01258
SMc00996,RHE_CH02211,DK53_1158,OV14_2469,noHit,NGR_c12470,SMc00996,RL73_06300,Smed_1040,RL2541,dac,mlr0666,SMc00996,,,,,SMc01257,SMc01257
SMc00997,RHE_CH02210,noHit,OV14_2470,noHit,NGR_c12480,SMc00997,RL73_06295,Smed_1041,RL2540,Atu8090,mll0178,SMc00997,,,,,sda,SMc01256
SMc00998,RHE_CH02209,DK53_2051,OV14_2471,blr5569,NGR_c12490,SMc00998,RL73_05280,Smed_1042,RL2539,Atu1757,mll0183,SMc00998,,,,,SMc00995,SMc00995
SMc00999,RHE_CH02207,noHit,OV14_2473,blr5568,NGR_c12500,SMc00999,RL73_05285,Smed_1043,RL2537,Atu8163,mll0185,SMc00999,,,,,SMc01068,SMc01068
SMc01000,RHE_CH02206,noHit,OV14_2474,blr5553,NGR_c12510,SMc01000,noHit,Smed_1044,RL2536,Atu1754,mll0186,SMc01000,,,,,SMc00996,SMc00996
SMc01001,RHE_CH02205,DK53_1237,OV14_2475,noHit,NGR_c12530,SMc01001,noHit,Smed_1045,RL2535,Atu1753,mlr0187,SMc01001,,,,,SMc00997,SMc00997
SMc01002,RHE_CH02204,DK53_1236,OV14_2476,bll5551,NGR_c12540,SMc01002,noHit,Smed_1046,RL2534,Atu1752,mlr0188,SMc01002,,,,,SMc00998,SMc00998
SMc01003,RHE_CH02203,DK53_1065,OV14_2477,blr5550,NGR_c12550,SMc01003,noHit,Smed_1047,RL2533,Atu1751,mlr0925,SMc01003,,,,,SMc00999,SMc00999
hisI,hisI,DK53_1064,hisI,hisI,hisI,hisI,RL73_05295,Smed_1048,hisI,hisI,mlr0923,SMc01004,,,,,SMc01000,SMc01000
folE,folE,folE,folE,folE,folE,folE,RL73_05300,Smed_1049,folE,folE,mlr0922,SMc01005,,,,,SMc01001,SMc01001
SMc01006,nifUch2,DK53_1062,OV14_2480,blr5523,NGR_c12580,SMc01006,noHit,Smed_1050,RL2530,nifU,mll0920,SMc01006,,,,,SMc01002,SMc01002
SMc01007,RHE_CH02199,DK53_1061,noHit,blr5525,noHit,SMc01007,noHit,Smed_1051,noHit,Atu1747,mll0918,SMc01007,,,,,SMc01003,SMc01003
SMc01008,RHE_CH02198,noHit,OV14_2482,noHit,NGR_c12590,SMc01008,noHit,Smed_1052,noHit,noHit,noHit,SMc01008,,,,,hisI,SMc01004
SMc01009,RHE_CH02197,noHit,OV14_2483,noHit,NGR_c12600,SMc01009,noHit,Smed_1053,RL2529,Atu8091,mll0605,SMc01009,,,,,folE,SMc01005
thrS,thrS,thrS,thrS,thrS,thrS,thrS,RL73_03345,Smed_1054,thrS,thrS,mll0914,SMc01010,,,,,SMc01006,SMc01006
SMc01011,RHE_CH02195,DK53_1058,OV14_2486,bll5549,NGR_c12630,SMc01011,noHit,Smed_1055,RL2527,Atu1745,mlr0912,SMc01011,,,,,SMc01007,SMc01007
SMc01012,RHE_CH02194,DK53_1057,OV14_2487,blr5540,NGR_c12640,SMc01012,noHit,Smed_1056,RL2526,Atu1744,mll0911,SMc01012,,,,,SMc01008,SMc01008
SMc01013,RHE_CH02193,DK53_1056,OV14_2488,blr2425,NGR_c12650,SMc01013,noHit,Smed_1057,RL2525,Atu1743,mll0910,SMc01013,,,,,SMc01009,SMc01009
SMc01014,noHit,noHit,OV14_2489,noHit,NGR_c12660,SMc01014,noHit,Smed_1058,noHit,noHit,noHit,SMc01014,,,,,thrS,SMc01010
SMc01015,RHE_CH02192,noHit,OV14_2490,bll5519,NGR_c12670,SMc01015,RL73_02410,Smed_1059,RL2524,Atu1742,noHit,SMc01015,,,,,SMc01011,SMc01011
SMc01016,RHE_CH02191,noHit,OV14_2491,noHit,NGR_c12680,SMc01016,noHit,Smed_1060,RL2522,Atu1741,noHit,SMc01016,,,,,SMc01012,SMc01012
SMc01017,RHE_CH02190,noHit,OV14_2492,noHit,NGR_c12690,SMc01017,noHit,Smed_1061,RL2521,Atu1740,mll0676,SMc01017,,,,,SMc01013,SMc01013
parE,parE,parE,OV14_2493,gyrB,NGR_c12710,parE,noHit,Smed_1062,gyrB2,gyrB,mlr0901,SMc01018,,,,,SMc01014,SMc01014
SMc01019,RHE_CH02187,DK53_1270,OV14_2494,noHit,NGR_c12720,SMc01019,noHit,Smed_1063,RL2514,Atu1621,mlr0094,SMc01019,,,,,SMc01015,SMc01015
SMc01020,RHE_CH03425,noHit,OV14_2496,noHit,NGR_c12730,SMc01020,noHit,Smed_1064,noHit,noHit,mll1265,SMc01020,,,,,SMc01016,SMc01016
SMc01021,noHit,noHit,OV14_2500,noHit,NGR_c12740,SMc01021,noHit,Smed_1065,noHit,Atu1487,mll5048,SMc01021,,,,,SMc01017,SMc01017
SMc01022,noHit,noHit,OV14_2501,bll5701,noHit,SMc01022,noHit,Smed_1066,noHit,Atu1483,mll5049,SMc01022,,,,,parE,SMc01018
tpiA,tpiAch,tpiA,OV14_2506,tpiA,NGR_c12760,tpiA,RL73_02425,Smed_1067,tpiA,tpiA,mll0610,SMc01023,,,,,SMc01019,SMc01019
SMc01024,noHit,secG,noHit,secG,noHit,SMc01024,noHit,Smed_1068,noHit,secG,mll0609,SMc01024,,,,,SMc01020,SMc01020
pyrG,pyrG,pyrG,pyrG,pyrG,pyrG,pyrG,RL73_02435,Smed_1069,pyrG,pyrG,mll0606,SMc01025,,,,,SMc01021,SMc01021
SMc01026,RHE_CH01929,noHit,OV14_2514,noHit,NGR_c12780,SMc01026,noHit,Smed_1070,RL2237,Atu1423,mlr0372,SMc01026,,,,,SMc01022,SMc01022
kdsA,kdsA,kdsA,OV14_2515,kdsA,NGR_c12790,kdsA,RL73_05570,Smed_1071,kdsA,kdsA,mlr0374,SMc01027,,,,,tpiA,SMc01023
eno,eno,eno,OV14_2516,eno,NGR_c12800,eno,eno,Smed_1072,eno,eno,mlr0378,SMc01028,,,,,SMc01024,SMc01024
SMc01029,RHE_CH01932,DK53_1120,OV14_2517,bll4786,NGR_c12810,SMc01029,RL73_05580,Smed_1075,RL2240,Atu1428,mlr0382,SMc01029,,,,,pyrG,SMc01025
pdhAa,pdhA1,pdhA,pdhA2,pdhA,pdhA2,pdhAa,RL73_05585,Smed_1076,pdhA,pdhA,mlr0383,SMc01030,,,,,SMc01026,SMc01026
pdhAb,pdhA2,DK53_1118,pdhB3,pdhB,pdhB3,pdhAb,RL73_05590,Smed_1077,pdhB,pdhB,mlr0384,SMc01031,,,,,kdsA,SMc01027
pdhC,pdhB,DK53_1117,OV14_2520,bll4779,NGR_c12850,pdhC,RL73_05595,Smed_1078,pdhC,aceF,mlr0385,SMc01032,,,,,eno,SMc01028
SMc01033,RHE_CH01936,noHit,OV14_2521,noHit,NGR_c12860,SMc01033,noHit,Smed_1079,RL2244,Atu1433,mlr0387,SMc01033,,,,,SMc01029,SMc01029
SMc01034,RHE_CH01937,noHit,OV14_2522,noHit,NGR_c12870,SMc01034,noHit,Smed_1080,RL2245,noHit,noHit,SMc01034,,,,,pdhAa,SMc01030
lpdA1,lpdAch1,lpdA,OV14_2523,bll4778,NGR_c12880,lpdA1,RL73_05600,Smed_1081,RL2246,lpdA,mlr0388,SMc01035,,,,,pdhAb,SMc01031
SMc01036,RHE_CH02171,DK53_952,OV14_2524,noHit,NGR_c12890,SMc01036,noHit,Smed_1082,RL1172,Atu1634,msr0389,SMc01036,,,,,pdhC,SMc01032
lipA,lipA,lipA,lipA1,lipA,lipA2,lipA,RL73_05605,Smed_1083,RL2249,lipA,mlr0392,SMc00067,,,,,SMc01033,SMc01033
SMc04865,noHit,noHit,noHit,noHit,noHit,SMc04865,noHit,noHit,noHit,noHit,noHit,SMc04865,,,,,SMc01034,SMc01034
SMc01038,RHE_CH01943,DK53_1113,OV14_2528,blr4478,NGR_c12920,SMc01038,RL73_05610,Smed_1085,RL2252,Atu1441,mlr0393,SMc01038,,,,,lpdA1,SMc01035
SMc01039,cinA2,cinA,cinA,bll4484,cinA,SMc01039,RL73_05615,Smed_1086,RL2253,cinA,mll0394,SMc01039,,,,,SMc01036,SMc01036
ispDF,ispDF,ispD,OV14_2530,bll4485,NGR_c12940,ispDF,noHit,Smed_1087,ispDF,ispF,mll0395,SMc01040,,,,,lipA,SMc01037
dusB,nifR,DK53_1110,nifR,nifR,nifR,dusB,noHit,Smed_1088,dus,nifR,mlr0396,SMc01041,,,,,SMc04865,SMc04865
ntrB,ntrB,DK53_1109,ntrB,ntrB,ntrB,ntrB,noHit,Smed_1089,ntrB,ntrB,mlr0397,SMc01042,,,,,SMc01038,SMc01038
ntrC,ntrC,ntrC,ntrC,ntrC,ntrC,ntrC,noHit,Smed_1090,glnG,ntrC,mlr0398,SMc01043,,,,,SMc01039,SMc01039
ntrY,ntrY,DK53_1107,OV14_2534,ntrY,NGR_c12980,ntrY,RL73_01645,Smed_1091,ntrY,ntrY,mlr0399,SMc01044,,,,,ispDF,SMc01040
ntrX,ntrX,DK53_1106,ntrX,ntrX,ntrX,ntrX,RL73_01650,Smed_1092,ntrX,ntrX,mlr0400,SMc01045,,,,,dusB,SMc01041
trkA,noHit,DK53_1105,noHit,noHit,noHit,trkA,noHit,Smed_1093,noHit,trkA,noHit,SMc01046,,,,,ntrB,SMc01042
SMc01047,RHE_CH01953,noHit,OV14_2537,noHit,NGR_c13000,SMc01047,noHit,Smed_1094,RL2283,noHit,mlr0401,SMc01047,,,,,ntrC,SMc01043
hfq,nfrA,hfq,OV14_2538,bsr4491,NGR_c13010,hfq,noHit,Smed_1095,hfq,hfq,mlr0402,SMc01048,,,,,ntrY,SMc01044
hflX,hflX,hflX,OV14_2539,hflx,NGR_c13020,hflX,RL73_05875,Smed_1096,hflX,hflx,mlr0403,SMc01049,,,,,ntrX,SMc01045
TRm20,RHE_PA00091,noHit,noHit,noHit,noHit,TRm20,noHit,noHit,RL0792,noHit,noHit,SMc00343,,,,,trkA,SMc01046
SMc01051,mazG,DK53_1055,OV14_2540,bll4494,NGR_c13030,SMc01051,noHit,Smed_1097,RL2286,mazG,mll0404,SMc01051,,,,,SMc01047,SMc01047
SMc01052,RHE_CH01957,DK53_2555,OV14_2541,noHit,NGR_c13040,SMc01052,noHit,Smed_1098,RL2287,Atu1453,mll5129,SMc01052,,,,,hfq,SMc01048
cysG,cysG,cobA,cysG,blr1477,cysG,cysG,noHit,Smed_1099,cysG2,cysG,mll3232,SMc01053,,,,,hflX,SMc01049
SMc01054,RHE_CH01959,DK53_190,OV14_2543,blr1478,NGR_c13060,SMc01054,noHit,Smed_1100,RL2289,Atu1455,msl3231,SMc01054,,,,,TRm20,SMc01050
cysI,cysI,DK53_191,OV14_2544,blr1479,NGR_c13070,cysI,noHit,Smed_1101,cysI,cysI,mll3230,SMc02124,,,,,SMc01051,SMc01051
SMc02123,RHE_CH01961,DK53_193,OV14_2545,blr1480,NGR_c13080,SMc02123,noHit,Smed_1102,RL2291,Atu1457,mll3227,SMc02123,,,,,SMc01052,SMc01052
fpr,fpr,fpr,OV14_2546,mvrA,NGR_c13090,fpr,RL73_01255,Smed_1103,RL2369,mvrA,mll4785,SMc02122,,,,,cysG,SMc01053
relE,noHit,noHit,noHit,noHit,noHit,relE,noHit,noHit,noHit,noHit,noHit,SMc04436,,,,,SMc01054,SMc01054
aapP,aapP,DK53_750,aapP,blr4449,aapP,aapP,RL73_04465,Smed_1105,aapP,Atu1580,mlr8154,SMc02121,,,,,cysI,SMc02124
aapM,aapM,DK53_749,aapM,blr2913,aapM,aapM,RL73_04460,Smed_1106,aapM,Atu1579,mlr8153,SMc02120,,,,,SMc02123,SMc02123
aapQ,aapQ,noHit,aapQ,blr4447,aapQ,aapQ,RL73_04455,Smed_1107,aapQ,Atu1578,mlr8151,SMc02119,,,,,fpr,SMc02122
aapJ,aapJ,DK53_746,OV14_2558,blr4446,NGR_c13170,aapJ,RL73_04450,Smed_1108,aapJ,Atu1577,mlr8149,SMc02118,,,,,relE,SMc04436
metC,metC,metC,metC,metC,metC,metC,noHit,Smed_1109,metC,metC,mll8145,SMc02117,,,,,aapP,SMc02121
SMc02116,nah,DK53_751,OV14_2560,nah,NGR_c13190,SMc02116,RL73_04445,Smed_1110,RL2206,nah,mll8158,SMc02116,,,,,aapM,SMc02120
SMc02115,RHE_CH01901,DK53_752,OV14_2561,bsr5590,noHit,SMc02115,RL73_04440,Smed_1111,RL2207,Atu1573,noHit,SMc02115,,,,,aapQ,SMc02119
SMc02114,RHE_CH01902,DK53_1244,OV14_2562,bll5588,NGR_c13210,SMc02114,RL73_04435,Smed_1112,RL2208,Atu1572,mlr0170,SMc02114,,,,,aapJ,SMc02118
cysE,cysE1,cysE,cysE,cysE,cysE,cysE,noHit,Smed_1113,cysE1,cysE,mlr0175,SMc02113,,,,,metC,SMc02117
SMc02112,RHE_CH01904,DK53_1242,noHit,bsl5585,noHit,SMc02112,RL73_04430,Smed_1114,RL2210,Atu1570,noHit,SMc02112,,,,,SMc02116,SMc02116
SMc02111,RHE_CH01905,noHit,OV14_2566,bll5155,NGR_c13240,SMc02111,noHit,Smed_1115,RL2211,noHit,mll0665,SMc02111,,,,,SMc02115,SMc02115
clpS1,clpS,clpS,clpS2,yljA,clpS2,clpS1,RL73_04425,Smed_1116,clpS1,clpS,mll0664,SMc02110,,,,,SMc02114,SMc02114
clpA,clpA,clpA,clpA,bll5153,clpA,clpA,clpA,Smed_1117,clpA,clpA,mll0663,SMc02109,,,,,cysE,SMc02113
SMc02108,noHit,noHit,OV14_2569,bll5138,NGR_c13270,SMc02108,noHit,Smed_1118,noHit,Atu8156,noHit,SMc02108,,,,,SMc02112,SMc02112
SMc02107,noHit,noHit,OV14_2570,bll5137,NGR_c13280,SMc02107,noHit,Smed_1119,noHit,Atu1366,noHit,SMc02107,,,,,SMc02111,SMc02111
SMc02106,RHE_CH01908,DK53_1155,OV14_2571,blr5135,NGR_c13290,SMc02106,RL73_00375,Smed_1120,RL2215,Atu1369,mlr0662,SMc02106,,,,,clpS1,SMc02110
SMc02105,RHE_CH01909,DK53_1154,OV14_2572,blr5134,NGR_c13300,SMc02105,noHit,Smed_1121,RL2216,Atu1370,mlr0661,SMc02105,,,,,clpA,SMc02109
SMc02104,RHE_CH01910,DK53_1153,OV14_2573,blr5133,NGR_c13310,SMc02104,noHit,Smed_1122,RL2217,Atu1371,mlr0660,SMc02104,,,,,SMc02108,SMc02108
SMc02103,RHE_CH01911,DK53_1152,OV14_2574,blr5132,NGR_c13320,SMc02103,noHit,Smed_1123,RL2218,Atu1372,mlr0658,SMc02103,,,,,SMc02107,SMc02107
SMc02102,RHE_CH01912,DK53_1151,OV14_2575,bll5131,NGR_c13330,SMc02102,noHit,Smed_1124,RL2219,Atu1373,mll0656,SMc02102,,,,,SMc02106,SMc02106
rpsB,rpsB,rpsB,OV14_2576,bll4861,NGR_c13340,rpsB,RL73_00380,Smed_1131,rpsB,rpsB,mll0651,SMc02101,,,,,SMc02105,SMc02105
tsf,tsf,tsf,OV14_2577,tsf,NGR_c13350,tsf,noHit,Smed_1132,tsf,tsf,mll0650,SMc02100,,,,,SMc02104,SMc02104
pyrH,pyrH,pyrH,pyrH,pyrH,pyrH,pyrH,pyrH,Smed_1133,pyrH,pyrH,mll0643,SMc02099,,,,,SMc02103,SMc02103
rrf,rrf,frr,OV14_2579,rrf,NGR_c13370,rrf,RL73_00395,Smed_1134,frr,rrf,mll0642,SMc02098,,,,,SMc02102,SMc02102
uppS,uppS,uppS,lpxD,uppS,lpxD,uppS,RL73_00400,Smed_1135,uppS,uppS,mll0640,SMc02097,,,,,rpsB,SMc02101
cdsA,cdsAch,DK53_1144,OV14_2581,noHit,NGR_c13390,cdsA,RL73_00405,Smed_1136,cdsA,cdsA,mll0639,SMc02096,,,,,tsf,SMc02100
SMc02095,RHE_CH01919,rseP,OV14_2582,bll4854,NGR_c13400,SMc02095,RL73_00410,Smed_1137,ecfE,Atu1380,mll0638,SMc02095,,,,,pyrH,SMc02099
omp,omp1,yaeT,OV14_2583,blr3712,NGR_c13410,omp,RL73_00415,Smed_1138,RL2228,omp1,mll0636,SMc02094,,,,,rrf,SMc02098
