Locus,Sinorhizobium_meliloti_Rm1021,pSymAB
SMc00852,SMc00852,noHit
SMc00851,SMc00851,noHit
SMc00850,SMc00850,noHit
SMc00849,SMc00849,noHit
SMc00993,SMc00993,noHit
SMc00992,SMc00992,noHit
SMc00991,SMc00991,noHit
SMc00990,SMc00990,noHit
SMc00994,SMc00994,noHit
SMc00989,SMc00989,noHit
SMc00988,SMc00988,noHit
SMc00987,SMc00987,noHit
SMc00986,SMc00986,noHit
SMc00985,SMc00985,SMa0244
SMc00984,SMc00984,noHit
SMc00983,SMc00983,noHit
SMc00982,SMc00982,SMa0751
SMc00981,SMc00981,SMa0752
SMc00980,SMc00980,noHit
SMc00979,SMc00979,noHit
SMc00978,SMc00978,noHit
SMc00977,SMc00977,noHit
SMc00976,SMc00976,noHit
SMc00975,SMc00975,noHit
SMc00974,SMc00974,noHit
SMc00973,SMc00973,noHit
SMc00972,SMc00972,noHit
SMc00971,SMc00971,SMa0352
SMc00970,SMc00970,noHit
SMc00969,SMc00969,noHit
SMc00968,SMc00968,noHit
SMc00967,SMc00967,noHit
SMc00966,SMc00966,noHit
SMc00965,SMc00965,noHit
SMc00964,SMc00964,noHit
SMc00963,SMc00963,noHit
SMc00962,SMc00962,noHit
SMc00961,SMc00961,noHit
SMc00960,SMc00960,noHit
SMc00068,SMc00068,noHit
SMc00001,SMc00001,noHit
SMc00069,SMc00069,noHit
SMc00002,SMc00002,noHit
SMc00003,SMc00003,noHit
SMc00005,SMc00005,noHit
SMc00006,SMc00006,SMa0527
SMc00070,SMc00070,noHit
SMc00007,SMc00007,noHit
SMc00008,SMc00008,noHit
SMc00071,SMc00071,noHit
SMc00009,SMc00009,noHit
SMc00010,SMc00010,SM_b21488
SMc00450,SMc00450,noHit
SMc00130,SMc00130,noHit
SMc00012,SMc00012,noHit
SMc00013,SMc00013,noHit
SMc00014,SMc00014,noHit
SMc00085,SMc00085,noHit
SMc00016,SMc00016,noHit
SMc00017,SMc00017,noHit
SMc00018,SMc00018,noHit
SMc00072,SMc00072,noHit
SMc00073,SMc00073,noHit
SMc00019,SMc00019,noHit
SMc00074,SMc00074,noHit
SMc00075,SMc00075,noHit
SMc00451,SMc00451,noHit
SMc00077,SMc00077,SMa0485
SMc00020,SMc00020,noHit
SMc00078,SMc00078,noHit
SMc00079,SMc00079,noHit
SMc00080,SMc00080,noHit
SMc00021,SMc00021,noHit
SMc00081,SMc00081,noHit
SMc00452,SMc00452,noHit
SMc00022,SMc00022,noHit
SMc00023,SMc00023,noHit
SMc00024,SMc00024,noHit
SMc00025,SMc00025,noHit
SMc00083,SMc00083,noHit
SMc00084,SMc00084,noHit
SMc00026,SMc00026,noHit
SMc00087,SMc00087,noHit
SMc00027,SMc00027,noHit
SMc00028,SMc00028,noHit
SMc00088,SMc00088,noHit
SMc00029,SMc00029,noHit
SMc00089,SMc00089,noHit
SMc00090,SMc00090,SM_b21224
SMc00091,SMc00091,SMa0855
SMc00092,SMc00092,noHit
SMc00030,SMc00030,noHit
SMc00031,SMc00031,noHit
SMc00093,SMc00093,noHit
SMc00094,SMc00094,SMa1731
SMc00127,SMc00127,noHit
SMc00095,SMc00095,SMa1726
SMc00032,SMc00032,noHit
SMc00033,SMc00033,noHit
SMc00034,SMc00034,SMa0041
SMc00096,SMc00096,noHit
SMc00035,SMc00035,noHit
SMc00036,SMc00036,noHit
SMc00037,SMc00037,SM_b20847
SMc00097,SMc00097,SM_b20420
SMc00038,SMc00038,noHit
SMc00039,SMc00039,SM_b21516
SMc00098,SMc00098,noHit
SMc00040,SMc00040,SMa2389
SMc00099,SMc00099,noHit
SMc00100,SMc00100,noHit
SMc00041,SMc00041,noHit
SMc00101,SMc00101,SMa1410
SMc00225,SMc00225,noHit
SMc00103,SMc00103,noHit
SMc00104,SMc00104,noHit
SMc00105,SMc00105,noHit
SMc00042,SMc00042,noHit
SMc00106,SMc00106,noHit
SMc00043,SMc00043,noHit
SMc00107,SMc00107,noHit
SMc00044,SMc00044,noHit
SMc00045,SMc00045,noHit
SMc00086,SMc00086,noHit
SMc00108,SMc00108,noHit
SMc00109,SMc00109,SM_b21579
SMc00047,SMc00047,SMa1952
SMc00110,SMc00110,noHit
SMc00453,SMc00453,noHit
SMc00112,SMc00112,noHit
SMc00454,SMc00454,noHit
SMc00114,SMc00114,noHit
SMc00115,SMc00115,noHit
SMc00048,SMc00048,noHit
SMc00049,SMc00049,noHit
SMc00455,SMc00455,noHit
SMc00116,SMc00116,noHit
SMc00117,SMc00117,SMa1894
SMc00051,SMc00051,noHit
SMc00052,SMc00052,noHit
SMc00053,SMc00053,noHit
SMc00054,SMc00054,noHit
SMc00055,SMc00055,noHit
SMc00056,SMc00056,noHit
SMc00057,SMc00057,noHit
SMc00058,SMc00058,SMa0748
SMc00118,SMc00118,noHit
SMc00456,SMc00456,noHit
SMc00059,SMc00059,noHit
SMc00060,SMc00060,noHit
SMc00061,SMc00061,noHit
SMc00120,SMc00120,noHit
SMc00062,SMc00062,noHit
SMc00063,SMc00063,noHit
SMc00128,SMc00128,noHit
SMc00457,SMc00457,noHit
SMc00122,SMc00122,noHit
SMc00064,SMc00064,noHit
SMc00123,SMc00123,noHit
SMc00065,SMc00065,noHit
SMc00458,SMc00458,SM_b20722
SMc00129,SMc00129,noHit
SMc00067,SMc00067,noHit
SMc02361,SMc02361,noHit
SMc02362,SMc02362,noHit
SMc02363,SMc02363,noHit
SMc02364,SMc02364,noHit
SMc02365,SMc02365,SMa1128
SMc02366,SMc02366,noHit
SMc02367,SMc02367,noHit
SMc02368,SMc02368,noHit
SMc02369,SMc02369,noHit
SMc02370,SMc02370,noHit
SMc02371,SMc02371,noHit
SMc02372,SMc02372,noHit
SMc02373,SMc02373,noHit
SMc02374,SMc02374,noHit
SMc02375,SMc02375,SM_b21448
SMc02376,SMc02376,noHit
SMc02377,SMc02377,noHit
SMc02378,SMc02378,SM_b21572
SMc02379,SMc02379,SMa1467
SMc02380,SMc02380,noHit
SMc02381,SMc02381,SM_b21289
SMc02382,SMc02382,noHit
SMc02383,SMc02383,SM_b20807
SMc02384,SMc02384,noHit
SMc02385,SMc02385,noHit
SMc02386,SMc02386,noHit
SMc02387,SMc02387,noHit
SMc02388,SMc02388,noHit
SMc02389,SMc02389,noHit
SMc02390,SMc02390,noHit
SMc02391,SMc02391,noHit
SMc02392,SMc02392,noHit
SMc02393,SMc02393,noHit
SMc02394,SMc02394,noHit
SMc02461,SMc02461,noHit
SMc02396,SMc02396,noHit
SMc02397,SMc02397,noHit
SMc02398,SMc02291,SM_b20305
SMc02399,SMc02289,SM_b20304
SMc02400,SMc02400,noHit
SMc02401,SMc02401,noHit
SMc02403,SMc02403,noHit
SMc02404,SMc02404,SM_b20299
SMc02405,SMc02405,noHit
SMc02406,SMc02406,noHit
SMc02422,SMc02422,noHit
SMc02407,SMc02407,SMa1264
SMc02408,SMc02408,noHit
SMc02659,SMc02659,noHit
SMc02658,SMc02658,noHit
SMc02657,SMc02657,noHit
SMc02656,SMc02656,noHit
SMc02655,SMc02655,noHit
SMc02654,SMc02654,noHit
SMc02653,SMc02653,noHit
SMc02652,SMc02652,noHit
SMc02651,SMc02651,noHit
SMc02650,SMc02650,noHit
SMc02649,SMc02649,noHit
SMc02648,SMc02648,noHit
SMc02647,SMc02647,SM_b21576
SMc02646,SMc02646,noHit
SMc02645,SMc02645,noHit
SMc02644,SMc02644,noHit
SMc02642,SMc02642,noHit
SMc02641,SMc02641,noHit
SMc02640,SMc02640,noHit
SMc02639,SMc02639,noHit
SMc02638,SMc02638,noHit
SMc02637,SMc02637,noHit
SMc02636,SMc02636,noHit
SMc02635,SMc02635,noHit
SMc02634,SMc02634,noHit
SMc02633,SMc02633,noHit
SMc02632,SMc02632,noHit
SMc02631,SMc02631,noHit
SMc02603,SMc02603,noHit
SMc02601,SMc02601,noHit
SMc02599,SMc02599,noHit
SMc02598,SMc02598,noHit
SMc02597,SMc02597,noHit
SMc02661,SMc02661,noHit
SMc02571,SMc02571,noHit
SMc02660,SMc02660,noHit
SMc02565,SMc02565,noHit
SMc02561,SMc02561,noHit
SMc02559,SMc02559,noHit
SMc02558,SMc02558,noHit
SMc02557,SMc02557,noHit
SMc02556,SMc02556,noHit
SMc02555,SMc02555,noHit
SMc02554,SMc02554,noHit
SMc02553,SMc02553,noHit
SMc02552,SMc02552,noHit
SMc02551,SMc02551,noHit
SMc02550,SMc02550,noHit
SMc02549,SMc02549,noHit
SMc02548,SMc02548,SM_b21378
SMc02547,SMc02547,noHit
SMc02546,SMc02546,noHit
SMc02545,SMc02545,noHit
SMc02544,SMc02544,noHit
SMc02543,SMc02543,noHit
SMc00550,SMc00550,noHit
SMc00551,SMc00551,noHit
SMc00552,SMc00552,noHit
SMc00553,SMc00553,noHit
SMc00554,SMc00554,noHit
SMc00555,SMc00555,noHit
SMc00556,SMc00556,noHit
SMc00557,SMc00557,noHit
SMc00558,SMc00558,noHit
SMc00559,SMc00559,noHit
SMc00560,SMc00560,noHit
SMc00561,SMc00561,noHit
SMc00562,SMc00562,noHit
SMc00563,SMc00563,noHit
SMc00564,SMc00564,noHit
SMc00565,SMc00565,noHit
SMc00566,SMc00566,noHit
SMc00567,SMc00567,noHit
SMc00568,SMc00568,noHit
SMc00569,SMc00569,noHit
SMc00570,SMc00570,noHit
SMc00571,SMc00571,noHit
SMc00572,SMc00572,SMa0854
SMc00573,SMc00573,SM_b22009
SMc00574,SMc00574,SMa0853
SMc00575,SMc00575,noHit
SMc00576,SMc00576,noHit
SMc00577,SMc00577,noHit
SMc00578,SMc00578,noHit
SMc00579,SMc00579,noHit
SMc00580,SMc00580,SM_b20146
SMc00581,SMc00581,noHit
SMc00582,SMc00582,noHit
SMc00583,SMc00583,noHit
SMc00584,SMc00584,noHit
SMc00585,SMc00585,noHit
SMc00586,SMc00586,noHit
SMc00588,SMc00588,noHit
SMc00589,SMc00589,noHit
SMc00590,SMc00590,SMa0036
SMc00591,SMc00591,noHit
SMc00592,SMc00592,noHit
SMc00593,SMc00593,noHit
SMc00594,SMc00594,noHit
SMc00595,SMc00595,noHit
SMc00596,SMc00596,noHit
SMc00597,SMc00597,noHit
SMc00598,SMc00598,noHit
SMc00599,SMc00599,noHit
SMc00600,SMc00600,noHit
SMc00601,SMc00601,noHit
SMc00602,SMc00602,noHit
SMc00603,SMc00603,noHit
SMc00604,SMc00604,noHit
SMc00605,SMc00605,noHit
SMc00606,SMc00606,noHit
SMc00607,SMc00607,noHit
SMc00608,SMc00608,noHit
SMc00609,SMc00609,noHit
SMc00610,SMc00610,noHit
SMc00611,SMc00611,noHit
SMc00612,SMc00612,noHit
SMc00613,SMc00613,noHit
SMc00614,SMc00614,noHit
SMc00615,SMc00615,noHit
SMc00616,SMc00616,noHit
SMc00617,SMc00617,noHit
SMc00618,SMc00618,noHit
SMc00619,SMc00619,noHit
SMc00620,SMc00620,noHit
SMc00621,SMc00621,noHit
SMc00622,SMc00622,noHit
SMc01754,SMc01754,noHit
SMc01755,SMc01755,noHit
SMc01756,SMc01756,noHit
SMc01757,SMc01757,noHit
SMc01758,SMc01758,SM_b21566
SMc01759,SMc01759,noHit
SMc01760,SMc01760,noHit
SMc01761,SMc01761,noHit
SMc01762,SMc01762,noHit
SMc01763,SMc01763,noHit
SMc01764,SMc01764,noHit
SMc01765,SMc01765,noHit
SMc01766,SMc01766,noHit
SMc01767,SMc01767,noHit
SMc01768,SMc01768,SM_b21317
SMc01769,SMc01769,noHit
SMc01770,SMc01770,SMa2135
SMc01771,SMc01771,noHit
SMc01772,SMc01772,noHit
SMc01773,SMc01773,noHit
SMc01774,SMc01774,noHit
SMc01775,SMc01775,noHit
SMc01776,SMc01776,noHit
SMc01777,SMc01777,noHit
SMc01778,SMc01778,noHit
SMc01779,SMc01779,noHit
SMc01780,SMc01780,noHit
SMc01781,SMc01781,noHit
SMc01782,SMc01782,noHit
SMc01783,SMc01783,noHit
SMc01784,SMc01784,noHit
SMc01785,SMc01785,noHit
SMc01786,SMc01786,noHit
SMc01787,SMc01787,noHit
SMc01788,SMc01788,noHit
SMc01789,SMc01789,noHit
SMc01902,SMc01902,noHit
SMc01790,SMc01790,noHit
SMc01791,SMc01791,noHit
SMc01792,SMc01792,noHit
SMc01793,SMc01793,noHit
SMc01794,SMc01794,noHit
SMc01795,SMc01795,noHit
SMc01796,SMc01796,noHit
SMc01797,SMc01797,noHit
SMc01798,SMc01798,SM_b21213
SMc01799,SMc01799,noHit
SMc01800,SMc01800,noHit
SMc01801,SMc01801,noHit
SMc01802,SMc01802,noHit
SMc01803,SMc01803,noHit
SMc01804,SMc01804,noHit
SMc01805,SMc01805,noHit
SMc01806,SMc01806,noHit
SMc01807,SMc01807,noHit
SMc01808,SMc01808,noHit
SMc01809,SMc01809,noHit
SMc01810,SMc01810,SMa1840
SMc04433,SMc04433,noHit
SMc01811,SMc01811,noHit
SMc01812,SMc01812,noHit
SMc01813,SMc01813,SM_b20092
SMc04448,SMc04448,noHit
SMc01903,SMc01903,noHit
SMc01904,SMc01904,noHit
SMc01905,SMc01905,noHit
SMc01906,SMc01906,noHit
SMc01907,SMc01907,noHit
SMc01908,SMc01908,noHit
SMc01909,SMc01909,noHit
SMc01910,SMc01910,noHit
SMc01911,SMc01911,SMa5026
SMc01912,SMc01912,SMa1533
SMc01913,SMc01913,SMa1532
SMc01914,SMc01914,SMa1531
SMc01915,SMc01915,SMa1529
SMc01916,SMc01916,noHit
SMc01917,SMc01917,noHit
SMc01918,SMc01918,SMa1525
SMc01919,SMc01919,noHit
SMc01920,SMc01920,noHit
SMc01921,SMc01921,SMa1516
SMc01922,SMc01922,SMa1519
SMc01923,SMc01923,SMa1545
SMc01924,SMc01924,SMa1544
SMc01925,SMc01925,noHit
SMc01926,SMc01926,SMa1536
SMc01927,SMc01927,SMa1535
SMc01928,SMc01928,noHit
SMc01929,SMc01929,noHit
SMc01930,SMc01930,SM_b21154
SMc01931,SMc01931,noHit
SMc01932,SMc01932,noHit
SMc01933,SMc01933,noHit
SMc01934,SMc01934,noHit
SMc01935,SMc01935,noHit
SMc01376,SMc01376,noHit
SMc01375,SMc01375,noHit
SMc01374,SMc01374,noHit
SMc01373,SMc01373,SMa2355
SMc01372,SMc01372,noHit
SMc01371,SMc01371,SM_b20357
SMc01370,SMc01370,noHit
SMc01369,SMc01369,noHit
SMc01368,SMc01368,noHit
SMc01367,SMc01367,noHit
SMc01366,SMc01366,noHit
SMc01365,SMc01365,noHit
SMc01364,SMc01364,noHit
SMc01363,SMc01363,noHit
SMc01362,SMc01362,noHit
SMc01361,SMc01361,noHit
SMc01360,SMc01360,noHit
SMc01359,SMc01359,noHit
SMc01358,SMc01358,noHit
SMc01357,SMc01357,noHit
SMc01356,SMc01356,noHit
SMc01355,SMc01355,noHit
SMc01354,SMc01354,noHit
SMc01353,SMc01353,noHit
SMc01352,SMc01352,SMa1377
SMc01351,SMc01351,noHit
SMc01350,SMc01350,noHit
SMc01349,SMc01349,noHit
SMc01348,SMc01348,noHit
SMc01347,SMc01347,noHit
SMc01346,SMc01346,noHit
SMc01345,SMc01345,SM_b20756
SMc01344,SMc01344,noHit
SMc01343,SMc01343,noHit
SMc01342,SMc01342,noHit
SMc01341,SMc01341,noHit
SMc01340,SMc01340,noHit
SMc01339,noHit,noHit
SMc01338,noHit,noHit
SMc01337,SMc01337,noHit
SMc01336,SMc01336,noHit
SMc01335,SMc01335,noHit
SMc01334,SMc01334,SMa2294
SMc01333,SMc01333,noHit
SMc01332,SMc01332,noHit
SMc01331,SMc01331,noHit
SMc04435,SMc04435,noHit
SMc01330,SMc01330,noHit
SMc01329,SMc01329,noHit
SMc01328,SMc01328,noHit
SMc01327,SMc01327,noHit
SMc01326,SMc01326,noHit
SMc01325,SMc01325,noHit
SMc01324,SMc01324,noHit
SMc01323,SMc01323,noHit
SMc01322,SMc01322,noHit
SMc01321,SMc01321,noHit
SMc01320,SMc01320,noHit
SMc01319,SMc01319,noHit
SMc01318,SMc01318,noHit
SMc01317,SMc01317,noHit
SMc01316,SMc01316,noHit
SMc01315,SMc01315,noHit
SMc01314,SMc01314,noHit
SMc01313,SMc01313,noHit
SMc01312,SMc01312,noHit
SMc01311,noHit,noHit
SMc01310,SMc01310,noHit
SMc01309,SMc01309,noHit
SMc01308,SMc01308,noHit
SMc01307,SMc01307,noHit
SMc01306,SMc01306,noHit
SMc01305,SMc01305,noHit
SMc01304,SMc01304,noHit
SMc01303,SMc01303,noHit
SMc01302,SMc01302,noHit
SMc01301,SMc01301,noHit
SMc01300,SMc01300,noHit
SMc01299,SMc01299,noHit
SMc01298,SMc01298,noHit
SMc01297,SMc01297,noHit
SMc01296,SMc01296,noHit
SMc01295,SMc01295,noHit
SMc01294,SMc01294,noHit
SMc01293,SMc01293,noHit
SMc01292,SMc01292,noHit
SMc01291,SMc01291,noHit
SMc01290,SMc01290,noHit
SMc01289,SMc01289,noHit
SMc01288,SMc01288,noHit
SMc01287,SMc01287,noHit
SMc01286,SMc01286,noHit
SMc01285,SMc01285,noHit
SMc01283,SMc01283,noHit
SMc01282,SMc01282,noHit
SMc01281,SMc01281,noHit
SMc01280,SMc01280,noHit
SMc01279,SMc01279,noHit
SMc01278,SMc01278,noHit
SMc01277,SMc01277,noHit
SMc01276,SMc01276,noHit
SMc01275,SMc01275,noHit
SMc01274,SMc01274,noHit
SMc01273,SMc01273,SM_b20171
SMc01272,SMc01272,noHit
SMc01271,SMc01271,noHit
SMc01270,SMc01270,SMa2113
SMc01269,SMc01269,noHit
SMc01268,SMc01268,noHit
SMc01267,SMc01267,noHit
SMc01266,SMc01266,noHit
SMc01265,SMc01265,noHit
SMc01264,SMc01264,noHit
SMc01263,SMc01263,noHit
SMc01262,SMc01262,noHit
SMc01261,SMc01261,noHit
SMc01260,SMc01260,noHit
SMc01259,SMc01259,noHit
SMc01258,SMc01258,noHit
SMc01257,SMc01257,noHit
SMc01256,SMc01256,noHit
SMc00995,SMc00995,noHit
SMc01068,SMc01068,noHit
SMc00996,SMc00996,noHit
SMc00997,SMc00997,noHit
SMc00998,SMc00998,noHit
SMc00999,SMc00999,noHit
SMc01000,SMc01000,noHit
SMc01001,SMc01001,noHit
SMc01002,SMc01002,noHit
SMc01003,SMc01003,noHit
SMc01004,SMc01004,noHit
SMc01005,SMc01005,noHit
SMc01006,SMc01006,noHit
SMc01007,SMc01007,noHit
SMc01008,SMc01008,noHit
SMc01009,SMc01009,noHit
SMc01010,SMc01010,noHit
SMc01011,SMc01011,noHit
SMc01012,SMc01012,noHit
SMc01013,SMc01013,noHit
SMc01014,SMc01014,noHit
SMc01015,SMc01015,noHit
SMc01016,SMc01016,noHit
SMc01017,SMc01017,noHit
SMc01018,SMc01018,noHit
SMc01019,SMc01019,noHit
SMc01020,SMc01020,noHit
SMc01021,SMc01021,noHit
SMc01022,SMc01022,noHit
SMc01023,SMc01023,noHit
SMc01024,SMc01024,noHit
SMc01025,SMc01025,noHit
SMc01026,SMc01026,noHit
SMc01027,SMc01027,noHit
SMc01028,SMc01028,noHit
SMc01029,SMc01029,noHit
SMc01030,SMc01030,noHit
SMc01031,SMc01031,noHit
SMc01032,SMc01032,noHit
SMc01033,SMc01033,SMa1993
SMc01034,SMc01034,noHit
SMc01035,SMc01035,noHit
SMc01036,SMc01036,noHit
SMc01037,SMc01037,noHit
SMc04865,SMc04865,noHit
SMc01038,SMc01038,noHit
SMc01039,SMc01039,noHit
SMc01040,SMc01040,noHit
SMc01041,SMc01041,noHit
SMc01042,SMc01042,noHit
SMc01043,SMc01043,noHit
SMc01044,SMc01044,noHit
SMc01045,SMc01045,SM_b20613
SMc01046,SMc01046,noHit
SMc01047,SMc01047,SMa0093
SMc01048,SMc01048,noHit
SMc01049,SMc01049,noHit
SMc01050,noHit,noHit
SMc01051,SMc01051,noHit
SMc01052,SMc01052,noHit
SMc01053,SMc01053,SM_b20987
SMc01054,SMc01054,noHit
SMc02124,SMc02124,noHit
SMc02123,SMc02123,noHit
SMc02122,SMc02122,noHit
SMc04436,SMc04436,noHit
SMc02121,SMc02121,noHit
SMc02120,SMc02120,noHit
SMc02119,SMc02119,noHit
SMc02118,SMc02118,noHit
SMc02117,SMc02117,noHit
SMc02116,SMc02116,noHit
SMc02115,SMc02115,noHit
SMc02114,SMc02114,noHit
SMc02113,SMc02113,noHit
SMc02112,SMc02112,noHit
SMc02111,SMc02111,noHit
SMc02110,SMc02110,noHit
SMc02109,SMc02109,noHit
SMc02108,SMc02108,noHit
SMc02107,SMc02107,noHit
SMc02106,SMc02106,noHit
SMc02105,SMc02105,noHit
SMc02104,SMc02104,noHit
SMc02103,SMc02103,noHit
SMc02102,SMc02102,noHit
SMc02101,SMc02101,noHit
SMc02100,SMc02100,noHit
SMc02099,SMc02099,noHit
SMc02098,SMc02098,noHit
SMc02097,SMc02097,noHit
SMc02096,SMc02096,noHit
SMc02095,SMc02095,noHit
SMc02094,SMc02094,noHit
SMc02093,SMc02093,noHit
SMc02092,SMc02092,noHit
SMc02091,SMc02091,noHit
SMc02090,SMc02090,noHit
SMc02089,SMc02089,noHit
SMc02088,SMc02088,noHit
SMc02087,SMc02087,noHit
SMc02086,SMc02086,noHit
SMc02085,SMc02085,noHit
SMc02084,SMc02084,noHit
SMc02083,SMc02083,noHit
SMc02082,SMc02082,noHit
SMc02081,SMc02081,noHit
SMc02080,SMc02080,noHit
SMc02079,SMc02079,noHit
SMc02078,SMc02078,noHit
SMc02077,SMc02077,noHit
SMc02076,SMc02076,noHit
SMc02075,SMc02075,noHit
SMc02074,SMc02074,noHit
SMc02073,SMc02073,noHit
SMc02072,SMc02072,noHit
SMc02071,SMc02071,noHit
SMc02070,SMc02070,noHit
SMc02069,SMc02069,noHit
SMc02068,SMc02068,noHit
SMc02067,SMc02067,noHit
SMc02066,SMc02066,noHit
SMc02065,SMc02065,noHit
SMc02064,SMc02064,noHit
SMc02063,SMc02063,noHit
SMc02062,SMc02062,noHit
SMc02061,SMc02061,noHit
SMc02060,SMc02060,noHit
SMc02059,SMc02059,noHit
SMc02058,SMc02058,noHit
SMc02057,SMc02057,noHit
SMc02056,SMc02056,noHit
SMc02055,SMc02055,noHit
SMc02054,SMc02054,noHit
SMc02053,SMc02053,noHit
SMc02052,SMc02052,noHit
SMc02051,SMc02051,noHit
SMc02050,SMc02050,noHit
SMc02049,SMc02049,noHit
SMc02048,SMc02048,noHit
SMc02047,SMc02047,noHit
SMc01242,SMc01242,noHit
SMc01241,SMc01241,noHit
SMc01240,SMc01240,noHit
SMc01239,SMc01239,noHit
SMc01238,SMc01238,noHit
SMc01237,SMc01237,noHit
SMc01236,SMc01236,noHit
SMc01235,SMc01235,noHit
SMc01233,SMc01233,noHit
SMc01232,SMc01232,noHit
SMc01231,SMc01231,noHit
SMc01230,SMc01230,noHit
SMc01229,SMc01229,noHit
SMc01228,SMc01228,noHit
SMc01227,SMc01227,SMa1604
SMc01226,SMc01226,noHit
SMc01225,SMc01225,noHit
SMc01224,SMc01224,noHit
SMc01223,SMc01223,noHit
SMc01222,SMc01222,noHit
SMc01221,SMc01221,noHit
SMc01220,SMc01220,noHit
SMc01219,SMc01219,noHit
SMc01218,SMc01218,noHit
SMc01217,SMc01217,noHit
SMc01216,SMc01216,noHit
SMc01215,SMc01215,noHit
SMc01214,SMc01214,SMa1417
SMc01213,SMc01213,noHit
SMc01212,SMc01212,noHit
SMc01211,SMc01211,noHit
SMc01210,SMc01210,noHit
SMc01209,SMc01209,noHit
SMc01700,SMc01700,noHit
SMc01208,SMc01208,noHit
SMc01207,SMc01207,noHit
SMc01206,SMc01206,noHit
SMc01205,SMc01205,noHit
SMc01204,SMc01204,SM_b20214
SMc01203,SMc01203,noHit
SMc01202,SMc01202,noHit
SMc01200,SMc01200,noHit
SMc01698,SMc01698,SMa0339
SMc02814,SMc02814,noHit
SMc01199,SMc01199,noHit
SMc01198,SMc01198,SM_b20702
SMc01197,SMc01197,noHit
SMc01196,SMc01196,noHit
SMc01195,SMc01195,noHit
SMc01194,SMc01194,noHit
SMc01193,SMc01193,noHit
SMc01192,SMc01192,noHit
SMc01191,SMc01191,noHit
SMc01190,SMc01190,noHit
SMc01189,SMc01189,noHit
SMc01188,SMc01188,noHit
SMc01187,SMc01187,noHit
SMc01186,SMc01186,noHit
SMc01185,SMc01185,noHit
SMc01184,SMc01184,noHit
SMc01183,SMc01183,noHit
SMc01182,SMc01182,noHit
SMc01181,SMc01181,noHit
SMc01180,SMc01180,noHit
SMc01179,SMc01179,noHit
SMc01178,SMc01178,noHit
SMc01177,SMc01177,noHit
SMc01176,SMc01176,noHit
SMc01175,SMc01175,noHit
SMc01174,SMc01174,noHit
SMc01173,SMc01173,noHit
SMc01172,SMc01172,noHit
SMc01171,SMc01171,noHit
SMc01170,SMc01170,noHit
SMc01169,SMc01169,noHit
SMc01168,SMc01168,noHit
SMc04449,SMc04449,noHit
SMc00935,SMc00935,noHit
SMc00936,SMc00936,SM_b20432
SMc00937,SMc00937,SMa1691
SMc00938,SMc00938,noHit
SMc00939,SMc00939,noHit
SMc00940,SMc00940,SM_b22008
SMc00941,SMc00941,noHit
SMc00942,SMc00942,SM_b20293
SMc00943,SMc00943,SMa0340
SMc00944,SMc00944,noHit
SMc00945,SMc00945,noHit
SMc00946,SMc00946,noHit
SMc00947,SMc00947,noHit
SMc00948,SMc00948,noHit
SMc00949,SMc00949,noHit
SMc00950,SMc00950,noHit
SMc00951,SMc00951,noHit
SMc00952,SMc00952,noHit
SMc00953,SMc00953,noHit
SMc00954,SMc00954,noHit
SMc00955,SMc00955,SMa0599
SMc00959,SMc00959,noHit
SMc00956,SMc00956,SM_b20689
SMc00958,SMc00958,noHit
SMc04450,SMc04450,noHit
SMc00227,SMc00227,noHit
SMc00228,SMc00228,noHit
SMc00229,SMc00229,noHit
SMc00230,SMc00230,noHit
SMc00231,SMc00231,SMa0878
SMc00232,SMc00232,noHit
SMc00233,SMc00233,SM_b20153
SMc00234,SMc00234,noHit
SMc00235,SMc00235,noHit
SMc00236,SMc00236,noHit
SMc00237,SMc00237,noHit
SMc00238,SMc00238,noHit
SMc00239,SMc00239,noHit
SMc00240,SMc00240,noHit
SMc00241,SMc00241,SM_b21591
SMc00242,SMc00242,SMa1507
SMc00244,SMc00244,SMa1514
SMc00243,SMc00243,SMa1513
SMc00245,SMc00245,SMa1509
SMc00246,SMc00246,SMa2383
SMc00247,SMc00247,noHit
SMc00316,SMc00316,noHit
SMc00317,SMc00317,noHit
SMc00248,SMc00248,noHit
SMc00249,SMc00249,SM_b21695
SMc00250,SMc00250,noHit
SMc00251,SMc00251,noHit
SMc00252,SMc00252,noHit
SMc00253,SMc00253,noHit
SMc00254,SMc00254,SM_b20454
SMc04437,SMc04437,noHit
SMc00255,SMc00255,noHit
SMc00256,SMc00256,noHit
SMc00257,SMc00257,noHit
SMc00258,SMc00258,noHit
SMc00259,SMc00259,noHit
SMc00260,SMc00260,noHit
SMc00261,SMc00261,SMa0150
SMc00262,SMc00262,noHit
SMc00263,SMc00263,noHit
SMc00264,SMc00264,SM_b20511
SMc00265,SMc00265,noHit
SMc00266,SMc00266,noHit
SMc00267,SMc00267,noHit
SMc00268,SMc00268,noHit
SMc00269,SMc00269,noHit
SMc00270,SMc00270,noHit
SMc00271,SMc00271,SM_b21438
SMc00272,SMc00272,noHit
SMc00273,SMc00273,SM_b21351
SMc00274,SMc00274,SM_b20668
SMc00275,SMc00275,noHit
SMc00276,SMc00276,SMa1057
SMc00277,SMc00277,noHit
SMc00278,SMc00278,noHit
SMc00279,SMc00279,noHit
SMc00280,SMc00280,noHit
SMc00281,SMc00281,noHit
SMc00282,SMc00282,SMa1626
SMc00283,SMc00283,SMa1625
